Poniedziałek,10,Sierpień,2026,18:11:35:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'014,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Obciążenie,Zliczanie, ,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,56.56,1792,96.1,3,nieaktywna,56.95,0,0,3,aktywna,57.35,0, , ,nieaktywna
,57.68,3424,0.0,3,nieaktywna,58.00,0,0,3,nieaktywna,58.34,0, , ,nieaktywna
,58.70,1568,0.0,3,nieaktywna,59.03,0,0,3,nieaktywna,59.32,0, , ,nieaktywna
,59.61,736,45.9,3,nieaktywna,59.98,0,0,3,nieaktywna,60.44,0, , ,aktywna
,60.80,4160,0.0,3,nieaktywna,61.18,0,0,3,nieaktywna,61.50,0, , ,nieaktywna
,61.83,2048,0.0,3,nieaktywna,62.19,0,0,3,nieaktywna,62.50,0, , ,nieaktywna
,62.82,832,29.4,3,aktywna,63.10,0,0,3,nieaktywna,63.40,0, , ,aktywna
,63.70,864,38.4,3,aktywna,64.00,0,0,3,aktywna,64.30,0, , ,aktywna
,64.60,864,34.1,3,aktywna,64.92,0,0,3,aktywna,65.23,0, , ,aktywna
,65.56,800,56.1,3,aktywna,65.86,0,0,3,nieaktywna,66.18,0, , ,aktywna
,66.45,1280,82.7,3,aktywna,66.81,0,1,3,nieaktywna,67.17,0, , ,nieaktywna
,67.54,1952,59.2,4,nieaktywna,67.84,0,1,3,nieaktywna,68.16,0, , ,nieaktywna
,68.46,992,28.2,4,nieaktywna,68.75,0,1,3,aktywna,69.09,0, , ,aktywna
,69.40,1632,54.5,4,aktywna,69.73,0,1,3,nieaktywna,70.09,0, , ,nieaktywna
,70.44,2720,0.0,4,nieaktywna,70.80,0,1,3,nieaktywna,71.13,0, , ,aktywna
,71.44,2880,0.0,5,nieaktywna,71.78,0,1,4,nieaktywna,72.12,0, , ,aktywna
,72.46,2496,0.0,6,nieaktywna,72.81,0,1,5,nieaktywna,73.16,0, , ,nieaktywna
,73.51,2208,0.0,6,nieaktywna,73.87,0,1,5,aktywna,74.19,1, , ,nieaktywna
,74.53,2464,0.0,7,nieaktywna,74.89,0,1,5,nieaktywna,75.19,1, , ,nieaktywna
,75.52,2944,0.0,7,nieaktywna,75.86,0,1,5,nieaktywna,76.16,1, , ,nieaktywna
,76.48,1280,0.0,7,nieaktywna,76.77,0,1,5,nieaktywna,77.09,1, , ,aktywna
,77.40,736,32.5,7,nieaktywna,77.71,0,1,5,aktywna,78.02,1, , ,aktywna
,78.33,864,34.1,7,aktywna,78.64,0,1,5,aktywna,78.96,1, , ,aktywna
,79.27,864,32.5,7,aktywna,79.56,0,1,5,aktywna,79.88,1, , ,aktywna
,80.16,832,32.5,7,aktywna,80.46,0,1,5,aktywna,80.76,1, , ,aktywna
,81.11,1792,69.4,7,aktywna,81.44,0,1,5,aktywna,81.79,1, , ,aktywna
,82.08,1504,47.1,7,aktywna,82.42,0,1,5,aktywna,82.73,1, , ,aktywna
,83.08,1504,26.7,7,nieaktywna,83.44,0,1,5,nieaktywna,83.75,1, , ,nieaktywna
,84.07,1472,26.7,7,nieaktywna,84.39,0,1,5,nieaktywna,84.66,1, , ,nieaktywna
,84.95,864,28.2,7,aktywna,85.27,0,1,5,aktywna,85.58,1, , ,aktywna
,85.89,832,32.5,7,aktywna,86.17,0,1,5,aktywna,86.48,1, , ,aktywna
,86.79,832,32.5,7,aktywna,87.09,0,1,5,aktywna,87.39,1, , ,aktywna
,87.70,832,32.5,7,aktywna,88.01,0,1,5,aktywna,88.31,1, , ,aktywna
,88.60,832,31.0,7,aktywna,88.90,0,1,5,aktywna,89.19,1, , ,aktywna
,99.86,864,38.4,0,nieaktywna,100.14,0,0,0,nieaktywna,100.44,0, , ,nieaktywna
,100.71,864,38.4,0,nieaktywna,101.01,0,0,0,nieaktywna,101.30,0, , ,aktywna
,101.60,864,38.4,0,aktywna,101.91,0,0,0,aktywna,102.22,0, , ,aktywna
,102.52,864,36.9,0,aktywna,102.81,0,0,0,aktywna,103.12,0, , ,aktywna
,139.03,832,29.4,0,aktywna,138.44,0,0,0,aktywna,138.74,0, , ,aktywna
,139.97,800,29.4,0,aktywna,139.34,0,0,0,aktywna,139.66,0, , ,aktywna
,140.89,832,29.4,0,aktywna,140.28,0,0,0,aktywna,140.59,0, , ,aktywna
,141.91,2208,0.0,0,nieaktywna,141.22,0,0,0,aktywna,141.57,0, , ,nieaktywna
,142.83,1152,92.9,0,nieaktywna,142.21,0,0,0,nieaktywna,142.51,0, , ,nieaktywna
,143.83,3104,0.0,1,nieaktywna,143.16,0,0,0,nieaktywna,143.47,0, , ,aktywna
,144.84,2240,88.6,1,aktywna,144.16,0,0,1,nieaktywna,144.50,0, , ,nieaktywna
,145.88,2432,0.0,1,nieaktywna,145.19,0,0,1,nieaktywna,145.54,0, , ,aktywna
,146.83,1856,92.9,1,aktywna,146.21,0,0,1,nieaktywna,146.50,0, , ,nieaktywna
,147.84,1408,88.6,1,nieaktywna,147.16,0,0,1,nieaktywna,147.49,0, , ,nieaktywna
,148.92,3552,0.0,1,nieaktywna,148.20,0,0,1,aktywna,148.57,0, , ,aktywna
,149.98,1728,0.0,1,nieaktywna,149.26,0,0,1,nieaktywna,149.62,0, , ,nieaktywna
,150.87,768,26.7,1,nieaktywna,150.29,0,0,1,nieaktywna,150.56,0, , ,nieaktywna
,151.90,1344,0.0,1,nieaktywna,151.22,0,0,1,nieaktywna,151.59,0, , ,nieaktywna
,152.91,2944,94.5,1,aktywna,152.19,0,0,1,nieaktywna,152.53,0, , ,aktywna
,153.91,2400,0.0,1,nieaktywna,153.27,0,0,1,nieaktywna,153.56,0, , ,nieaktywna
,154.89,1056,36.9,1,nieaktywna,154.26,0,0,1,nieaktywna,154.60,0, , ,nieaktywna
,155.87,2304,92.9,1,aktywna,155.20,0,0,1,aktywna,155.54,0, , ,nieaktywna
,156.91,1312,0.0,1,nieaktywna,156.22,0,0,1,nieaktywna,156.58,0, , ,nieaktywna
,157.91,2080,0.0,1,nieaktywna,157.23,0,0,1,nieaktywna,157.57,0, , ,aktywna
,158.84,992,25.1,1,nieaktywna,158.20,0,0,1,nieaktywna,158.53,0, , ,nieaktywna
,159.78,800,34.1,1,nieaktywna,159.16,0,0,1,nieaktywna,159.47,0, , ,nieaktywna
,160.70,864,31.0,1,aktywna,160.11,0,0,1,aktywna,160.40,0, , ,aktywna
,161.62,864,31.0,1,aktywna,161.02,0,0,1,aktywna,161.33,0, , ,aktywna
,162.54,768,34.1,1,aktywna,161.93,0,0,1,aktywna,162.23,0, , ,aktywna
,163.49,832,32.5,1,aktywna,162.86,0,0,1,aktywna,163.17,0, , ,aktywna
,164.39,800,32.5,1,aktywna,163.78,0,0,1,aktywna,164.09,0, , ,aktywna
,165.30,800,32.5,1,aktywna,164.69,0,0,1,aktywna,164.98,0, , ,aktywna
,166.24,2784,0.0,1,nieaktywna,165.64,0,0,1,aktywna,165.93,0, , ,aktywna
,167.19,1312,0.0,1,nieaktywna,166.57,0,0,1,nieaktywna,166.87,0, , ,nieaktywna
,168.20,2432,0.0,1,nieaktywna,167.50,0,0,1,nieaktywna,167.86,0, , ,nieaktywna
,169.17,2752,66.3,1,nieaktywna,168.54,0,0,1,nieaktywna,168.86,0, , ,nieaktywna
,170.21,2880,0.0,1,nieaktywna,169.53,0,0,1,nieaktywna,169.89,0, , ,nieaktywna
,171.20,1280,0.0,1,nieaktywna,170.54,0,0,1,nieaktywna,170.89,0, , ,nieaktywna
,172.20,1792,0.0,1,nieaktywna,171.52,0,0,1,nieaktywna,171.86,0, , ,aktywna
,173.22,1792,0.0,1,nieaktywna,172.54,0,0,1,nieaktywna,172.89,0, , ,nieaktywna
,174.17,896,25.1,1,nieaktywna,173.54,0,0,1,nieaktywna,173.87,0, , ,nieaktywna
,175.10,1056,54.5,1,aktywna,174.46,0,0,1,aktywna,174.76,0, , ,aktywna
,176.08,1344,84.3,1,nieaktywna,175.45,0,0,1,nieaktywna,175.75,0, , ,nieaktywna
,177.06,1888,84.3,1,aktywna,176.42,0,0,1,aktywna,176.72,0, , ,aktywna
,178.10,1856,76.9,1,aktywna,177.39,0,0,1,aktywna,177.75,0, , ,aktywna
,179.09,1152,29.4,1,nieaktywna,178.47,0,0,1,nieaktywna,178.78,0, , ,nieaktywna
,180.00,1120,22.0,1,nieaktywna,179.39,0,0,1,aktywna,179.69,0, , ,nieaktywna
,181.15,4000,0.0,1,nieaktywna,180.37,0,0,1,aktywna,180.80,0, , ,aktywna
,182.42,4448,35.3,1,nieaktywna,181.59,0,0,1,nieaktywna,181.99,0, , ,nieaktywna
,183.68,3968,0.0,1,nieaktywna,182.88,0,0,1,aktywna,183.32,0, , ,nieaktywna
,184.66,2144,0.0,1,nieaktywna,183.97,0,0,1,nieaktywna,184.31,0, , ,nieaktywna
,185.66,992,25.1,1,nieaktywna,185.01,0,0,1,nieaktywna,185.36,0, , ,nieaktywna
,186.56,800,28.2,1,aktywna,185.95,0,0,1,nieaktywna,186.25,0, , ,aktywna
,187.45,832,31.0,1,aktywna,186.87,0,0,1,aktywna,187.17,0, , ,aktywna
,188.34,800,31.0,1,aktywna,187.75,0,0,1,aktywna,188.04,0, , ,aktywna
,189.25,768,31.0,1,aktywna,188.66,0,0,1,aktywna,188.95,0, , ,aktywna
,190.15,800,32.5,1,aktywna,189.55,0,0,1,aktywna,189.85,0, , ,aktywna
,191.07,800,31.0,1,aktywna,190.46,0,0,1,aktywna,190.76,0, , ,aktywna
,191.94,800,31.0,1,aktywna,191.36,0,0,1,aktywna,191.65,0, , ,aktywna
,192.87,800,31.0,1,aktywna,192.25,0,0,1,aktywna,192.56,0, , ,aktywna
,193.77,832,31.0,1,aktywna,193.16,0,0,1,aktywna,193.48,0, , ,aktywna
,194.66,800,31.0,1,aktywna,194.06,0,0,1,aktywna,194.35,0, , ,aktywna
,195.57,800,31.0,1,aktywna,194.97,0,0,0,aktywna,195.27,0, , ,aktywna
,196.49,800,31.0,1,aktywna,195.87,0,0,0,aktywna,196.18,0, , ,aktywna
,197.42,800,29.4,1,aktywna,196.79,0,0,0,aktywna,197.12,0, , ,aktywna
,198.34,832,29.4,1,aktywna,197.73,0,0,0,aktywna,198.04,0, , ,aktywna
,199.24,800,31.0,1,aktywna,198.66,0,0,0,aktywna,198.96,0, , ,aktywna
,200.14,800,31.0,1,aktywna,199.54,0,0,0,aktywna,199.84,0, , ,aktywna
,201.05,800,31.0,1,aktywna,200.44,0,0,0,aktywna,200.74,0, , ,aktywna
,201.94,800,31.0,1,aktywna,201.36,0,0,0,aktywna,201.66,0, , ,aktywna
,202.87,800,31.0,1,aktywna,202.25,0,0,0,aktywna,202.56,0, , ,aktywna
,203.80,800,31.0,1,aktywna,203.19,0,0,0,aktywna,203.50,0, , ,aktywna
,204.68,800,31.0,1,aktywna,204.10,0,0,0,aktywna,204.38,0, , ,aktywna
,205.60,832,29.4,1,aktywna,204.99,0,0,0,aktywna,205.30,0, , ,aktywna
,206.54,864,32.5,1,aktywna,205.90,0,0,0,aktywna,206.20,0, , ,aktywna
,207.46,1248,35.3,1,aktywna,206.83,0,0,0,aktywna,207.13,0, , ,aktywna
,208.43,1536,41.2,1,aktywna,207.78,0,0,0,aktywna,208.07,0, , ,aktywna
,209.41,1088,53.3,1,aktywna,208.76,0,0,0,aktywna,209.10,0, , ,aktywna
,210.48,1600,32.5,1,aktywna,209.73,0,0,0,aktywna,210.10,0, , ,aktywna
,211.39,1024,31.0,1,aktywna,210.83,0,0,0,nieaktywna,211.10,0, , ,nieaktywna
,212.28,864,31.0,1,aktywna,211.69,0,0,0,aktywna,211.99,0, , ,aktywna
,213.18,864,31.0,1,aktywna,212.57,0,0,0,aktywna,212.88,0, , ,aktywna
,214.05,768,32.5,1,aktywna,213.45,0,0,0,aktywna,213.76,0, , ,aktywna
,214.98,1184,35.3,1,aktywna,214.34,0,0,0,aktywna,214.68,0, , ,aktywna
,215.91,1088,41.2,1,aktywna,215.28,0,0,0,aktywna,215.59,0, , ,aktywna
,216.89,1248,25.1,1,nieaktywna,216.23,0,0,0,aktywna,216.58,0, , ,aktywna
,217.84,960,28.2,1,aktywna,217.23,0,0,0,nieaktywna,217.53,0, , ,aktywna
,218.77,864,32.5,1,aktywna,218.15,0,0,0,aktywna,218.48,0, , ,aktywna
,219.68,864,32.5,1,aktywna,219.06,0,0,0,aktywna,219.36,0, , ,aktywna
,220.57,896,32.5,1,aktywna,219.97,0,0,0,aktywna,220.26,0, , ,aktywna
,221.46,800,32.5,1,nieaktywna,220.87,0,0,0,aktywna,221.18,0, , ,aktywna
,222.34,800,32.5,1,nieaktywna,221.75,0,0,0,nieaktywna,222.05,0, , ,nieaktywna
,223.41,2080,23.5,1,nieaktywna,222.70,0,0,0,nieaktywna,223.05,0, , ,nieaktywna
,224.30,512,45.9,1,nieaktywna,223.72,0,0,0,nieaktywna,224.00,0, , ,nieaktywna
,225.23,896,32.5,1,aktywna,224.61,0,0,0,nieaktywna,224.93,0, , ,aktywna
,226.11,896,36.9,1,aktywna,225.53,0,0,0,nieaktywna,225.82,0, , ,aktywna
,227.00,800,36.9,1,aktywna,226.39,0,0,0,aktywna,226.70,0, , ,aktywna
,227.90,992,32.5,1,aktywna,227.31,0,0,0,aktywna,227.63,0, , ,aktywna
,228.84,1088,36.9,1,aktywna,228.20,0,0,0,aktywna,228.51,0, , ,aktywna
,229.87,1312,31.0,1,aktywna,229.18,0,0,0,aktywna,229.51,0, , ,aktywna
,230.87,1344,25.1,1,nieaktywna,230.21,0,0,0,aktywna,230.55,0, , ,aktywna
,231.79,1024,26.7,1,aktywna,231.18,0,0,0,nieaktywna,231.48,0, , ,nieaktywna
,232.69,896,32.5,1,aktywna,232.09,0,0,0,aktywna,232.39,0, , ,aktywna
,233.59,800,32.5,1,aktywna,232.98,0,0,0,aktywna,233.28,0, , ,aktywna
,234.49,1088,31.0,1,aktywna,233.89,0,0,0,aktywna,234.18,0, , ,aktywna
,235.49,1376,44.3,1,aktywna,234.80,0,0,0,aktywna,235.13,0, , ,aktywna
,236.55,1472,50.2,1,nieaktywna,235.85,0,0,0,aktywna,236.18,0, , ,aktywna
,237.49,1280,47.1,1,aktywna,236.86,0,0,0,nieaktywna,237.16,0, , ,aktywna
,238.46,1280,29.4,1,aktywna,237.79,0,0,0,aktywna,238.12,0, , ,aktywna
,239.46,1216,25.1,1,nieaktywna,238.78,0,0,0,aktywna,239.14,0, , ,nieaktywna
,240.42,1088,51.8,1,aktywna,239.78,0,0,0,nieaktywna,240.10,0, , ,aktywna
,241.43,1600,65.1,1,aktywna,240.76,0,0,0,aktywna,241.07,0, , ,aktywna
,242.45,2400,63.5,1,aktywna,241.77,0,0,0,aktywna,242.10,0, , ,aktywna
,243.49,1408,34.1,1,nieaktywna,242.78,0,0,0,nieaktywna,243.15,0, , ,nieaktywna
,244.51,1600,62.0,1,aktywna,243.82,0,0,0,aktywna,244.18,0, , ,aktywna
,245.60,1824,57.6,1,aktywna,244.86,0,0,0,aktywna,245.23,0, , ,aktywna
,246.66,1952,32.5,1,aktywna,245.96,0,0,0,aktywna,246.32,0, , ,nieaktywna
,247.72,2016,36.9,1,aktywna,247.01,0,0,0,aktywna,247.38,0, , ,aktywna
,248.75,2144,50.2,1,nieaktywna,248.06,0,0,0,aktywna,248.42,0, , ,aktywna
,249.78,2336,48.6,1,aktywna,249.09,0,0,0,aktywna,249.43,0, , ,aktywna
,250.83,2560,59.2,1,aktywna,250.14,0,0,0,aktywna,250.48,0, , ,aktywna
,251.85,1728,0.0,1,nieaktywna,251.16,0,0,0,aktywna,251.52,0, , ,nieaktywna
,252.85,1024,29.4,1,aktywna,252.18,0,0,0,nieaktywna,252.50,0, , ,nieaktywna
,253.80,896,28.2,1,aktywna,253.19,0,0,0,aktywna,253.49,0, , ,aktywna
,254.70,896,31.0,1,aktywna,254.10,0,0,0,aktywna,254.40,0, , ,aktywna
,255.62,864,31.0,1,aktywna,255.01,0,0,0,aktywna,255.33,0, , ,aktywna
,256.53,864,32.5,1,aktywna,255.93,0,0,0,aktywna,256.22,0, , ,aktywna
,257.45,864,31.0,1,aktywna,256.83,0,0,0,aktywna,257.14,0, , ,aktywna
,258.41,864,31.0,1,aktywna,257.77,0,0,0,aktywna,258.09,0, , ,aktywna
,259.31,896,32.5,1,aktywna,258.71,0,0,0,aktywna,259.00,0, , ,aktywna
,260.21,896,32.5,1,aktywna,259.61,0,0,0,aktywna,259.91,0, , ,aktywna
,261.12,864,29.4,1,aktywna,260.51,0,0,0,aktywna,260.82,0, , ,aktywna
,262.04,800,31.0,1,aktywna,261.42,0,0,0,aktywna,261.73,0, , ,aktywna
,262.97,800,32.5,1,aktywna,262.34,0,0,0,aktywna,262.66,0, , ,aktywna
,263.88,800,32.5,1,aktywna,263.29,0,0,0,aktywna,263.57,0, , ,aktywna
,264.76,800,32.5,1,aktywna,264.17,0,0,0,aktywna,264.46,0, , ,aktywna
,265.65,768,34.1,1,aktywna,265.06,0,0,0,aktywna,265.36,0, , ,aktywna
,266.54,800,34.1,1,aktywna,265.94,0,0,0,aktywna,266.25,0, , ,aktywna
,267.43,800,34.1,1,aktywna,266.83,0,0,0,aktywna,267.12,0, , ,aktywna
,268.34,832,34.1,1,aktywna,267.74,0,0,0,aktywna,268.04,0, , ,aktywna
,269.33,1632,42.7,1,aktywna,268.67,0,0,0,aktywna,268.97,0, , ,aktywna
,270.41,1792,65.1,1,aktywna,269.68,0,0,0,aktywna,270.05,0, , ,aktywna
,271.48,1728,62.0,1,aktywna,270.76,0,0,0,aktywna,271.10,0, , ,aktywna
,272.57,1856,40.0,1,aktywna,271.84,0,0,0,aktywna,272.21,0, , ,aktywna
,273.60,1440,0.0,1,nieaktywna,272.92,0,0,0,aktywna,273.27,0, , ,nieaktywna
,274.57,1184,34.1,1,aktywna,273.90,0,0,0,nieaktywna,274.24,0, , ,aktywna
,275.52,1312,50.2,1,aktywna,274.88,0,0,0,aktywna,275.21,0, , ,aktywna
,276.59,1600,67.8,1,aktywna,275.82,0,0,0,aktywna,276.22,0, , ,aktywna
,277.69,1888,44.3,1,nieaktywna,276.96,0,0,0,aktywna,277.33,0, , ,nieaktywna
,278.76,2080,36.9,1,aktywna,278.06,0,0,0,aktywna,278.41,0, , ,aktywna
,279.79,2272,34.1,1,aktywna,279.11,0,0,0,aktywna,279.45,0, , ,aktywna
,280.85,2432,32.5,1,aktywna,280.11,0,0,0,aktywna,280.50,0, , ,aktywna
,281.85,2560,32.5,1,aktywna,281.21,0,0,0,aktywna,281.54,0, , ,aktywna
,282.88,2688,29.4,1,aktywna,282.19,0,0,0,aktywna,282.54,0, , ,aktywna
,283.86,2016,0.0,1,nieaktywna,283.21,0,0,0,nieaktywna,283.54,0, , ,nieaktywna
,284.75,1056,29.4,1,nieaktywna,284.16,0,0,0,nieaktywna,284.43,0, , ,nieaktywna
,285.76,1856,0.0,1,nieaktywna,285.09,0,0,0,aktywna,285.43,0, , ,nieaktywna
,286.75,1792,0.0,1,nieaktywna,286.08,0,0,0,nieaktywna,286.41,0, , ,nieaktywna
,287.81,1792,0.0,1,nieaktywna,287.11,0,0,0,nieaktywna,287.46,0, , ,nieaktywna
,288.87,1792,0.0,1,nieaktywna,288.17,0,0,0,nieaktywna,288.54,0, , ,nieaktywna
,289.87,1792,0.0,1,nieaktywna,289.19,0,0,0,nieaktywna,289.50,0, , ,nieaktywna
,290.89,1760,0.0,1,nieaktywna,290.21,0,0,0,nieaktywna,290.53,0, , ,nieaktywna
,291.94,1760,0.0,1,nieaktywna,291.23,0,0,0,nieaktywna,291.58,0, , ,nieaktywna
,293.02,1760,0.0,1,nieaktywna,292.30,0,0,0,nieaktywna,292.65,0, , ,nieaktywna
,294.04,1760,0.0,1,nieaktywna,293.35,0,0,0,nieaktywna,293.70,0, , ,nieaktywna
,294.99,864,26.7,1,nieaktywna,294.37,0,0,0,nieaktywna,294.69,0, , ,nieaktywna
,295.91,896,31.0,1,aktywna,295.27,0,0,0,nieaktywna,295.59,0, , ,aktywna
,296.85,928,29.4,1,aktywna,296.23,0,0,0,aktywna,296.55,0, , ,aktywna
,297.80,896,31.0,1,aktywna,297.14,0,0,0,aktywna,297.47,0, , ,aktywna
,298.72,864,31.0,1,aktywna,298.10,0,0,0,aktywna,298.40,0, , ,aktywna
,299.69,1056,28.2,1,aktywna,299.04,0,0,0,aktywna,299.37,0, , ,aktywna
,300.69,1568,23.5,1,nieaktywna,299.99,0,0,0,nieaktywna,300.33,0, , ,nieaktywna
,301.76,1728,25.1,1,aktywna,301.03,0,0,0,nieaktywna,301.40,0, , ,aktywna
,302.91,1728,34.1,1,aktywna,302.14,0,0,0,aktywna,302.53,0, , ,aktywna
,304.02,1792,51.8,1,aktywna,303.26,0,0,0,aktywna,303.66,0, , ,aktywna
