Piątek,14,Sierpień,2026,21:17:20:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,72.73,960,85.5,0.0,10111111,73.02,0,0,0,aktywna,72.44,0, , ,aktywna
,73.61,864,85.5,0.0,10111111,73.90,0,0,0,aktywna,73.31,0, , ,aktywna
,74.49,896,85.5,0.8,10111111,74.79,0,0,0,aktywna,74.19,0, , ,aktywna
,75.47,1664,85.5,0.0,10101011,75.79,0,0,0,aktywna,75.10,0, , ,aktywna
,76.56,1792,85.5,0.0,10101011,76.92,0,0,0,aktywna,76.21,0, , ,aktywna
,77.51,1088,85.5,0.0,10101011,77.85,0,0,0,nieaktywna,77.22,0, , ,nieaktywna
,78.46,1216,85.5,0.0,10101011,78.78,0,0,0,aktywna,78.14,0, , ,aktywna
,79.46,1568,85.5,0.0,10101011,79.83,0,0,0,aktywna,79.13,0, , ,aktywna
,80.52,2080,85.5,-0.8,10101001,80.84,0,0,0,aktywna,80.18,0, , ,aktywna
,81.52,2528,85.5,-2.0,10101001,81.86,0,0,0,aktywna,81.19,0, , ,aktywna
,82.51,2048,85.5,0.0,10111101,82.78,0,0,0,nieaktywna,82.17,0, , ,nieaktywna
,83.50,1760,85.5,0.0,10101011,83.85,0,0,0,aktywna,83.14,0, , ,nieaktywna
,84.56,1760,85.5,-0.8,10101011,84.92,0,0,0,aktywna,84.19,0, , ,aktywna
,85.63,1728,85.5,0.0,10101011,85.99,0,0,0,aktywna,85.28,0, , ,aktywna
,86.72,1728,85.5,-0.4,10111111,87.05,0,0,0,aktywna,86.36,0, , ,aktywna
,87.75,1664,85.5,0.8,10111111,88.12,0,0,0,aktywna,87.38,0, , ,aktywna
,88.82,1632,85.5,3.5,10111111,89.15,0,0,0,aktywna,88.49,0, , ,aktywna
,89.84,1600,85.5,4.3,10111111,90.18,0,0,0,aktywna,89.50,0, , ,aktywna
,90.95,1536,85.5,3.5,10101011,91.32,0,0,0,aktywna,90.57,0, , ,aktywna
,92.03,1600,85.5,3.5,10101011,92.39,0,0,0,aktywna,91.65,0, , ,aktywna
,93.11,1600,85.5,0.0,10101011,93.47,0,0,0,aktywna,92.75,0, , ,aktywna
,94.17,1568,85.5,0.8,10111111,94.52,0,0,0,aktywna,93.83,0, , ,aktywna
,95.26,1600,85.5,1.6,10101011,95.64,0,0,0,aktywna,94.89,0, , ,aktywna
,96.35,1664,85.5,2.7,10101011,96.71,0,0,0,aktywna,96.00,0, , ,aktywna
,97.46,1760,85.5,2.7,10101011,97.81,0,0,0,aktywna,97.09,0, , ,aktywna
,98.55,1856,85.5,0.0,10101011,98.92,0,0,0,aktywna,98.17,0, , ,aktywna
,99.64,1984,85.5,5.1,10101001,99.99,0,0,0,aktywna,99.29,0, , ,aktywna
,100.70,2144,85.5,0.0,10101001,101.04,0,0,0,aktywna,100.34,0, , ,aktywna
,101.71,2304,85.5,5.1,10101001,102.08,0,0,0,aktywna,101.37,0, , ,aktywna
,102.78,2496,85.5,7.4,11101001,103.13,0,0,0,aktywna,102.43,0, , ,aktywna
,103.84,1760,85.5,0.0,11111111,104.17,0,0,0,nieaktywna,103.45,0, , ,nieaktywna
,104.83,1568,85.5,0.0,11111111,105.19,0,0,0,nieaktywna,104.48,0, , ,nieaktywna
,105.91,1888,85.5,0.0,11101011,106.29,0,0,0,aktywna,105.55,0, , ,nieaktywna
,107.06,1888,85.5,3.1,11101011,107.43,0,0,0,aktywna,106.68,0, , ,aktywna
,108.19,1888,85.5,0.0,11101011,108.55,0,0,0,aktywna,107.81,0, , ,aktywna
,109.26,1920,85.5,0.0,11101011,109.64,0,0,0,aktywna,108.90,0, , ,aktywna
,110.37,1920,85.5,8.2,11101011,110.75,0,0,0,aktywna,110.00,0, , ,aktywna
,111.48,1952,85.5,11.3,11101011,111.85,0,0,0,aktywna,111.12,0, , ,aktywna
,112.56,1984,85.5,12.1,11101011,112.92,0,0,0,aktywna,112.20,0, , ,aktywna
,113.63,1984,85.5,13.7,11101001,113.98,0,0,0,aktywna,113.28,0, , ,aktywna
,114.70,2016,85.5,0.0,11111101,115.06,0,0,0,nieaktywna,114.34,0, , ,aktywna
,115.76,1952,85.5,0.0,11111111,116.12,0,0,0,nieaktywna,115.41,0, , ,nieaktywna
,116.81,1856,85.5,0.0,11101011,117.18,0,0,0,aktywna,116.47,0, , ,nieaktywna
,117.94,1888,85.5,0.0,11101011,118.30,0,0,0,aktywna,117.56,0, , ,aktywna
,119.02,1920,85.5,7.4,11101011,119.38,0,0,0,aktywna,118.65,0, , ,aktywna
,120.10,1952,85.5,11.7,11101011,120.44,0,0,0,aktywna,119.73,0, , ,aktywna
,121.15,1984,85.5,15.2,11101001,121.50,0,0,0,aktywna,120.79,0, , ,aktywna
,122.21,2016,85.5,16.0,11101001,122.55,0,0,0,aktywna,121.84,0, , ,aktywna
,123.26,2048,85.5,3.9,11101001,123.62,0,0,0,aktywna,122.90,0, , ,aktywna
,124.31,2016,85.5,0.0,11111101,124.66,0,0,0,nieaktywna,123.97,0, , ,nieaktywna
,125.37,1984,85.5,-0.8,11101001,125.72,0,0,0,aktywna,125.01,0, , ,nieaktywna
,126.44,2016,85.5,0.8,11101001,126.79,0,0,0,aktywna,126.08,0, , ,aktywna
,127.52,2048,85.5,2.0,11101001,127.88,0,0,0,aktywna,127.17,0, , ,aktywna
,128.56,2080,85.5,3.1,11101001,128.90,0,0,0,aktywna,128.22,0, , ,aktywna
,129.59,2080,87.0,0.0,11111101,129.95,0,0,0,nieaktywna,129.25,0, , ,aktywna
,130.66,2048,85.5,0.0,11111101,131.02,0,0,0,nieaktywna,130.31,0, , ,nieaktywna
,131.73,1984,85.5,0.0,11101011,132.09,0,0,0,aktywna,131.37,0, , ,nieaktywna
,132.83,1984,85.5,0.8,11101011,133.18,0,0,0,aktywna,132.45,0, , ,aktywna
,133.91,1984,85.5,1.6,11101001,134.28,0,0,0,aktywna,133.54,0, , ,aktywna
,134.98,2048,87.0,2.7,11101001,135.34,0,0,0,aktywna,134.63,0, , ,aktywna
,136.06,2080,87.0,3.9,11101001,136.42,0,0,0,aktywna,135.70,0, , ,aktywna
,137.10,2112,87.0,3.1,11101001,137.44,0,0,0,aktywna,136.76,0, , ,aktywna
,138.12,2112,87.0,3.9,11101001,138.48,0,0,0,aktywna,137.77,0, , ,aktywna
,139.16,2112,87.0,0.0,11111101,139.50,0,0,0,nieaktywna,138.83,0, , ,aktywna
,140.19,2048,87.0,0.0,11111101,140.54,0,0,0,nieaktywna,139.85,0, , ,nieaktywna
,141.25,1984,87.0,0.0,11101001,141.61,0,0,0,aktywna,140.89,0, , ,nieaktywna
,142.31,1984,87.0,0.0,11101011,142.68,0,0,0,aktywna,141.97,0, , ,aktywna
,143.41,1952,87.0,0.0,11101011,143.76,0,0,0,aktywna,143.04,0, , ,aktywna
,144.48,1920,87.0,-1.2,11101011,144.84,0,0,0,aktywna,144.13,0, , ,aktywna
,145.57,1920,87.0,-0.8,11101011,145.94,0,0,0,aktywna,145.21,0, , ,aktywna
,146.57,1280,87.0,0.0,11111111,146.91,0,0,0,nieaktywna,146.25,0, , ,nieaktywna
,147.53,992,87.0,0.0,11111111,147.81,0,0,0,nieaktywna,147.18,0, , ,nieaktywna
,148.44,832,87.0,0.0,11111111,148.75,0,0,0,nieaktywna,148.13,0, , ,nieaktywna
,149.34,896,87.0,0.8,11111111,149.64,0,0,0,nieaktywna,149.03,0, , ,nieaktywna
,150.26,896,87.0,3.5,11111111,150.59,0,0,0,nieaktywna,149.95,0, , ,nieaktywna
,151.19,896,87.0,5.1,11111111,151.48,0,0,0,nieaktywna,150.88,0, , ,nieaktywna
,152.10,1280,87.0,7.8,11101011,152.45,0,0,0,nieaktywna,151.76,0, , ,nieaktywna
,153.16,1600,87.0,0.0,11101011,153.50,0,0,0,nieaktywna,152.81,0, , ,nieaktywna
,154.21,1760,85.5,0.0,11101011,154.57,0,0,0,aktywna,153.85,0, , ,nieaktywna
,155.32,1920,87.0,0.0,11101011,155.66,0,0,0,aktywna,154.95,0, , ,aktywna
,156.37,1984,87.0,0.0,11101001,156.75,0,0,0,aktywna,156.01,0, , ,aktywna
,157.47,1952,87.0,-2.3,11101011,157.84,0,0,0,aktywna,157.11,0, , ,aktywna
,158.58,1952,87.0,-2.3,11101011,158.94,0,0,0,aktywna,158.20,0, , ,aktywna
,159.65,1952,87.0,-1.6,11101011,160.03,0,0,0,aktywna,159.29,0, , ,aktywna
,160.74,2016,87.0,0.0,11101001,161.07,0,0,0,nieaktywna,160.39,0, , ,aktywna
,161.78,2144,87.0,2.3,11101001,162.13,0,0,0,aktywna,161.44,0, , ,nieaktywna
,162.80,2272,87.0,4.7,11101001,163.14,0,0,0,aktywna,162.46,0, , ,aktywna
,163.82,2432,85.5,-0.4,11101001,164.14,0,0,0,aktywna,163.47,0, , ,aktywna
,164.82,2624,85.5,0.4,11101001,165.18,0,0,0,aktywna,164.48,0, , ,aktywna
,165.88,2848,85.5,0.8,11101001,166.20,0,0,0,aktywna,165.52,0, , ,aktywna
,166.97,3072,85.5,-0.4,11101001,167.32,0,0,0,aktywna,166.63,0, , ,aktywna
,168.06,3296,85.5,-0.4,11101001,168.44,0,0,0,aktywna,167.68,0, , ,aktywna
,169.17,3488,85.5,-1.6,11101001,169.55,0,0,0,aktywna,168.81,0, , ,aktywna
,170.32,3648,85.5,-0.4,11101001,170.72,0,0,0,aktywna,169.94,0, , ,aktywna
,171.48,3872,85.5,-1.2,11101001,171.83,0,0,0,nieaktywna,171.11,0, , ,aktywna
,172.52,2720,85.5,0.0,11101001,172.87,0,0,0,aktywna,172.18,0, , ,nieaktywna
,173.53,2880,85.5,0.0,11101001,173.85,0,0,0,aktywna,173.21,0, , ,aktywna
,174.62,2976,85.5,0.4,11101001,174.89,0,0,0,aktywna,174.20,0, , ,aktywna
,175.56,3040,85.5,0.0,11101001,175.99,0,0,0,aktywna,175.29,0, , ,aktywna
,176.60,2976,85.5,1.2,11101001,176.86,0,0,0,aktywna,176.33,0, , ,aktywna
,177.67,2976,87.0,0.0,11101001,178.14,0,0,0,aktywna,177.20,0, , ,aktywna
,178.84,2944,85.5,0.0,11101001,179.20,0,0,0,nieaktywna,178.57,0, , ,aktywna
,179.92,2912,85.5,-2.3,11101001,180.28,0,0,0,nieaktywna,179.53,0, , ,nieaktywna
,180.94,2880,85.5,0.0,11111101,181.28,0,0,0,nieaktywna,180.62,0, , ,nieaktywna
,181.97,2784,87.0,0.0,11111101,182.29,0,0,0,nieaktywna,181.62,0, , ,nieaktywna
,182.96,2720,87.0,0.0,11111101,183.31,0,0,0,nieaktywna,182.62,0, , ,nieaktywna
,183.96,2656,87.0,0.0,11111101,184.29,0,0,0,nieaktywna,183.64,0, , ,nieaktywna
,184.92,2560,87.0,0.0,11111101,185.26,0,0,0,nieaktywna,184.61,0, , ,nieaktywna
,185.94,2496,87.0,0.0,11101001,186.28,0,0,0,nieaktywna,185.60,0, , ,aktywna
,186.97,2560,87.0,0.0,11101001,187.29,0,0,0,aktywna,186.63,0, , ,aktywna
,187.98,2688,87.0,0.0,11101001,188.32,0,0,0,aktywna,187.64,0, , ,aktywna
,188.98,2784,87.0,0.0,11101001,189.32,0,0,0,aktywna,188.66,0, , ,aktywna
,190.00,2880,87.0,-0.8,11101001,190.31,0,0,0,aktywna,189.67,0, , ,aktywna
,191.22,2976,87.0,0.0,11101001,191.68,0,0,0,aktywna,190.77,0, , ,aktywna
,192.36,3008,87.0,0.0,11101001,192.62,0,0,0,aktywna,192.09,0, , ,aktywna
,193.55,2976,87.0,0.0,11101001,194.01,0,0,0,aktywna,193.09,0, , ,aktywna
,194.59,2976,87.0,1.2,11101001,195.02,0,0,0,aktywna,194.32,0, , ,aktywna
,195.62,2944,87.0,2.3,11101001,196.08,0,0,0,aktywna,195.36,0, , ,aktywna
,196.78,2944,87.0,4.3,11101001,197.12,0,0,0,aktywna,196.34,0, , ,aktywna
,197.74,2912,87.0,0.0,11101001,198.07,0,0,0,nieaktywna,197.40,0, , ,aktywna
,198.74,2880,87.0,-2.3,11111101,199.04,0,0,0,nieaktywna,198.41,0, , ,nieaktywna
,199.68,2784,87.0,0.0,11111101,199.99,0,0,0,nieaktywna,199.36,0, , ,nieaktywna
,200.64,2720,87.0,0.0,11111101,200.97,0,0,0,nieaktywna,200.30,0, , ,nieaktywna
,201.60,2656,87.0,0.0,11111101,201.93,0,0,0,nieaktywna,201.28,0, , ,nieaktywna
,202.59,2560,87.0,0.0,11101001,202.92,0,0,0,aktywna,202.25,0, , ,nieaktywna
,203.61,2560,87.0,0.0,11101001,203.95,0,0,0,aktywna,203.26,0, , ,aktywna
,204.61,2624,87.0,0.0,11101001,204.96,0,0,0,aktywna,204.28,0, , ,aktywna
,205.65,2720,87.0,-0.8,11101001,206.01,0,0,0,aktywna,205.32,0, , ,aktywna
,206.69,2816,87.0,-0.8,11101001,207.06,0,0,0,aktywna,206.35,0, , ,aktywna
,207.82,2912,87.0,0.0,11101001,208.10,0,0,0,aktywna,207.42,0, , ,aktywna
,208.62,3008,85.5,0.0,11101001,209.02,0,0,0,aktywna,208.36,0, , ,aktywna
,209.70,3104,85.5,-1.2,11101001,210.05,0,0,0,aktywna,209.36,0, , ,aktywna
,210.75,3200,85.5,-0.8,11101001,211.09,0,0,0,aktywna,210.41,0, , ,aktywna
,211.78,3296,85.5,-0.8,11101001,212.12,0,0,0,aktywna,211.44,0, , ,aktywna
,212.78,2944,85.5,0.0,11111101,213.11,0,0,0,nieaktywna,212.46,0, , ,aktywna
,213.81,2272,85.5,0.0,11101001,214.15,0,0,0,aktywna,213.47,0, , ,nieaktywna
,214.86,2496,85.5,0.0,11101001,215.19,0,0,0,aktywna,214.50,0, , ,aktywna
,215.88,2528,87.0,0.0,11101001,216.22,0,0,0,aktywna,215.53,0, , ,aktywna
,216.92,2528,87.0,4.3,11101001,217.27,0,0,0,aktywna,216.56,0, , ,aktywna
,217.94,2528,87.0,6.3,11101001,218.30,0,0,0,aktywna,217.61,0, , ,aktywna
,219.02,2528,87.0,3.5,11101001,219.34,0,0,0,aktywna,218.65,0, , ,aktywna
,220.03,2496,87.0,-0.8,11101001,220.39,0,0,0,aktywna,219.69,0, , ,aktywna
,221.08,2464,87.0,-2.3,11101001,221.42,0,0,0,aktywna,220.72,0, , ,aktywna
,222.10,2432,87.0,-3.5,11101001,222.46,0,0,0,aktywna,221.75,0, , ,aktywna
,223.15,2432,87.0,1.6,11101001,223.50,0,0,0,aktywna,222.81,0, , ,aktywna
,224.19,2432,87.0,6.3,11101001,224.53,0,0,0,aktywna,223.84,0, , ,aktywna
,225.24,2432,87.0,6.6,11101001,225.57,0,0,0,aktywna,224.89,0, , ,aktywna
,226.27,2400,87.0,7.0,11101001,226.59,0,0,0,aktywna,225.92,0, , ,aktywna
,227.31,2400,87.0,6.6,11101001,227.67,0,0,0,aktywna,226.96,0, , ,aktywna
,228.38,2400,87.0,6.6,11101001,228.71,0,0,0,aktywna,228.03,0, , ,aktywna
,229.42,2400,87.0,5.5,11101001,229.76,0,0,0,aktywna,229.04,0, , ,aktywna
,230.44,2368,87.0,0.8,11101001,230.78,0,0,0,nieaktywna,230.11,0, , ,aktywna
,231.44,2336,87.0,0.0,11111101,231.77,0,0,0,nieaktywna,231.11,0, , ,nieaktywna
,232.43,2272,87.0,0.0,11111101,232.77,0,0,0,nieaktywna,232.09,0, , ,nieaktywna
,233.42,2240,87.0,0.0,11111101,233.75,0,0,0,nieaktywna,233.10,0, , ,nieaktywna
,234.43,2176,87.0,0.0,11111101,234.77,0,0,0,nieaktywna,234.10,0, , ,nieaktywna
,235.44,2144,87.0,0.0,11101001,235.78,0,0,0,aktywna,235.10,0, , ,nieaktywna
,236.46,2144,87.0,0.0,11101001,236.78,0,0,0,aktywna,236.13,0, , ,aktywna
,237.45,2176,87.0,3.9,11101001,237.79,0,0,0,aktywna,237.12,0, , ,aktywna
,238.50,2208,87.0,6.6,11101001,238.84,0,0,0,aktywna,238.15,0, , ,aktywna
,239.48,2240,87.0,7.4,11101001,239.82,0,0,0,aktywna,239.16,0, , ,aktywna
,240.50,2240,87.0,8.2,11101001,240.83,0,0,0,aktywna,240.17,0, , ,aktywna
,241.50,2208,87.0,-2.0,11111101,241.84,0,0,0,nieaktywna,241.17,0, , ,aktywna
,242.52,2176,87.0,0.0,11111101,242.85,0,0,0,nieaktywna,242.19,0, , ,nieaktywna
,243.52,2080,87.0,0.0,11111101,243.85,0,0,0,nieaktywna,243.18,0, , ,nieaktywna
,244.56,1952,87.0,0.0,11111111,244.91,0,0,0,nieaktywna,244.21,0, , ,nieaktywna
,245.61,1824,87.0,0.0,11111111,245.94,0,0,0,nieaktywna,245.26,0, , ,nieaktywna
,246.62,1760,85.5,0.0,11111111,246.98,0,0,0,nieaktywna,246.28,0, , ,nieaktywna
,247.72,1792,85.5,0.0,11101011,248.06,0,0,0,aktywna,247.35,2, , ,aktywna
,248.78,1792,85.5,0.0,11101011,249.16,0,0,0,aktywna,248.44,19, , ,aktywna
,249.90,1856,85.5,-6.6,11101011,250.28,0,0,0,aktywna,249.53,26, , ,aktywna
,251.00,1920,85.5,-8.6,11101011,251.37,0,0,0,aktywna,250.64,26, , ,aktywna
,252.09,1952,85.5,-8.6,11101011,252.44,0,0,0,aktywna,251.74,26, , ,aktywna
,253.14,2016,85.5,-7.0,11101001,253.49,0,0,0,aktywna,252.79,26, , ,aktywna
,254.16,2080,85.5,-4.7,11101001,254.49,0,0,0,aktywna,253.83,26, , ,aktywna
,255.16,2112,85.5,-5.1,11101001,255.50,0,0,0,aktywna,254.83,26, , ,aktywna
,256.17,2176,85.5,-4.7,11101001,256.49,0,0,0,aktywna,255.83,26, , ,aktywna
,257.16,2240,85.5,-5.1,11101001,257.50,0,0,0,aktywna,256.82,26, , ,aktywna
,258.18,2272,85.5,-5.9,11101001,258.52,0,0,0,aktywna,257.84,26, , ,aktywna
,259.17,2304,85.5,0.0,11101001,259.49,0,0,0,aktywna,258.84,0, , ,aktywna
,260.15,2368,85.5,-2.7,11101001,260.49,0,0,0,aktywna,259.82,0, , ,aktywna
,261.17,2368,85.5,-3.5,11101001,261.54,0,0,0,aktywna,260.81,0, , ,aktywna
,262.24,2400,85.5,-3.9,11101001,262.56,0,0,0,aktywna,261.89,0, , ,aktywna
,263.27,2400,85.5,-3.1,11101001,263.61,0,0,0,aktywna,262.90,0, , ,aktywna
,264.35,2400,85.5,-2.0,11101001,264.66,0,0,0,aktywna,263.97,0, , ,aktywna
,265.33,2400,85.5,1.6,11101001,265.67,0,0,0,aktywna,264.97,0, , ,aktywna
,266.34,2432,85.5,0.0,11101001,266.72,0,0,0,aktywna,266.00,0, , ,aktywna
,267.40,2464,85.5,-0.4,11101001,267.75,0,0,0,aktywna,267.05,0, , ,aktywna
,268.43,2464,85.5,-1.6,11101001,268.78,0,0,0,aktywna,268.10,0, , ,aktywna
,269.45,2496,85.5,-1.2,11101001,269.80,0,0,0,aktywna,269.11,0, , ,aktywna
,270.50,2528,85.5,-1.6,11101001,270.86,0,0,0,aktywna,270.16,0, , ,aktywna
,271.54,2528,85.5,-0.8,11101001,271.89,0,0,0,aktywna,271.19,0, , ,aktywna
,272.58,2560,85.5,-0.8,11101001,272.94,0,0,0,aktywna,272.23,0, , ,aktywna
,273.61,2592,85.5,-1.6,11101001,273.95,0,0,0,aktywna,273.26,0, , ,aktywna
,274.64,2592,85.5,-1.2,11101001,274.96,0,0,0,aktywna,274.29,0, , ,aktywna
,275.67,2560,85.5,-2.3,11101001,276.01,0,0,0,nieaktywna,275.32,0, , ,aktywna
