Sobota,29,Sierpieñ,2026,12:45:31:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'004
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Obroty silnika,Napiêcie,Temperatura,Temperatura
,77.91,800,84.0,-4.7,10111111,78.19,768,32.5,4.12,438.6,77.61,800,13.64,84.0,37.5
,78.80,768,84.0,-5.1,10111111,79.11,768,32.5,4.12,459.0,78.49,768,13.74,84.0,37.5
,79.73,800,84.0,-5.1,10111111,80.02,800,32.5,4.12,459.0,79.42,768,13.64,84.0,37.5
,80.61,768,84.0,-5.1,10111111,80.90,768,32.5,4.12,459.0,80.31,800,13.84,84.0,37.5
,81.49,768,84.0,-5.1,10111111,81.80,800,32.5,4.12,459.0,81.19,768,13.74,84.0,37.5
,82.38,800,84.0,-5.1,10111111,82.70,800,32.5,4.12,438.6,82.09,800,13.74,84.0,37.5
,83.31,768,84.0,-4.7,10111111,83.61,768,32.5,4.12,459.0,83.00,800,13.64,84.0,37.5
,84.23,768,84.0,-4.7,10111111,84.54,800,32.5,4.12,438.6,83.92,768,13.74,84.0,37.5
,85.13,800,84.0,-3.9,10111111,85.44,800,32.5,4.12,459.0,84.84,768,13.74,84.0,37.5
,86.05,800,84.0,-2.0,10111111,86.35,768,31.0,4.12,438.6,85.75,800,13.74,84.0,37.5
,86.96,768,84.0,-6.3,10111111,87.27,800,32.5,4.12,459.0,86.66,800,13.64,84.0,37.5
,87.86,768,84.0,-6.3,10111111,88.16,768,32.5,4.12,459.0,87.57,768,13.53,84.0,37.5
,88.77,768,84.0,-6.3,10111111,89.07,768,32.5,4.12,459.0,88.46,768,13.53,84.0,37.5
,89.66,768,84.0,-6.3,10111111,89.96,768,32.5,4.12,459.0,89.36,800,13.74,84.0,37.5
,90.57,800,84.0,-5.5,10111111,90.87,800,32.5,4.12,459.0,90.27,768,13.74,84.0,37.5
,91.46,768,84.0,-5.1,10111111,91.77,768,32.5,4.12,459.0,91.16,800,13.53,84.0,37.5
,92.37,800,84.0,-4.7,10111111,92.66,800,32.5,4.12,459.0,92.07,768,13.64,84.0,37.5
,93.27,800,84.0,-4.3,10111111,93.57,800,32.5,4.12,459.0,92.96,800,13.64,84.0,37.5
,94.16,800,84.0,-4.7,10111111,94.46,800,32.5,4.12,459.0,93.87,800,13.74,84.0,37.5
,95.07,768,84.0,-4.7,10111111,95.36,768,32.5,4.12,459.0,94.76,768,13.64,84.0,37.5
,95.95,800,84.0,-4.3,10111111,96.25,800,32.5,4.12,438.6,95.66,800,13.64,84.0,37.5
,96.84,768,84.0,-4.3,10111111,97.14,768,32.5,4.12,459.0,96.55,768,13.64,84.0,37.5
,97.74,768,82.5,-4.3,10111111,98.02,800,32.5,4.12,438.6,97.45,800,13.64,82.5,37.5
,98.61,768,82.5,-4.3,10111111,98.91,800,32.5,4.12,459.0,98.32,768,13.64,82.5,37.5
,99.54,768,82.5,-3.9,10111111,99.82,800,32.5,4.12,459.0,99.22,768,13.64,82.5,37.5
,100.40,800,82.5,-3.9,10111111,100.71,768,32.5,4.12,459.0,100.11,768,13.64,82.5,37.5
,101.33,800,81.0,-4.3,10111111,101.63,768,31.0,4.12,438.6,101.02,800,13.64,81.0,37.5
,102.20,768,81.0,-4.3,10111111,102.48,800,32.5,4.12,459.0,101.91,768,13.74,81.0,37.5
,103.07,800,81.0,-3.5,10111111,103.37,800,32.5,4.12,438.6,102.77,768,13.53,81.0,37.5
,103.97,768,81.0,-3.5,10111111,104.26,768,32.5,4.12,459.0,103.67,800,13.64,81.0,37.5
,104.86,800,81.0,-3.9,10111111,105.16,768,32.5,4.12,438.6,104.56,800,13.64,81.0,37.5
,105.76,800,79.5,-3.9,10111111,106.04,800,32.5,4.12,459.0,105.46,800,13.74,79.5,37.5
,106.62,800,79.5,-4.3,10111111,106.93,800,32.5,4.12,438.6,106.33,800,13.64,79.5,37.5
,107.52,768,79.5,-4.7,10111110,107.82,800,32.5,4.12,459.0,107.23,800,13.64,79.5,37.5
,108.42,800,79.5,-4.7,10111110,108.73,768,32.5,4.12,459.0,108.13,800,13.64,79.5,37.5
,109.33,800,78.0,-4.7,10111110,109.63,800,32.5,4.12,438.6,109.03,800,13.74,78.0,39.0
,110.22,768,78.0,-4.7,10111110,110.51,800,32.5,4.12,459.0,109.92,800,13.74,78.0,39.0
,111.10,768,78.0,-5.1,10111110,111.39,800,34.1,4.12,459.0,110.79,768,13.74,78.0,39.0
,112.02,800,78.0,-4.7,10111110,112.32,800,32.5,4.12,459.0,111.70,800,13.84,78.0,39.0
,112.92,800,78.0,-4.7,10111110,113.21,800,32.5,4.12,459.0,112.62,800,13.74,78.0,39.0
,113.83,800,78.0,-4.3,10111110,114.13,768,35.3,4.12,479.4,113.51,800,13.74,78.0,39.0
,114.71,832,78.0,3.5,10111110,115.00,832,34.1,5.15,459.0,114.42,800,13.64,78.0,39.0
,115.61,800,78.0,6.3,10111110,115.91,800,31.0,4.12,438.6,115.32,832,13.74,78.0,39.0
,116.49,832,78.0,0.8,10111110,116.79,800,31.0,4.12,438.6,116.20,800,13.74,78.0,39.0
,117.37,800,76.5,-3.9,10111110,117.68,800,31.0,4.12,438.6,117.08,800,13.53,76.5,39.0
,118.26,768,76.5,-7.0,10111110,118.55,800,34.1,4.12,459.0,117.98,768,13.74,76.5,39.0
,119.14,800,76.5,-5.9,10111110,119.44,800,34.1,4.12,459.0,118.85,800,13.64,76.5,39.0
,120.03,800,76.5,-5.5,10111110,120.33,800,32.5,4.12,438.6,119.74,800,13.64,76.5,39.0
,120.91,800,76.5,-7.4,10111110,121.20,800,34.1,4.12,459.0,120.62,768,13.74,76.5,39.0
,121.77,768,76.5,-5.5,10111110,122.06,704,34.1,5.15,459.0,121.49,800,13.64,76.5,39.0
,122.66,832,76.5,-12.1,10111110,122.96,800,34.1,3.09,479.4,122.37,672,13.03,76.5,39.0
,123.58,768,76.5,-18.8,10111110,123.87,768,36.9,4.12,479.4,123.27,768,13.53,76.5,39.0
,124.45,768,76.5,-16.0,10111110,124.75,768,36.9,4.12,499.8,124.16,768,13.74,76.5,39.0
,125.34,768,76.5,-11.3,10111110,125.63,768,35.3,4.12,479.4,125.06,800,13.64,76.5,39.0
,126.23,800,76.5,-7.4,10111110,126.52,800,35.3,4.12,479.4,125.94,800,13.84,76.5,39.0
,127.13,800,76.5,-5.9,10111110,127.42,800,34.1,4.12,459.0,126.83,800,13.74,76.5,39.0
,128.02,800,78.0,-5.5,10111110,128.34,768,35.3,4.12,479.4,127.72,800,13.64,76.5,39.0
,128.94,800,76.5,-5.1,10111110,129.24,800,34.1,4.12,459.0,128.64,800,13.53,78.0,39.0
,129.86,800,76.5,-4.3,10111110,130.16,800,34.1,4.12,459.0,129.56,832,13.74,76.5,39.0
,130.76,800,78.0,-4.3,10111110,131.05,800,32.5,4.12,459.0,130.46,800,13.74,78.0,39.0
,131.64,800,78.0,-3.9,10111110,131.95,800,34.1,4.12,459.0,131.35,800,13.64,78.0,39.0
,132.56,800,78.0,-3.9,10111110,132.86,800,32.5,4.12,459.0,132.25,800,13.74,78.0,39.0
,133.48,800,78.0,-4.3,10111110,133.78,800,32.5,4.12,459.0,133.17,800,13.84,78.0,39.0
,134.40,768,78.0,-4.3,10111110,134.72,800,32.5,4.12,459.0,134.08,768,13.64,78.0,39.0
,135.34,800,78.0,-4.3,10111110,135.63,800,32.5,4.12,438.6,135.03,800,13.64,78.0,39.0
,136.23,800,78.0,-4.3,10111110,136.53,800,32.5,4.12,438.6,135.93,800,13.64,78.0,39.0
,137.13,800,78.0,-4.7,10111110,137.43,768,32.5,4.12,438.6,136.84,768,13.64,78.0,39.0
,138.04,768,78.0,-5.1,10111110,138.35,800,32.5,4.12,459.0,137.72,800,13.74,78.0,39.0
,138.94,768,78.0,-5.1,10111110,139.25,768,32.5,4.12,459.0,138.65,800,13.64,78.0,39.0
,139.86,768,78.0,-5.1,10111110,140.17,800,32.5,4.12,438.6,139.55,768,13.64,78.0,39.0
,140.78,768,78.0,-5.1,10111110,141.07,800,32.5,4.12,459.0,140.47,768,13.64,78.0,40.5
,141.65,768,78.0,-5.1,10111110,141.95,768,32.5,4.12,459.0,141.35,768,13.74,78.0,39.0
,142.52,768,78.0,-4.7,10111110,142.81,800,32.5,4.12,459.0,142.23,768,13.74,78.0,39.0
,143.40,768,79.5,-4.7,10111110,143.70,800,32.5,4.12,459.0,143.11,768,13.74,79.5,39.0
,144.28,768,79.5,-4.7,10111110,144.60,768,32.5,4.12,459.0,143.99,800,13.64,79.5,39.0
,145.21,800,79.5,-4.7,10111110,145.52,768,32.5,4.12,438.6,144.90,800,13.74,79.5,40.5
,146.12,800,79.5,-4.7,10111110,146.41,800,32.5,4.12,438.6,145.82,768,13.64,79.5,39.0
,146.99,800,79.5,-4.7,10111111,147.29,768,32.5,4.12,438.6,146.71,768,13.74,79.5,40.5
,147.87,800,79.5,-4.3,10111111,148.16,800,32.5,4.12,438.6,147.59,768,13.64,79.5,40.5
,148.76,768,79.5,-4.3,10111111,149.07,800,32.5,4.12,459.0,148.46,768,13.64,79.5,40.5
,149.68,800,79.5,-4.3,10111111,149.97,768,32.5,4.12,438.6,149.38,800,13.53,79.5,40.5
,150.59,768,79.5,-3.9,10111111,150.88,800,32.5,4.12,438.6,150.29,800,13.53,79.5,40.5
,151.47,800,79.5,-4.3,10111111,151.77,800,32.5,4.12,438.6,151.18,768,13.64,79.5,40.5
,152.34,800,79.5,-4.7,10111111,152.62,800,32.5,4.12,438.6,152.06,800,13.64,79.5,40.5
,153.22,800,81.0,-4.7,10111111,153.52,800,32.5,4.12,438.6,152.91,800,13.74,81.0,40.5
,154.11,800,81.0,-4.7,10111111,154.41,800,32.5,4.12,459.0,153.82,800,13.64,81.0,40.5
,155.03,800,81.0,-3.9,10111111,155.34,800,32.5,4.12,438.6,154.71,800,13.74,81.0,40.5
,155.93,800,81.0,-3.9,10111111,156.22,800,32.5,4.12,459.0,155.63,800,13.64,81.0,40.5
,156.83,800,81.0,-3.9,10111111,157.12,800,32.5,4.12,459.0,156.52,800,13.64,81.0,40.5
,157.72,800,81.0,-3.5,10111111,158.02,800,32.5,4.12,438.6,157.42,800,13.64,81.0,40.5
,158.61,800,81.0,-3.1,10111111,158.93,768,32.5,4.12,438.6,158.31,800,13.74,81.0,40.5
,159.55,800,81.0,-3.1,10111111,159.85,800,31.0,4.12,438.6,159.22,800,13.74,81.0,40.5
,160.46,768,81.0,-3.1,10111111,160.75,800,32.5,4.12,438.6,160.14,768,13.53,81.0,40.5
,161.38,768,81.0,-3.5,10111111,161.67,800,31.0,4.12,438.6,161.06,800,13.64,81.0,40.5
,162.27,768,81.0,-3.9,10111111,162.58,800,31.0,4.12,438.6,161.96,768,13.64,81.0,40.5
,163.17,768,82.5,-3.9,10111111,163.47,768,31.0,4.12,438.6,162.87,768,13.64,81.0,40.5
,164.07,768,82.5,-3.5,10111111,164.37,800,32.5,4.12,459.0,163.78,768,13.74,82.5,40.5
,164.94,768,81.0,-3.1,10111111,165.23,768,32.5,4.12,438.6,164.65,800,13.64,82.5,40.5
,165.83,800,81.0,-3.1,10111111,166.14,800,31.0,4.12,438.6,165.53,800,13.74,81.0,40.5
,166.72,768,82.5,-3.5,10111111,167.03,800,32.5,4.12,438.6,166.43,768,13.64,82.5,40.5
,167.64,800,82.5,-3.5,10111111,167.94,800,31.0,4.12,438.6,167.35,800,13.64,82.5,40.5
,168.52,800,82.5,-4.3,10111111,168.83,800,32.5,4.12,459.0,168.23,800,13.64,82.5,40.5
,169.42,800,82.5,-3.9,10111111,169.71,800,31.0,4.12,438.6,169.12,800,13.64,82.5,40.5
,170.32,800,82.5,-4.3,10111111,170.62,768,31.0,4.12,438.6,170.02,800,13.74,82.5,40.5
,195.56,768,84.0,-5.9,10111111,195.86,768,32.5,4.12,459.0,195.26,768,13.53,84.0,42.0
,196.46,768,84.0,-5.9,10111111,196.76,800,31.0,4.12,438.6,196.16,768,13.64,84.0,42.0
,197.34,768,85.5,-5.9,10111111,197.63,768,32.5,4.12,459.0,197.05,768,13.53,85.5,42.0
,198.21,800,85.5,-5.9,10111111,198.52,768,32.5,4.12,459.0,197.92,800,13.74,85.5,42.0
,199.12,800,85.5,-5.5,10111111,199.40,800,32.5,4.12,459.0,198.82,800,13.74,85.5,42.0
,199.98,800,85.5,-4.7,10111111,200.27,800,31.0,4.12,438.6,199.70,800,13.74,85.5,42.0
,200.87,800,85.5,-4.7,10111111,201.17,800,32.5,4.12,438.6,200.57,800,13.64,85.5,42.0
,201.79,800,85.5,-4.7,10111111,202.09,800,31.0,4.12,438.6,201.47,800,13.64,85.5,42.0
,202.70,768,85.5,-4.7,10111111,202.99,800,31.0,4.12,438.6,202.39,800,13.64,85.5,42.0
,228.04,768,82.5,-4.7,10111111,228.32,736,31.0,4.12,438.6,227.74,768,13.64,82.5,43.5
,228.94,800,82.5,-9.0,10111111,229.24,800,32.5,4.12,438.6,228.63,672,13.33,82.5,43.5
,229.85,768,82.5,-16.0,10111111,230.18,736,34.1,4.12,459.0,229.57,736,13.53,82.5,43.5
,230.76,800,82.5,-13.7,10111111,231.05,768,34.1,4.12,459.0,230.46,768,13.53,82.5,43.5
,231.66,800,82.5,-9.4,10111111,231.96,800,34.1,4.12,459.0,231.35,768,13.64,82.5,43.5
,232.56,800,82.5,-5.9,10111111,232.85,800,32.5,4.12,459.0,232.26,800,13.64,82.5,43.5
,233.44,800,82.5,-4.7,10111111,233.75,800,32.5,4.12,438.6,233.15,800,13.74,82.5,43.5
,234.37,800,82.5,-4.7,10111111,234.68,800,31.0,4.12,438.6,234.07,800,13.64,82.5,43.5
,235.26,800,82.5,-4.7,10111111,235.55,768,32.5,4.12,438.6,234.97,800,13.74,82.5,43.5
,236.16,768,81.0,-4.7,10111111,236.46,800,32.5,4.12,438.6,235.86,768,13.64,82.5,43.5
,237.04,768,81.0,-4.7,10111111,237.32,800,32.5,4.12,438.6,236.74,768,13.53,81.0,43.5
,237.92,800,81.0,-4.3,10111111,238.22,768,31.0,4.12,438.6,237.61,800,13.64,81.0,43.5
,238.82,768,81.0,-4.7,10111111,239.11,800,32.5,4.12,438.6,238.52,768,13.74,81.0,43.5
,239.71,768,81.0,-4.3,10111111,239.99,800,31.0,4.12,438.6,239.41,800,13.64,81.0,43.5
,240.58,800,81.0,-4.7,10111111,240.89,800,31.0,4.12,438.6,240.29,800,13.64,81.0,43.5
,241.49,768,82.5,-4.3,10111111,241.80,800,31.0,4.12,438.6,241.19,800,13.64,82.5,43.5
,242.38,800,81.0,-3.9,10111111,242.67,800,31.0,4.12,438.6,242.09,768,13.64,81.0,43.5
,243.25,800,81.0,-3.9,10111111,243.55,800,31.0,4.12,438.6,242.95,800,13.64,81.0,43.5
,244.14,800,81.0,-3.9,10111111,244.44,768,31.0,4.12,438.6,243.84,800,13.74,81.0,43.5
,245.02,800,81.0,-4.3,10111111,245.34,800,32.5,4.12,438.6,244.73,800,13.64,81.0,43.5
,245.94,800,81.0,-3.9,10111111,246.24,768,31.0,4.12,438.6,245.63,800,13.64,81.0,43.5
,246.82,800,81.0,-4.3,10111111,247.14,800,31.0,4.12,438.6,246.53,800,13.64,81.0,43.5
,247.74,800,81.0,-3.9,10111111,248.04,800,31.0,4.12,438.6,247.44,800,13.74,81.0,43.5
,248.63,800,81.0,-4.3,10111111,248.92,800,31.0,4.12,438.6,248.33,800,13.64,81.0,43.5
,249.50,768,82.5,-4.3,10111111,249.80,800,31.0,4.12,438.6,249.21,800,13.64,82.5,43.5
,250.40,768,82.5,-4.7,10111111,250.69,768,32.5,4.12,438.6,250.10,768,13.64,82.5,43.5
,251.30,800,82.5,-4.7,10111111,251.59,768,32.5,4.12,438.6,251.00,800,13.64,82.5,43.5
,252.19,768,82.5,-4.3,10111111,252.49,768,32.5,4.12,438.6,251.89,768,13.64,82.5,43.5
,253.12,768,82.5,-4.3,10111111,253.43,800,31.0,4.12,438.6,252.80,800,13.53,82.5,43.5
,254.01,800,82.5,-4.3,10111111,254.30,800,31.0,4.12,438.6,253.73,800,13.64,82.5,43.5
,254.89,800,82.5,-3.9,10111111,255.21,800,31.0,4.12,438.6,254.60,768,13.64,82.5,43.5
,255.78,768,82.5,-4.3,10111111,256.08,768,31.0,4.12,438.6,255.49,800,13.64,82.5,43.5
,256.67,800,82.5,-3.9,10111111,256.97,768,31.0,4.12,438.6,256.39,800,13.64,82.5,43.5
,257.58,800,82.5,-3.5,10111111,257.88,768,31.0,4.12,438.6,257.29,800,13.64,82.5,43.5
,258.50,800,82.5,-3.5,10111111,258.81,768,31.0,4.12,438.6,258.20,800,13.64,82.5,43.5
,259.39,800,82.5,-3.5,10111111,259.69,800,31.0,4.12,438.6,259.10,800,13.74,82.5,43.5
,260.31,800,82.5,-3.5,10111111,260.61,800,31.0,4.12,438.6,260.00,800,13.74,82.5,43.5
,261.21,800,82.5,-3.9,10111111,261.50,800,31.0,4.12,438.6,260.91,800,13.64,82.5,43.5
,262.11,800,82.5,-3.5,10111111,262.42,800,31.0,4.12,438.6,261.81,800,13.64,82.5,43.5
,263.03,800,82.5,-3.9,10111111,263.34,800,31.0,4.12,438.6,262.72,800,13.64,82.5,43.5
