Środa,12,Sierpień,2026,09:42:36:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,74.24,960,81.0,0.0,11111111,74.56,0,0,0,aktywna,74.93,0, , ,nieaktywna
,75.27,1760,81.0,0.0,11101011,75.61,0,0,0,aktywna,75.95,0, , ,aktywna
,76.30,1728,81.0,0.0,11101011,76.68,0,0,0,aktywna,77.03,0, , ,aktywna
,77.42,1728,81.0,2.7,11101011,77.78,0,0,0,aktywna,78.15,0, , ,aktywna
,78.51,1728,81.0,6.6,11101011,78.85,0,0,0,aktywna,79.19,0, , ,aktywna
,79.56,1760,81.0,9.0,11101011,79.94,0,0,0,aktywna,80.32,0, , ,aktywna
,80.71,1760,79.5,10.2,11101011,81.06,0,0,0,aktywna,81.44,0, , ,aktywna
,81.81,1792,81.0,8.2,11101011,82.19,0,0,0,aktywna,82.56,0, , ,aktywna
,82.93,1792,81.0,6.6,11101011,83.30,0,0,0,aktywna,83.66,0, , ,aktywna
,84.02,1824,81.0,4.3,11101011,84.38,0,0,0,aktywna,84.70,0, , ,aktywna
,85.05,1792,81.0,-0.8,11111111,85.41,0,0,0,nieaktywna,85.74,0, , ,nieaktywna
,86.08,1760,79.5,0.0,11101011,86.43,0,0,0,nieaktywna,86.76,0, , ,aktywna
,87.11,1728,79.5,0.0,11101011,87.47,0,0,0,aktywna,87.82,0, , ,aktywna
,88.18,1696,79.5,9.0,11101011,88.52,0,0,0,aktywna,88.87,0, , ,aktywna
,89.23,1696,79.5,9.8,11101011,89.57,0,0,0,aktywna,89.92,0, , ,aktywna
,90.28,1696,79.5,10.2,11101011,90.63,0,0,0,aktywna,91.01,0, , ,aktywna
,91.34,1664,81.0,10.2,11101011,91.70,0,0,0,aktywna,92.09,0, , ,aktywna
,92.44,1664,79.5,9.8,11101011,92.78,0,0,0,aktywna,93.13,0, , ,aktywna
,93.51,1664,79.5,9.8,11101011,93.86,0,0,0,aktywna,94.21,0, , ,aktywna
,94.56,1664,79.5,9.8,11101011,94.96,0,0,0,aktywna,95.30,0, , ,aktywna
,95.66,1632,79.5,8.6,11101011,96.01,0,0,0,aktywna,96.37,0, , ,aktywna
,96.73,1632,79.5,8.6,11101011,97.12,0,0,0,aktywna,97.52,0, , ,aktywna
,97.90,1632,79.5,8.2,11101010,98.28,0,0,0,aktywna,98.63,0, , ,aktywna
,99.03,1632,79.5,7.4,11101011,99.41,0,0,0,aktywna,99.76,0, , ,aktywna
,100.13,1632,79.5,6.6,11101011,100.50,0,0,0,aktywna,100.87,0, , ,aktywna
,101.24,1600,79.5,6.3,11101011,101.59,0,0,0,aktywna,101.94,0, , ,aktywna
,102.32,1600,79.5,5.9,11101010,102.67,0,0,0,aktywna,103.02,0, , ,aktywna
,103.40,1600,79.5,5.5,11101010,103.74,0,0,0,aktywna,104.11,0, , ,aktywna
,104.48,1600,79.5,5.5,11101011,104.84,0,0,0,aktywna,105.20,0, , ,aktywna
,105.57,1568,79.5,6.3,11101011,105.95,0,0,0,aktywna,106.32,0, , ,aktywna
,106.68,1600,79.5,9.8,11101011,107.04,0,0,0,aktywna,107.40,0, , ,aktywna
,107.75,1600,81.0,14.5,11101011,108.09,0,0,0,aktywna,108.46,0, , ,aktywna
,108.83,1600,79.5,12.9,11101010,109.21,0,0,0,aktywna,109.57,0, , ,aktywna
,109.92,1568,79.5,11.7,11101010,110.28,0,0,0,aktywna,110.64,0, , ,aktywna
,111.00,1568,79.5,9.4,11101011,111.34,0,0,0,aktywna,111.71,0, , ,aktywna
,112.05,1568,79.5,10.5,11101011,112.42,0,0,0,aktywna,112.78,0, , ,aktywna
,113.15,1600,79.5,11.3,11101011,113.50,0,0,0,aktywna,113.86,0, , ,aktywna
,114.23,1600,79.5,12.1,11101011,114.57,0,0,0,aktywna,114.94,0, , ,aktywna
,115.31,1600,79.5,12.5,11101011,115.66,0,0,0,nieaktywna,116.01,0, , ,nieaktywna
,116.39,1600,79.5,5.5,11111111,116.75,0,0,0,nieaktywna,117.11,0, , ,nieaktywna
,117.49,1536,79.5,3.5,11101010,117.78,0,0,0,aktywna,118.24,0, , ,aktywna
,118.56,1472,79.5,0.8,11101011,118.86,0,0,0,aktywna,119.13,0, , ,aktywna
,119.50,1504,79.5,0.0,11101011,119.96,0,0,0,aktywna,120.29,0, , ,aktywna
,120.56,1504,79.5,7.4,11101011,121.01,0,0,0,aktywna,121.27,0, , ,aktywna
,121.70,1504,79.5,9.0,11101011,122.01,0,0,0,aktywna,122.31,0, , ,aktywna
,122.77,1472,79.5,10.5,11101010,123.04,0,0,0,aktywna,123.30,0, , ,aktywna
,123.57,1504,79.5,10.5,11101011,123.83,0,0,0,aktywna,124.10,0, , ,aktywna
,124.37,1472,79.5,10.2,11101011,124.81,0,0,0,aktywna,125.16,0, , ,aktywna
,125.47,1472,79.5,6.3,11101011,125.79,0,0,0,aktywna,126.15,0, , ,aktywna
,126.49,1440,79.5,8.2,11101011,126.83,0,0,0,aktywna,127.18,0, , ,aktywna
,127.51,1440,79.5,0.0,11101011,127.88,0,0,0,aktywna,128.16,0, , ,aktywna
,128.48,1568,79.5,0.0,11111111,128.78,0,0,0,nieaktywna,129.09,0, , ,nieaktywna
,129.43,1216,79.5,0.0,11111111,129.79,0,0,0,nieaktywna,130.15,0, , ,nieaktywna
,130.46,1792,79.5,0.0,11101011,130.78,0,0,0,aktywna,131.11,0, , ,aktywna
,131.47,1760,79.5,1.2,11101011,131.84,0,0,0,aktywna,132.20,0, , ,aktywna
,132.59,1760,79.5,2.7,11101011,132.97,0,0,0,aktywna,133.36,0, , ,aktywna
,133.73,1760,79.5,5.9,11101011,134.07,0,0,0,aktywna,134.42,0, , ,aktywna
,134.79,1760,79.5,7.8,11101011,135.16,0,0,0,aktywna,135.52,0, , ,aktywna
,135.88,1760,79.5,9.4,11101011,136.24,0,0,0,aktywna,136.63,0, , ,aktywna
,137.00,1728,79.5,10.2,11101011,137.38,0,0,0,aktywna,137.75,0, , ,aktywna
,138.12,1728,79.5,13.3,11101011,138.49,0,0,0,aktywna,138.83,0, , ,aktywna
,139.22,1760,79.5,17.2,11101011,139.60,0,0,0,aktywna,139.99,0, , ,aktywna
,140.33,1792,79.5,16.4,11101011,140.69,0,0,0,aktywna,141.06,0, , ,aktywna
,141.44,1856,79.5,14.5,11101011,141.80,0,0,0,aktywna,142.16,0, , ,aktywna
,142.53,1952,79.5,8.2,11101011,142.91,0,0,0,aktywna,143.26,0, , ,aktywna
,143.60,1984,79.5,2.3,11101001,143.95,0,0,0,aktywna,144.32,0, , ,aktywna
,144.65,2048,79.5,0.4,11101001,144.98,0,0,0,aktywna,145.31,0, , ,aktywna
,145.65,2112,79.5,-1.6,11101001,145.97,0,0,0,aktywna,146.32,0, , ,aktywna
,146.66,2144,79.5,-2.0,11101001,147.01,0,0,0,aktywna,147.34,0, , ,aktywna
,147.67,2176,79.5,-1.6,11101001,148.01,0,0,0,aktywna,148.35,0, , ,aktywna
,148.70,2208,79.5,0.0,11101001,149.03,0,0,0,aktywna,149.37,0, , ,aktywna
,149.70,2208,79.5,2.7,11101001,150.04,0,0,0,aktywna,150.38,0, , ,aktywna
,150.72,2208,81.0,2.3,11101001,151.06,0,0,0,aktywna,151.41,0, , ,aktywna
,151.75,2176,79.5,4.7,11101001,152.09,0,0,0,aktywna,152.46,0, , ,aktywna
,152.81,2144,79.5,4.3,11101001,153.15,0,0,0,aktywna,153.49,0, , ,aktywna
,153.82,2112,79.5,3.9,11101001,154.15,0,0,0,aktywna,154.50,0, , ,aktywna
,154.84,2048,79.5,5.5,11101001,155.21,0,0,0,aktywna,155.56,0, , ,aktywna
,155.93,2016,81.0,3.9,11101001,156.28,0,0,0,aktywna,156.64,0, , ,aktywna
,157.00,1984,81.0,3.9,11101011,157.38,0,0,0,aktywna,157.75,0, , ,aktywna
,158.11,1952,81.0,5.1,11101011,158.49,0,0,0,aktywna,158.85,0, , ,aktywna
,159.21,1952,81.0,5.9,11101011,159.58,0,0,0,aktywna,159.94,0, , ,aktywna
,160.30,1952,81.0,8.2,11101011,160.66,0,0,0,aktywna,161.02,0, , ,aktywna
,161.37,2048,81.0,15.2,11101001,161.72,0,0,0,aktywna,162.08,0, , ,aktywna
,162.43,2112,81.0,19.5,11101001,162.78,0,0,0,aktywna,163.13,0, , ,aktywna
,163.48,2144,81.0,12.5,11101001,163.83,0,0,0,aktywna,164.17,0, , ,aktywna
,164.52,2144,81.0,9.0,11101001,164.87,0,0,0,aktywna,165.20,0, , ,aktywna
,165.53,2176,81.0,5.9,11101001,165.87,0,0,0,aktywna,166.21,0, , ,aktywna
,166.53,2208,81.0,4.7,11101001,166.87,0,0,0,aktywna,167.22,0, , ,aktywna
,167.56,2176,81.0,-0.8,11101001,167.91,0,0,0,nieaktywna,168.25,0, , ,nieaktywna
,168.59,2176,81.0,2.0,11101001,168.95,0,0,0,nieaktywna,169.30,0, , ,nieaktywna
,169.64,2208,81.0,5.1,11101001,169.98,0,0,0,nieaktywna,170.33,0, , ,nieaktywna
,170.68,2176,81.0,5.1,11111101,171.02,0,0,0,nieaktywna,171.37,0, , ,nieaktywna
,171.70,2112,81.0,0.0,11111101,172.05,0,0,0,nieaktywna,172.41,0, , ,aktywna
,172.77,2112,81.0,0.0,11101001,173.12,0,0,0,aktywna,173.47,0, , ,aktywna
,173.79,2208,81.0,4.7,11101001,174.12,0,0,0,aktywna,174.45,0, , ,aktywna
,174.78,2304,81.0,0.0,11111101,175.12,0,0,0,nieaktywna,175.44,0, , ,nieaktywna
,175.78,2240,81.0,3.5,11111101,176.13,0,0,0,nieaktywna,176.48,0, , ,nieaktywna
,176.82,2208,81.0,0.0,11101001,177.14,0,0,0,nieaktywna,177.49,0, , ,aktywna
,177.83,2176,81.0,0.0,11101001,178.17,0,0,0,aktywna,178.51,0, , ,aktywna
,178.86,2144,81.0,-1.6,11101001,179.21,0,0,0,aktywna,179.53,0, , ,aktywna
,179.87,2144,81.0,-1.2,11101001,180.23,0,0,0,aktywna,180.57,0, , ,aktywna
,180.90,2176,81.0,3.1,11101001,181.22,0,0,0,aktywna,181.55,0, , ,aktywna
,181.89,2176,81.0,9.0,11101001,182.23,0,0,0,aktywna,182.56,0, , ,aktywna
,182.90,2208,81.0,12.9,11101001,183.24,0,0,0,aktywna,183.58,0, , ,aktywna
,183.93,2176,81.0,7.4,11101001,184.26,0,0,0,nieaktywna,184.59,0, , ,nieaktywna
,184.96,2144,81.0,6.6,11111101,185.30,0,0,0,nieaktywna,185.64,0, , ,nieaktywna
,186.01,2048,81.0,0.0,11101001,186.36,0,0,0,aktywna,186.71,0, , ,aktywna
,187.05,2048,81.0,-0.8,11101001,187.40,0,0,0,aktywna,187.75,0, , ,aktywna
,188.09,2048,81.0,5.1,11101001,188.44,0,0,0,aktywna,188.80,0, , ,aktywna
,189.14,2080,81.0,9.4,11101001,189.50,0,0,0,aktywna,189.85,0, , ,aktywna
,190.20,2112,81.0,13.7,11101001,190.55,0,0,0,aktywna,190.90,0, , ,aktywna
,191.23,2144,81.0,15.6,11101001,191.56,0,0,0,aktywna,191.92,0, , ,aktywna
,192.26,2176,81.0,16.0,11101001,192.58,0,0,0,aktywna,192.92,0, , ,aktywna
,193.27,2208,81.0,13.3,11101001,193.61,0,0,0,aktywna,193.96,0, , ,aktywna
,194.29,2208,81.0,13.7,11101001,194.62,0,0,0,aktywna,194.98,0, , ,aktywna
,195.34,2240,81.0,13.3,11101001,195.68,0,0,0,aktywna,196.01,0, , ,aktywna
,196.34,2272,81.0,10.2,11101001,196.67,0,0,0,aktywna,197.02,0, , ,aktywna
,197.36,2272,81.0,9.4,11101001,197.71,0,0,0,aktywna,198.04,0, , ,aktywna
,198.37,2240,81.0,1.6,11111101,198.72,0,0,0,nieaktywna,199.06,0, , ,nieaktywna
,199.42,2208,81.0,0.0,11111101,199.76,0,0,0,nieaktywna,200.08,0, , ,nieaktywna
,200.43,2112,81.0,0.0,11101001,200.77,0,0,0,aktywna,201.11,0, , ,aktywna
,201.45,2112,81.0,-2.3,11101001,201.82,0,0,0,aktywna,202.15,0, , ,aktywna
,202.51,2080,81.0,-2.3,11101001,202.86,0,0,0,aktywna,203.22,0, , ,aktywna
,203.56,2080,81.0,-2.0,11101001,203.92,0,0,0,aktywna,204.26,0, , ,aktywna
,204.59,2080,81.0,-1.2,11101001,204.97,0,0,0,aktywna,205.32,0, , ,aktywna
,205.66,2080,81.0,4.3,11101001,206.00,0,0,0,aktywna,206.34,0, , ,aktywna
,206.69,2080,81.0,6.6,11101001,207.03,0,0,0,aktywna,207.38,0, , ,aktywna
,207.72,2080,81.0,8.2,11101001,208.07,0,0,0,aktywna,208.42,0, , ,aktywna
,208.78,2048,81.0,9.8,11101001,209.14,0,0,0,aktywna,209.50,0, , ,aktywna
,209.84,2080,81.0,12.5,11101001,210.22,0,0,0,aktywna,210.55,0, , ,aktywna
,210.89,2080,81.0,11.7,11101001,211.24,0,0,0,aktywna,211.58,0, , ,aktywna
,211.92,2112,81.0,11.3,11101001,212.26,0,0,0,aktywna,212.59,0, , ,aktywna
,212.93,2112,81.0,9.4,11101001,213.26,0,0,0,aktywna,213.61,0, , ,aktywna
,213.95,2144,81.0,5.9,11101001,214.30,0,0,0,aktywna,214.65,0, , ,aktywna
,214.98,2144,82.5,5.1,11101001,215.34,0,0,0,aktywna,215.67,0, , ,aktywna
,216.00,2176,81.0,4.7,11101001,216.33,0,0,0,aktywna,216.67,0, , ,aktywna
,217.01,2176,81.0,3.5,11101001,217.35,0,0,0,aktywna,217.69,0, , ,aktywna
,218.03,2208,81.0,3.1,11101001,218.38,0,0,0,aktywna,218.73,0, , ,aktywna
,219.06,2208,81.0,2.0,11101001,219.43,0,0,0,aktywna,219.76,0, , ,aktywna
,220.09,2208,81.0,-0.4,11101001,220.44,0,0,0,aktywna,220.79,0, , ,aktywna
,221.13,2208,81.0,0.0,11101001,221.48,0,0,0,aktywna,221.82,0, , ,aktywna
,222.14,2208,81.0,2.3,11101001,222.48,0,0,0,aktywna,222.81,0, , ,aktywna
,223.17,2176,81.0,0.4,11101001,223.51,0,0,0,aktywna,223.84,0, , ,aktywna
,224.19,2144,81.0,0.0,11101001,224.56,0,0,0,aktywna,224.92,0, , ,aktywna
,225.27,2144,81.0,0.0,11101001,225.62,0,0,0,aktywna,225.95,0, , ,aktywna
,226.32,2112,81.0,0.8,11101001,226.67,0,0,0,aktywna,227.01,0, , ,aktywna
,227.35,2080,81.0,0.8,11101001,227.70,0,0,0,aktywna,228.04,0, , ,aktywna
,228.38,2048,81.0,0.8,11101001,228.75,0,0,0,aktywna,229.11,0, , ,aktywna
,229.46,2048,81.0,3.5,11101001,229.81,0,0,0,aktywna,230.18,0, , ,aktywna
,230.52,2080,82.5,7.0,11101001,230.85,0,0,0,aktywna,231.19,0, , ,aktywna
,231.53,2112,81.0,5.9,11101001,231.89,0,0,0,aktywna,232.23,0, , ,aktywna
,232.58,2144,82.5,5.9,11101001,232.94,0,0,0,aktywna,233.27,0, , ,aktywna
,233.63,2144,82.5,5.5,11101001,233.98,0,0,0,aktywna,234.32,0, , ,aktywna
,234.68,2176,81.0,5.5,11101001,235.01,0,0,0,aktywna,235.36,0, , ,aktywna
,235.73,2176,82.5,5.5,11101001,236.08,0,0,0,aktywna,236.43,0, , ,aktywna
,236.77,2176,82.5,7.0,11101001,237.14,0,0,0,aktywna,237.49,0, , ,aktywna
,237.84,2208,81.0,5.5,11101001,238.18,0,0,0,aktywna,238.51,0, , ,aktywna
,238.83,2240,82.5,4.7,11101001,239.17,0,0,0,aktywna,239.51,0, , ,aktywna
,239.84,2240,82.5,3.5,11101001,240.19,0,0,0,aktywna,240.54,0, , ,aktywna
,240.88,2240,82.5,2.0,11101001,241.21,0,0,0,aktywna,241.53,0, , ,aktywna
,241.88,2240,82.5,-0.4,11101001,242.23,0,0,0,aktywna,242.60,0, , ,aktywna
,242.96,2240,81.0,-1.6,11101001,243.32,0,0,0,aktywna,243.65,0, , ,aktywna
,244.00,2240,81.0,1.2,10101001,244.35,0,0,0,aktywna,244.68,0, , ,aktywna
,245.02,2272,82.5,3.9,10101001,245.35,0,0,0,aktywna,245.67,0, , ,aktywna
,246.01,2336,82.5,7.0,10101001,246.36,0,0,0,aktywna,246.72,0, , ,aktywna
,247.07,2336,82.5,6.3,10101001,247.44,0,0,0,aktywna,247.82,0, , ,aktywna
,248.15,2400,81.0,7.8,10101001,248.49,0,0,0,aktywna,248.84,0, , ,aktywna
,249.20,2400,81.0,7.4,10101001,249.59,0,0,0,aktywna,249.93,0, , ,aktywna
,250.28,2368,82.5,6.6,10101001,250.61,0,0,0,aktywna,250.95,0, , ,aktywna
,251.32,2304,81.0,8.2,10101001,251.65,0,0,0,aktywna,251.99,0, , ,aktywna
,252.32,2272,81.0,8.2,10101001,252.65,0,0,0,aktywna,252.98,0, , ,aktywna
,253.32,2240,82.5,9.4,10101001,253.65,0,0,0,aktywna,253.98,0, , ,aktywna
,254.33,2240,82.5,9.0,10101001,254.68,0,0,0,aktywna,255.01,0, , ,aktywna
,255.35,2208,81.0,7.8,10101001,255.68,0,0,0,aktywna,256.02,0, , ,aktywna
,256.36,2240,81.0,7.0,10111101,256.71,0,0,0,nieaktywna,257.04,0, , ,nieaktywna
,257.36,2144,81.0,5.9,10111101,257.71,0,0,0,nieaktywna,258.04,0, , ,nieaktywna
,258.38,2080,81.0,0.0,10111101,258.73,0,0,0,nieaktywna,259.06,0, , ,aktywna
,259.42,1984,82.5,0.0,10101001,259.76,0,0,0,nieaktywna,260.09,0, , ,nieaktywna
,260.45,2112,81.0,0.0,10111101,260.81,0,0,0,aktywna,261.15,0, , ,nieaktywna
,261.50,2016,81.0,9.8,10111101,261.85,0,0,0,nieaktywna,262.21,0, , ,nieaktywna
,262.56,1952,82.5,0.0,10111111,262.91,0,0,0,nieaktywna,263.25,0, , ,aktywna
,263.61,1952,82.5,0.0,10101011,263.99,0,0,0,aktywna,264.35,0, , ,aktywna
,264.70,1888,81.0,2.0,10101011,265.07,0,0,0,aktywna,265.42,0, , ,aktywna
,265.78,1984,81.0,11.3,10101011,266.14,0,0,0,aktywna,266.50,0, , ,aktywna
,266.87,2016,82.5,12.1,10101001,267.23,0,0,0,aktywna,267.58,0, , ,aktywna
,267.93,2048,82.5,13.3,10101001,268.28,0,0,0,aktywna,268.64,0, , ,aktywna
,268.98,2080,82.5,16.8,10101001,269.33,0,0,0,aktywna,269.68,0, , ,aktywna
,270.00,2144,82.5,19.9,11101001,270.33,0,0,0,aktywna,270.67,0, , ,aktywna
,271.02,2208,82.5,20.3,11101001,271.37,0,0,0,aktywna,271.72,0, , ,aktywna
,272.04,2272,81.0,18.4,11101001,272.36,0,0,0,aktywna,272.69,0, , ,aktywna
,273.02,2336,81.0,18.8,11101001,273.34,0,0,0,aktywna,273.68,0, , ,aktywna
,274.04,2400,81.0,15.6,11101001,274.37,0,0,0,aktywna,274.71,0, , ,aktywna
,275.04,2432,81.0,0.0,11111101,275.35,0,0,0,aktywna,275.67,0, , ,nieaktywna
,276.02,2400,82.5,0.8,11111101,276.33,0,0,0,nieaktywna,276.65,0, , ,nieaktywna
,276.98,2304,81.0,0.0,11111101,277.33,0,0,0,nieaktywna,277.66,0, , ,nieaktywna
,277.99,2240,81.0,0.0,11101001,278.33,0,0,0,aktywna,278.68,0, , ,aktywna
,279.02,2240,81.0,-3.5,11101001,279.35,0,0,0,aktywna,279.69,0, , ,aktywna
,280.02,2240,81.0,3.9,11101001,280.34,0,0,0,aktywna,280.67,0, , ,aktywna
