Poniedziałek,10,Sierpień,2026,18:33:17:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'014,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Obciążenie,Zliczanie, ,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,46.58,0,0.0,0,nieaktywna,46.86,0,0,0,nieaktywna,47.14,0, , ,nieaktywna
,47.41,0,0.0,0,nieaktywna,47.68,0,0,0,nieaktywna,47.95,0, , ,nieaktywna
,48.21,0,0.0,0,nieaktywna,48.48,0,0,0,nieaktywna,48.74,0, , ,nieaktywna
,49.01,0,0.0,0,nieaktywna,49.27,0,0,0,nieaktywna,49.54,0, , ,nieaktywna
,49.80,0,0.0,0,nieaktywna,50.08,0,0,0,nieaktywna,50.35,0, , ,nieaktywna
,50.62,0,0.0,0,nieaktywna,50.89,0,0,0,nieaktywna,51.17,0, , ,nieaktywna
,51.43,0,0.0,0,nieaktywna,51.70,0,0,0,nieaktywna,51.96,0, , ,nieaktywna
,52.23,0,0.0,0,nieaktywna,52.49,0,0,0,nieaktywna,52.76,0, , ,nieaktywna
,53.02,0,0.0,0,nieaktywna,53.29,0,0,0,nieaktywna,53.55,0, , ,nieaktywna
,53.82,0,0.0,0,nieaktywna,54.08,0,0,0,nieaktywna,54.36,0, , ,nieaktywna
,54.64,0,0.0,0,nieaktywna,54.91,0,0,0,nieaktywna,55.18,0, , ,nieaktywna
,55.45,0,0.0,0,nieaktywna,55.71,0,0,0,nieaktywna,55.98,0, , ,nieaktywna
,56.25,0,0.0,0,nieaktywna,56.53,0,0,0,nieaktywna,56.81,0, , ,nieaktywna
,57.07,0,0.0,0,nieaktywna,57.34,0,0,0,nieaktywna,57.61,0, , ,nieaktywna
,57.88,0,0.0,0,nieaktywna,58.15,0,0,0,nieaktywna,58.42,0, , ,nieaktywna
,58.68,0,0.0,0,nieaktywna,58.95,0,0,0,nieaktywna,59.21,0, , ,nieaktywna
,59.48,0,0.0,0,nieaktywna,59.74,0,0,0,nieaktywna,60.01,0, , ,nieaktywna
,60.27,0,0.0,0,nieaktywna,60.54,0,0,0,nieaktywna,60.80,0, , ,nieaktywna
,61.08,0,0.0,0,nieaktywna,61.36,0,0,0,nieaktywna,61.64,0, , ,nieaktywna
,61.92,0,0.0,0,nieaktywna,62.18,0,0,0,nieaktywna,62.45,0, , ,nieaktywna
,62.71,0,0.0,0,nieaktywna,62.97,0,0,0,nieaktywna,63.25,0, , ,nieaktywna
,63.52,0,0.0,0,nieaktywna,63.79,0,0,0,nieaktywna,64.05,0, , ,nieaktywna
,64.33,0,0.0,0,nieaktywna,64.60,0,0,0,nieaktywna,64.87,0, , ,nieaktywna
,65.14,0,0.0,0,nieaktywna,65.41,0,0,0,nieaktywna,65.69,0, , ,nieaktywna
,65.96,0,0.0,0,nieaktywna,66.23,0,0,0,nieaktywna,66.50,0, , ,nieaktywna
,66.78,0,0.0,0,nieaktywna,67.04,0,0,0,nieaktywna,67.31,0, , ,nieaktywna
,67.57,0,0.0,0,nieaktywna,67.84,0,0,0,nieaktywna,68.10,0, , ,nieaktywna
,68.37,0,0.0,0,nieaktywna,68.63,0,0,0,nieaktywna,68.90,0, , ,nieaktywna
,69.17,0,0.0,0,nieaktywna,69.43,0,0,0,nieaktywna,69.70,0, , ,nieaktywna
,69.96,0,0.0,0,nieaktywna,70.23,0,0,0,nieaktywna,70.49,0, , ,nieaktywna
,70.76,0,0.0,0,nieaktywna,71.03,0,0,0,nieaktywna,71.29,0, , ,nieaktywna
,71.55,0,0.0,0,nieaktywna,71.83,0,0,0,nieaktywna,72.11,0, , ,nieaktywna
,72.39,0,0.0,0,nieaktywna,72.67,0,0,0,nieaktywna,72.93,0, , ,nieaktywna
,73.20,0,0.0,0,nieaktywna,73.46,0,0,0,nieaktywna,73.73,0, , ,nieaktywna
,74.00,0,0.0,0,nieaktywna,74.28,0,0,0,nieaktywna,74.54,0, , ,nieaktywna
,74.81,0,0.0,0,nieaktywna,75.07,0,0,0,nieaktywna,75.34,0, , ,nieaktywna
,75.60,0,0.0,0,nieaktywna,75.87,0,0,0,nieaktywna,76.13,0, , ,nieaktywna
,76.40,0,0.0,0,nieaktywna,76.66,0,0,0,nieaktywna,76.94,0, , ,nieaktywna
,77.21,0,0.0,0,nieaktywna,77.48,0,0,0,nieaktywna,77.74,0, , ,nieaktywna
,78.01,0,0.0,0,nieaktywna,78.27,0,0,0,nieaktywna,78.54,0, , ,nieaktywna
,78.81,0,0.0,0,nieaktywna,79.07,0,0,0,nieaktywna,79.34,0, , ,nieaktywna
,79.61,0,0.0,0,nieaktywna,79.88,0,0,0,nieaktywna,80.15,0, , ,nieaktywna
,80.42,0,0.0,0,nieaktywna,80.68,0,0,0,nieaktywna,80.95,0, , ,nieaktywna
,81.21,0,0.0,0,nieaktywna,81.48,0,0,0,nieaktywna,81.74,0, , ,nieaktywna
,82.01,0,0.0,0,nieaktywna,82.28,0,0,0,nieaktywna,82.54,0, , ,nieaktywna
