Wtorek,25,Sierpień,2026,06:34:55:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'002,,,,Grupa C:,'033
,,,,,,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,,,,,,29.02,992,42.7,7.21,499.8,28.71,0.0,1.48, , 
,,,,,,29.70,960,42.7,7.21,479.4,29.36,0.0,1.48, , 
,,,,,,30.25,992,41.2,7.21,479.4,29.96,0.0,1.48, , 
,,,,,,30.96,992,42.7,7.21,479.4,30.60,0.0,1.48, , 
,,,,,,31.62,992,41.2,6.18,479.4,31.28,0.0,1.48, , 
,,,,,,32.34,992,41.2,6.18,479.4,31.98,0.0,1.48, , 
,,,,,,32.92,992,41.2,6.18,479.4,32.65,0.0,1.48, , 
,,,,,,33.52,960,41.2,6.18,479.4,33.19,0.0,1.48, , 
,,,,,,34.11,960,41.2,6.18,479.4,33.80,0.0,1.48, , 
,,,,,,34.70,960,41.2,6.18,479.4,34.41,0.0,1.48, , 
,,,,,,35.31,864,45.9,8.24,520.2,35.01,0.0,1.48, , 
,,,,,,35.91,800,48.6,8.24,550.8,35.61,0.0,1.48, , 
,,,,,,36.50,768,54.5,10.30,612.0,36.18,0.0,1.48, , 
,,,,,,37.09,864,47.1,6.18,550.8,36.78,0.0,1.48, , 
,,,,,,37.71,736,47.1,7.21,550.8,37.40,0.0,1.48, , 
,,,,,,38.29,864,59.2,9.27,652.8,38.00,0.0,1.48, , 
,,,,,,38.91,960,42.7,5.15,479.4,38.56,0.0,1.48, , 
,,,,,,39.52,960,41.2,6.18,479.4,39.19,0.0,1.48, , 
,,,,,,40.13,960,42.7,6.18,479.4,39.79,0.0,1.48, , 
,,,,,,40.79,960,42.7,6.18,479.4,40.47,0.0,1.48, , 
,,,,,,41.39,960,41.2,6.18,479.4,41.09,0.0,1.48, , 
,,,,,,42.00,928,42.7,6.18,499.8,41.69,0.0,1.48, , 
,,,,,,42.59,896,45.9,7.21,520.2,42.30,0.0,1.48, , 
,,,,,,43.18,864,48.6,8.24,571.2,42.89,0.0,1.45, , 
,,,,,,43.78,960,44.3,6.18,520.2,43.52,0.0,1.45, , 
,,,,,,44.41,960,42.7,6.18,499.8,44.08,0.0,1.45, , 
,,,,,,45.06,960,44.3,6.18,499.8,44.73,0.0,1.41, , 
,,,,,,45.70,928,44.3,6.18,499.8,45.39,0.0,1.41, , 
,,,,,,46.32,960,42.7,5.15,499.8,46.01,0.0,1.37, , 
,,,,,,46.94,928,41.2,6.18,479.4,46.62,0.0,1.37, , 
,,,,,,47.55,960,41.2,5.15,479.4,47.24,0.0,1.33, , 
,,,,,,48.17,864,44.3,7.21,520.2,47.86,0.0,1.37, , 
,,,,,,48.80,960,41.2,6.18,479.4,48.52,0.0,1.45, , 
,,,,,,49.41,928,41.2,5.15,479.4,49.11,0.0,1.37, , 
,,,,,,50.00,864,47.1,9.27,550.8,49.70,0.0,1.41, , 
,,,,,,50.67,1184,56.1,9.27,612.0,50.33,0.0,1.37, , 
,,,,,,51.26,1504,45.9,6.18,520.2,50.94,0.0,1.25, , 
,,,,,,51.95,1344,47.1,7.21,520.2,51.61,0.0,1.48, , 
,,,,,,52.62,1376,38.4,5.15,438.6,52.29,0.0,1.52, , 
,,,,,,53.27,1088,41.2,6.18,479.4,52.94,0.0,1.29, , 
,,,,,,53.86,768,53.3,11.33,591.6,53.55,0.0,1.25, , 
,,,,,,54.48,928,45.9,4.12,520.2,54.16,0.0,1.21, , 
,,,,,,55.11,896,42.7,6.18,499.8,54.81,0.0,0.98, , 
,,,,,,55.72,896,44.3,6.18,499.8,55.42,0.0,1.25, , 
,,,,,,56.32,832,50.2,9.27,571.2,56.01,0.0,1.33, , 
,,,,,,56.92,832,51.8,7.21,591.6,56.62,0.0,1.33, , 
,,,,,,57.49,736,57.6,9.27,632.4,57.20,2.7,1.48, , 
,,,,,,58.09,800,59.2,8.24,652.8,57.77,0.0,1.52, , 
,,,,,,58.68,928,50.2,7.21,571.2,58.39,0.0,1.37, , 
,,,,,,59.31,992,47.1,6.18,520.2,59.00,-1.2,1.29, , 
,,,,,,59.95,1088,44.3,6.18,499.8,59.64,-0.4,1.37, , 
,,,,,,60.57,1184,41.2,5.15,479.4,60.27,-1.6,1.29, , 
,,,,,,61.22,1216,38.4,5.15,459.0,60.89,-4.3,1.21, , 
,,,,,,61.85,1248,36.9,5.15,438.6,61.53,-4.3,1.33, , 
,,,,,,62.51,1280,35.3,5.15,418.2,62.20,-3.5,1.37, , 
,,,,,,63.19,1280,35.3,5.15,418.2,62.84,-3.9,1.33, , 
,,,,,,63.85,1280,38.4,5.15,438.6,63.51,-3.5,1.37, , 
,,,,,,64.48,1312,38.4,5.15,438.6,64.17,-1.2,1.45, , 
,,,,,,65.13,1344,36.9,5.15,438.6,64.82,0.4,1.45, , 
,,,,,,65.82,1344,36.9,5.15,438.6,65.46,1.6,1.41, , 
,,,,,,66.50,1408,35.3,5.15,418.2,66.17,2.0,1.37, , 
,,,,,,67.20,1440,34.1,5.15,397.8,66.85,2.3,1.37, , 
,,,,,,67.78,1472,32.5,4.12,397.8,67.51,2.0,1.29, , 
,,,,,,68.63,1504,31.0,4.12,377.4,68.19,2.3,1.33, , 
,,,,,,69.17,1472,31.0,4.12,377.4,68.91,2.3,1.33, , 
,,,,,,69.90,1504,32.5,5.15,397.8,69.44,3.5,1.37, , 
,,,,,,70.60,1568,41.2,7.21,479.4,70.25,5.9,1.45, , 
,,,,,,71.35,1696,40.0,6.18,459.0,70.98,0.0,1.56, , 
,,,,,,72.10,1824,36.9,5.15,418.2,71.74,3.5,1.52, , 
,,,,,,72.82,1888,41.2,7.21,438.6,72.45,2.3,1.33, , 
,,,,,,73.53,2112,53.3,8.24,571.2,73.18,0.0,1.25, , 
,,,,,,74.21,2144,23.5,3.09,295.8,73.86,0.0,1.48, , 
,,,,,,74.94,1600,28.2,3.09,336.6,74.56,0.0,1.05, , 
,,,,,,75.56,1184,40.0,5.15,459.0,75.24,0.0,1.29, , 
,,,,,,76.20,1248,51.8,11.33,571.2,75.88,0.0,1.41, , 
,,,,,,76.88,1312,54.5,8.24,591.6,76.55,0.0,1.29, , 
,,,,,,77.58,1408,54.5,8.24,591.6,77.21,0.0,1.56, , 
,,,,,,78.12,1504,48.6,7.21,550.8,77.85,3.9,1.52, , 
,,,,,,78.82,1568,45.9,7.21,499.8,78.49,5.9,1.48, , 
,,,,,,79.55,1632,44.3,7.21,479.4,79.19,8.6,1.45, , 
,,,,,,80.23,1664,42.7,6.18,479.4,79.88,8.6,1.33, , 
,,,,,,80.95,1696,41.2,6.18,459.0,80.59,7.4,1.25, , 
,,,,,,81.65,1728,38.4,5.15,438.6,81.30,5.9,1.21, , 
,,,,,,82.37,1760,34.1,4.12,397.8,82.01,3.1,1.17, , 
,,,,,,83.10,1728,31.0,4.12,377.4,82.74,-0.8,1.17, , 
,,,,,,83.81,1760,29.4,4.12,357.0,83.45,-3.9,1.21, , 
,,,,,,84.56,1760,29.4,4.12,357.0,84.20,-2.3,1.41, , 
,,,,,,85.31,1728,31.0,4.12,377.4,84.94,-0.8,1.48, , 
,,,,,,86.05,1728,31.0,4.12,377.4,85.69,2.0,1.52, , 
,,,,,,86.78,1824,28.2,4.12,357.0,86.43,3.9,1.48, , 
,,,,,,87.52,1664,29.4,4.12,357.0,87.16,0.8,1.25, , 
,,,,,,88.17,1376,31.0,4.12,377.4,87.80,3.1,1.45, , 
,,,,,,88.83,992,35.3,5.15,438.6,88.51,3.5,1.41, , 
,,,,,,89.44,928,40.0,6.18,479.4,89.14,3.9,1.48, , 
,,,,,,90.05,928,40.0,6.18,479.4,89.73,5.9,1.52, , 
,,,,,,90.68,896,40.0,6.18,479.4,90.37,7.0,1.45, , 
,,,,,,91.31,928,40.0,6.18,479.4,91.00,7.8,1.41, , 
,,,,,,91.93,928,36.9,5.15,459.0,91.61,8.2,1.37, , 
,,,,,,92.55,928,35.3,5.15,438.6,92.25,7.8,1.29, , 
,,,,,,93.15,992,40.0,6.18,459.0,92.84,6.3,1.29, , 
,,,,,,93.78,1248,45.9,7.21,520.2,93.47,9.4,1.45, , 
,,,,,,94.39,928,63.5,13.39,693.6,94.08,0.0,1.48, , 
,,,,,,94.96,1472,47.1,6.18,520.2,94.66,0.0,1.05, , 
,,,,,,95.63,1216,56.1,9.27,632.4,95.26,0.0,1.56, , 
,,,,,,96.25,1472,48.6,7.21,550.8,95.98,0.0,1.37, , 
,,,,,,96.99,1696,53.3,9.27,571.2,96.63,0.0,1.45, , 
,,,,,,97.68,2048,60.4,9.27,632.4,97.32,0.0,1.48, , 
,,,,,,98.37,2272,29.4,2.06,357.0,98.03,0.0,1.48, , 
,,,,,,99.05,2112,22.0,3.09,295.8,98.70,0.0,1.29, , 
,,,,,,99.69,1312,35.3,6.18,418.2,99.38,0.0,0.86, , 
,,,,,,100.36,1376,41.2,6.18,459.0,100.01,0.0,0.90, , 
,,,,,,101.12,1440,41.2,6.18,479.4,100.71,0.8,1.45, , 
,,,,,,101.92,1568,38.4,5.15,438.6,101.57,3.5,1.48, , 
,,,,,,102.65,1600,35.3,5.15,418.2,102.28,6.3,1.48, , 
,,,,,,103.33,1696,31.0,4.12,377.4,102.99,7.0,1.37, , 
,,,,,,104.05,1760,28.2,4.12,336.6,103.68,4.3,1.25, , 
,,,,,,104.72,1792,26.7,4.12,336.6,104.38,2.7,1.25, , 
,,,,,,105.47,1824,25.1,3.09,336.6,105.09,0.4,1.25, , 
,,,,,,106.19,1856,25.1,3.09,316.2,105.81,-1.2,1.29, , 
,,,,,,106.94,1888,23.5,3.09,316.2,106.56,-2.0,1.33, , 
,,,,,,107.66,1888,23.5,3.09,295.8,107.30,-2.7,1.37, , 
,,,,,,108.38,1888,23.5,3.09,295.8,108.02,-3.5,1.37, , 
,,,,,,109.08,1920,22.0,3.09,295.8,108.72,-3.1,1.41, , 
,,,,,,109.81,1920,22.0,3.09,295.8,109.43,-2.7,1.41, , 
,,,,,,110.55,1888,22.0,3.09,295.8,110.18,-2.3,1.45, , 
,,,,,,111.28,1920,22.0,3.09,295.8,110.92,-1.6,1.45, , 
,,,,,,112.02,1920,22.0,3.09,295.8,111.65,-0.8,1.45, , 
,,,,,,112.71,1952,22.0,3.09,295.8,112.35,0.0,1.45, , 
,,,,,,113.43,1952,22.0,3.09,295.8,113.06,0.8,1.45, , 
,,,,,,114.16,1952,20.8,3.09,295.8,113.80,0.8,1.41, , 
,,,,,,114.87,1952,20.8,3.09,295.8,114.52,0.8,1.37, , 
,,,,,,115.61,1952,22.0,3.09,295.8,115.24,0.8,1.37, , 
,,,,,,116.31,1984,22.0,3.09,295.8,115.95,2.3,1.45, , 
,,,,,,117.00,2016,23.5,3.09,295.8,116.66,3.1,1.45, , 
,,,,,,117.66,2112,28.2,4.12,357.0,117.33,3.9,1.41, , 
,,,,,,118.33,2112,25.1,3.09,316.2,117.98,6.3,1.48, , 
,,,,,,119.01,2144,20.8,3.09,275.4,118.65,4.7,1.29, , 
,,,,,,119.69,2144,20.8,3.09,275.4,119.35,2.0,1.25, , 
,,,,,,120.39,2176,20.8,3.09,275.4,120.04,2.0,1.33, , 
,,,,,,121.07,2176,20.8,3.09,275.4,120.73,2.0,1.41, , 
,,,,,,121.75,2208,20.8,3.09,275.4,121.41,1.2,1.37, , 
,,,,,,122.40,2240,22.0,3.09,295.8,122.08,1.2,1.41, , 
,,,,,,123.09,2272,20.8,3.09,275.4,122.75,1.2,1.41, , 
,,,,,,123.77,2304,20.8,3.09,275.4,123.43,1.2,1.41, , 
,,,,,,124.43,2240,20.8,3.09,275.4,124.11,2.7,1.48, , 
,,,,,,125.14,2208,20.8,3.09,275.4,124.79,5.1,1.48, , 
,,,,,,125.81,2112,20.8,3.09,275.4,125.47,6.6,1.48, , 
,,,,,,126.55,1952,20.8,3.09,275.4,126.17,8.6,1.48, , 
,,,,,,127.27,1792,25.1,4.12,316.2,126.91,9.4,1.41, , 
,,,,,,127.94,1600,29.4,4.12,357.0,127.62,11.7,1.41, , 
,,,,,,128.57,1120,31.0,5.15,397.8,128.24,14.1,1.45, , 
,,,,,,129.18,896,36.9,5.15,459.0,128.87,12.9,1.41, , 
,,,,,,129.79,960,36.9,5.15,438.6,129.45,12.9,1.45, , 
,,,,,,130.42,1120,36.9,6.18,459.0,130.11,12.1,1.29, , 
,,,,,,131.07,1248,35.3,5.15,418.2,130.74,15.6,1.45, , 
,,,,,,131.74,1312,32.5,5.15,397.8,131.40,11.3,1.21, , 
,,,,,,132.44,1376,31.0,4.12,377.4,132.08,10.2,1.25, , 
,,,,,,133.12,1440,29.4,4.12,377.4,132.76,7.8,1.29, , 
,,,,,,133.68,1504,29.4,4.12,357.0,133.40,6.6,1.33, , 
,,,,,,134.35,1536,29.4,4.12,357.0,133.96,7.8,1.45, , 
,,,,,,135.03,1536,29.4,4.12,357.0,134.63,7.8,1.41, , 
,,,,,,135.75,1504,29.4,4.12,357.0,135.30,9.0,1.48, , 
,,,,,,136.63,1472,29.4,4.12,357.0,136.21,10.5,1.48, , 
,,,,,,137.26,1440,29.4,4.12,357.0,136.92,12.1,1.48, , 
,,,,,,137.92,1536,28.2,4.12,357.0,137.53,12.5,1.41, , 
,,,,,,138.66,1568,28.2,4.12,357.0,138.30,11.7,1.37, , 
,,,,,,139.37,1632,28.2,4.12,357.0,139.01,10.9,1.37, , 
,,,,,,140.09,1728,26.7,4.12,336.6,139.73,10.2,1.37, , 
,,,,,,140.83,1792,26.7,4.12,336.6,140.45,9.4,1.37, , 
,,,,,,141.57,1792,25.1,3.09,336.6,141.18,7.8,1.33, , 
,,,,,,142.27,1856,23.5,3.09,316.2,141.91,4.7,1.29, , 
,,,,,,142.99,1856,23.5,3.09,316.2,142.62,3.9,1.37, , 
,,,,,,143.74,1856,25.1,3.09,316.2,143.36,4.3,1.48, , 
,,,,,,144.43,1792,25.1,3.09,336.6,144.10,4.7,1.48, , 
,,,,,,145.09,1792,26.7,4.12,336.6,144.75,6.3,1.52, , 
,,,,,,145.86,1792,23.5,3.09,316.2,145.48,6.6,1.45, , 
,,,,,,146.58,1856,23.5,3.09,316.2,146.25,6.6,1.41, , 
,,,,,,147.32,1920,25.1,3.09,316.2,146.95,5.5,1.37, , 
,,,,,,148.00,2016,26.7,4.12,336.6,147.66,4.3,1.37, , 
,,,,,,148.72,2080,23.5,3.09,295.8,148.36,4.7,1.41, , 
,,,,,,149.39,2112,25.1,3.09,316.2,149.06,3.1,1.41, , 
,,,,,,150.08,2208,25.1,3.09,316.2,149.73,2.7,1.45, , 
,,,,,,150.74,2272,25.1,3.09,316.2,150.41,3.1,1.48, , 
,,,,,,151.40,2336,25.1,3.09,316.2,151.07,4.3,1.52, , 
,,,,,,152.05,2368,25.1,3.09,316.2,151.74,4.3,1.48, , 
,,,,,,152.77,1440,0.0,0.00,357.0,152.42,0.0,1.52, , 
,,,,,,153.35,960,40.0,7.21,479.4,153.05,0.0,3.63, , 
,,,,,,153.95,928,36.9,6.18,459.0,153.65,0.0,1.41, , 
,,,,,,154.56,896,35.3,5.15,438.6,154.26,0.0,0.98, , 
,,,,,,155.16,896,36.9,5.15,459.0,154.86,-2.0,1.17, , 
,,,,,,155.74,896,36.9,5.15,459.0,155.45,-2.7,1.45, , 
,,,,,,156.36,896,36.9,5.15,459.0,156.05,-2.3,1.52, , 
,,,,,,157.00,896,36.9,5.15,459.0,156.68,-1.2,1.52, , 
,,,,,,157.61,864,36.9,5.15,459.0,157.31,0.0,1.56, , 
,,,,,,158.20,896,38.4,5.15,479.4,157.90,2.3,1.60, , 
,,,,,,158.79,864,36.9,5.15,459.0,158.50,4.7,1.56, , 
,,,,,,159.38,896,36.9,5.15,459.0,159.09,6.3,1.56, , 
,,,,,,159.99,896,36.9,5.15,459.0,159.67,7.8,1.52, , 
,,,,,,160.59,896,36.9,5.15,459.0,160.28,8.6,1.52, , 
,,,,,,161.22,896,36.9,5.15,459.0,160.90,9.8,1.52, , 
,,,,,,161.82,896,36.9,5.15,459.0,161.51,9.8,1.45, , 
,,,,,,162.42,896,36.9,5.15,459.0,162.11,10.2,1.48, , 
,,,,,,163.00,800,35.3,5.15,459.0,162.71,10.5,1.45, , 
,,,,,,163.64,864,41.2,7.21,499.8,163.32,10.2,1.41, , 
,,,,,,164.35,1568,40.0,5.15,459.0,164.05,0.0,1.41, , 
,,,,,,165.03,1344,48.6,7.21,571.2,164.68,0.0,1.72, , 
,,,,,,165.69,1280,63.5,11.33,693.6,165.34,0.0,1.68, , 
,,,,,,166.39,1760,54.5,8.24,591.6,166.05,0.0,1.60, , 
,,,,,,167.05,1888,0.0,0.00,357.0,166.74,0.0,1.56, , 
,,,,,,167.70,1088,35.3,5.15,438.6,167.37,0.0,3.01, , 
,,,,,,168.34,1248,32.5,4.12,397.8,168.03,0.0,1.60, , 
,,,,,,168.99,1280,29.4,4.12,377.4,168.65,0.0,1.33, , 
,,,,,,169.65,1312,31.0,4.12,397.8,169.30,-2.3,1.37, , 
,,,,,,170.36,1344,32.5,4.12,397.8,170.00,0.4,1.52, , 
,,,,,,171.05,1440,31.0,4.12,397.8,170.70,3.9,1.56, , 
,,,,,,171.80,1472,29.4,4.12,377.4,171.34,5.1,1.48, , 
,,,,,,172.57,1504,28.2,4.12,357.0,172.24,6.6,1.48, , 
,,,,,,173.23,1536,28.2,4.12,357.0,172.92,9.0,1.52, , 
,,,,,,173.99,1536,28.2,4.12,357.0,173.62,10.2,1.45, , 
,,,,,,174.72,1536,28.2,4.12,357.0,174.28,11.7,1.48, , 
,,,,,,175.52,1536,31.0,5.15,397.8,175.14,12.9,1.41, , 
,,,,,,176.29,1568,41.2,6.18,479.4,175.90,14.5,1.45, , 
,,,,,,177.04,1632,51.8,7.21,571.2,176.69,0.0,1.48, , 
,,,,,,177.78,1792,56.1,8.24,612.0,177.41,0.0,1.72, , 
,,,,,,178.48,1952,62.0,9.27,652.8,178.13,5.1,1.68, , 
,,,,,,179.18,2144,72.2,11.33,734.4,178.82,0.0,1.56, , 
,,,,,,179.84,2368,72.2,11.33,734.4,179.50,2.7,1.64, , 
,,,,,,180.52,2624,69.4,11.33,714.0,180.18,6.3,1.56, , 
,,,,,,181.20,2304,0.0,0.00,336.6,180.85,7.4,1.45, , 
,,,,,,181.81,1024,31.0,4.12,397.8,181.50,0.0,3.24, , 
,,,,,,182.52,1536,28.2,4.12,357.0,182.14,0.0,2.30, , 
,,,,,,183.27,1760,26.7,3.09,336.6,182.88,0.0,1.09, , 
,,,,,,183.98,1760,31.0,4.12,377.4,183.64,-5.1,1.33, , 
,,,,,,184.66,1760,45.9,7.21,520.2,184.33,-2.7,1.52, , 
,,,,,,185.38,1824,47.1,6.18,520.2,185.00,0.0,1.56, , 
,,,,,,186.12,1856,44.3,6.18,499.8,185.75,3.5,1.60, , 
,,,,,,186.87,1888,42.7,6.18,479.4,186.49,5.5,1.48, , 
,,,,,,187.60,1920,36.9,5.15,438.6,187.24,6.6,1.45, , 
,,,,,,188.31,1952,40.0,5.15,459.0,187.96,5.9,1.45, , 
,,,,,,189.05,1984,45.9,7.21,520.2,188.68,7.0,1.48, , 
,,,,,,189.75,2016,45.9,7.21,499.8,189.41,9.8,1.48, , 
,,,,,,190.45,2048,45.9,7.21,499.8,190.11,11.3,1.48, , 
,,,,,,191.14,2112,47.1,7.21,520.2,190.80,10.9,1.37, , 
,,,,,,191.84,2144,47.1,7.21,520.2,191.48,11.7,1.41, , 
,,,,,,192.52,2208,45.9,7.21,499.8,192.18,10.5,1.37, , 
,,,,,,193.20,2240,45.9,6.18,499.8,192.86,10.5,1.41, , 
,,,,,,193.89,2272,44.3,6.18,479.4,193.55,10.2,1.41, , 
,,,,,,194.58,2304,42.7,6.18,479.4,194.24,9.4,1.41, , 
,,,,,,195.25,2304,42.7,6.18,479.4,194.92,8.2,1.41, , 
,,,,,,195.96,2304,42.7,6.18,459.0,195.62,7.8,1.45, , 
,,,,,,196.67,2336,42.7,6.18,479.4,196.32,7.0,1.41, , 
,,,,,,197.38,2336,44.3,6.18,479.4,197.04,7.0,1.45, , 
,,,,,,198.07,2368,45.9,6.18,499.8,197.73,7.8,1.45, , 
,,,,,,198.77,2400,47.1,7.21,520.2,198.41,9.0,1.52, , 
,,,,,,199.46,2432,51.8,8.24,550.8,199.12,9.4,1.41, , 
,,,,,,200.15,2496,60.4,9.27,632.4,199.82,10.9,1.45, , 
,,,,,,200.84,2592,63.5,10.30,652.8,200.50,10.9,1.41, , 
,,,,,,201.54,2656,63.5,10.30,652.8,201.19,10.2,1.41, , 
,,,,,,202.25,2720,62.0,9.27,632.4,201.91,8.6,1.37, , 
,,,,,,202.91,2784,60.4,9.27,632.4,202.58,7.4,1.41, , 
,,,,,,203.61,2880,56.1,8.24,591.6,203.26,6.6,1.37, , 
,,,,,,204.31,1792,0.0,0.00,336.6,203.96,0.0,2.46, , 
,,,,,,204.97,1088,35.3,5.15,438.6,204.61,0.0,3.67, , 
,,,,,,205.65,2016,19.2,3.09,275.4,205.32,0.0,1.41, , 
,,,,,,206.38,2016,25.1,3.09,316.2,206.01,0.0,0.98, , 
,,,,,,207.09,2048,31.0,3.09,377.4,206.73,-27.3,0.00, , 
,,,,,,207.82,1984,50.2,9.27,550.8,207.45,-29.3,1.25, , 
,,,,,,208.54,2016,50.2,7.21,550.8,208.19,0.0,0.00, , 
,,,,,,209.26,2048,50.2,5.15,550.8,208.89,-19.1,0.51, , 
,,,,,,209.99,2048,50.2,4.12,550.8,209.62,-25.4,1.17, , 
,,,,,,210.68,2048,48.6,4.12,550.8,210.33,-30.1,1.37, , 
,,,,,,211.35,2080,48.6,4.12,550.8,211.01,-30.5,1.45, , 
,,,,,,212.01,2112,48.6,4.12,520.2,211.68,-31.3,1.37, , 
,,,,,,212.71,2112,48.6,4.12,520.2,212.37,-30.5,1.45, , 
,,,,,,213.39,2144,47.1,4.12,520.2,213.04,-30.5,1.45, , 
,,,,,,214.07,2144,44.3,4.12,479.4,213.73,-30.5,1.45, , 
,,,,,,214.77,2144,44.3,4.12,499.8,214.41,-30.5,1.45, , 
,,,,,,215.44,2144,44.3,4.12,479.4,215.11,-30.5,1.45, , 
,,,,,,216.12,2176,44.3,4.12,479.4,215.76,-30.1,1.45, , 
,,,,,,216.82,2176,44.3,4.12,499.8,216.48,-30.1,1.45, , 
,,,,,,217.49,2176,44.3,4.12,479.4,217.15,-30.5,1.41, , 
,,,,,,218.16,2176,42.7,4.12,479.4,217.81,-30.5,1.41, , 
,,,,,,218.85,2144,38.4,3.09,438.6,218.50,-30.9,1.37, , 
,,,,,,219.52,2144,40.0,3.09,459.0,219.19,-31.6,1.33, , 
,,,,,,220.24,2144,40.0,3.09,459.0,219.88,-31.3,1.33, , 
,,,,,,220.91,2144,40.0,3.09,459.0,220.56,-31.6,1.29, , 
,,,,,,221.58,2144,40.0,3.09,459.0,221.23,-31.6,1.29, , 
,,,,,,222.24,2144,38.4,3.09,438.6,221.91,-30.9,1.37, , 
