Środa,19,Sierpień,2026,21:06:32:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'033,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Lambda,Napięcie, , ,,Lambda,Lambda, , 
,53.53,832,58.5,-10.5,10111110,53.83,-11.3,1.29, , ,54.12,-3.9,0.0, , 
,54.43,800,58.5,-13.7,10111110,54.74,-14.1,1.33, , ,55.04,-3.1,0.0, , 
,55.33,800,60.0,-14.5,10111110,55.63,-14.1,1.48, , ,55.93,-3.1,0.0, , 
,56.23,800,60.0,-13.7,10111110,56.53,-13.3,1.48, , ,56.82,-3.1,0.0, , 
,57.13,800,60.0,-13.3,10111110,57.43,-12.9,1.48, , ,57.72,-3.1,0.0, , 
,58.03,800,60.0,-12.5,10111110,58.33,-12.1,1.52, , ,58.65,-3.1,0.0, , 
,58.95,800,60.0,-11.7,10111110,59.24,-11.7,1.45, , ,59.53,-3.1,0.0, , 
,59.82,800,60.0,-11.7,10111110,60.13,-11.7,1.41, , ,60.44,-3.1,0.0, , 
,60.74,800,60.0,-12.5,10111110,61.04,-12.5,1.41, , ,61.34,-3.9,0.0, , 
,61.64,800,60.0,-12.9,10111110,61.95,-12.9,1.45, , ,62.26,-3.9,0.0, , 
,62.57,800,60.0,-12.9,10111110,62.88,-12.9,1.45, , ,63.19,-3.1,0.0, , 
,63.48,800,60.0,-12.9,10111110,63.78,-13.3,1.41, , ,64.08,-3.9,0.0, , 
,64.40,800,60.0,-13.7,10111110,64.72,-13.7,1.45, , ,65.05,-3.9,0.0, , 
,65.36,800,60.0,-13.3,10111110,65.66,-12.9,1.48, , ,65.99,-3.1,0.0, , 
,66.29,800,60.0,-12.5,10111110,66.59,-12.5,1.48, , ,66.89,-3.1,0.0, , 
,67.19,832,60.0,-12.1,10111110,67.48,-12.1,1.48, , ,67.78,-3.1,0.0, , 
,68.10,832,60.0,-11.7,10111110,68.41,-11.7,1.45, , ,68.71,-3.9,0.0, , 
,69.01,800,60.0,-12.1,10111110,69.29,-12.1,1.45, , ,69.60,-3.9,0.0, , 
,69.91,800,61.5,-12.1,10111110,70.21,-12.1,1.45, , ,70.50,-3.9,0.0, , 
,70.78,800,61.5,-12.5,10111110,71.09,-12.5,1.41, , ,71.40,-3.9,0.0, , 
,71.70,800,61.5,-12.5,10111110,71.99,-12.5,1.45, , ,72.28,-3.9,0.0, , 
,72.58,800,61.5,-12.5,10111110,72.90,-12.5,1.45, , ,73.20,-3.9,0.0, , 
,73.49,800,61.5,-12.5,10111110,73.80,-12.1,1.45, , ,74.11,-3.9,0.0, , 
,74.42,800,61.5,-12.5,10111110,74.71,-12.5,1.45, , ,75.03,-3.9,0.0, , 
