Niedziela,23,Sierpień,2026,21:50:24:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'002,,,,Grupa B:,'032,,,,Grupa C:,'033
,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , ,,Lambda,Napięcie, , 
,30.14,1792,42.7,5.15,520.2,30.52,0.0,3.1, , ,30.89,-9.8,1.60, , 
,31.27,1888,50.2,7.21,591.6,31.63,0.0,3.1, , ,32.00,-6.3,1.56, , 
,32.36,1952,69.4,9.27,775.2,32.71,0.0,3.1, , ,33.08,-12.9,1.33, , 
,33.40,2144,72.2,10.30,795.6,33.74,0.0,3.1, , ,34.06,0.0,0.78, , 
,34.38,2336,88.6,14.42,969.0,34.70,0.0,3.1, , ,35.02,-9.8,1.25, , 
,35.33,2560,88.6,13.39,969.0,35.65,0.0,3.1, , ,35.98,0.0,3.67, , 
,36.33,1920,35.3,5.15,438.6,36.69,0.0,3.1, , ,37.04,0.0,1.13, , 
,37.39,2080,84.3,14.42,928.2,37.72,0.0,3.1, , ,38.05,0.0,0.78, , 
,38.38,2240,90.2,14.42,989.4,38.72,0.0,3.1, , ,39.05,-12.5,1.25, , 
,39.41,2368,91.4,13.39,989.4,39.75,0.0,3.1, , ,40.09,-13.3,1.52, , 
,40.41,2528,91.4,13.39,989.4,40.75,0.0,3.1, , ,41.08,-12.1,1.52, , 
,41.42,2656,91.4,15.45,989.4,41.76,0.0,3.1, , ,42.09,-11.3,1.17, , 
,42.43,2784,91.4,15.45,989.4,42.76,0.0,3.1, , ,43.11,0.0,1.29, , 
,43.45,2816,19.2,2.06,275.4,43.79,0.0,3.1, , ,44.14,0.0,1.09, , 
,44.46,2752,0.0,0.00,275.4,44.77,0.0,3.1, , ,45.11,0.0,3.83, , 
,45.43,1728,0.0,0.00,275.4,45.75,0.0,0.0, , ,46.12,0.0,3.75, , 
,46.47,2208,17.6,2.06,275.4,46.78,0.0,3.1, , ,47.11,0.0,0.70, , 
,47.44,2624,85.5,15.45,887.4,47.77,0.0,3.1, , ,48.09,0.0,1.17, , 
,48.43,2688,91.4,15.45,989.4,48.79,0.0,3.1, , ,49.12,0.0,1.02, , 
,49.45,2720,20.8,2.06,275.4,49.79,0.0,3.1, , ,50.12,-7.4,1.09, , 
,50.46,2624,0.0,0.00,275.4,50.78,0.0,3.1, , ,51.12,0.0,3.79, , 
,51.43,2496,0.0,0.00,244.8,51.76,0.0,3.1, , ,52.13,0.0,3.13, , 
,52.44,2432,19.2,3.09,275.4,52.77,0.0,3.1, , ,53.10,0.0,1.13, , 
,53.44,2368,54.5,8.24,612.0,53.77,0.0,3.1, , ,54.13,-7.0,1.02, , 
,54.46,2336,66.3,9.27,734.4,54.81,0.0,3.1, , ,55.14,0.0,1.05, , 
,55.46,2336,42.7,6.18,520.2,55.80,0.0,3.1, , ,56.15,0.0,3.52, , 
,56.45,1248,0.0,0.00,336.6,56.77,0.0,0.0, , ,57.09,0.0,2.34, , 
,57.40,1024,23.5,3.09,357.0,57.72,0.0,0.0, , ,58.02,0.0,0.70, , 
,58.34,928,25.1,3.09,357.0,58.64,0.0,0.0, , ,58.95,-1.6,1.02, , 
,59.26,928,23.5,3.09,357.0,59.56,0.0,0.0, , ,59.84,-7.4,1.33, , 
,60.15,864,25.1,3.09,377.4,60.46,0.0,0.0, , ,60.75,-7.0,1.52, , 
,61.06,864,26.7,3.09,377.4,61.38,0.0,0.0, , ,61.68,-5.9,1.52, , 
,61.99,864,26.7,3.09,397.8,62.27,0.0,0.0, , ,62.56,-5.1,1.56, , 
,62.84,928,26.7,3.09,377.4,63.15,0.0,0.0, , ,63.50,-6.3,1.45, , 
,63.86,1472,29.4,4.12,397.8,64.16,0.0,0.0, , ,64.49,0.0,1.25, , 
,64.84,1600,76.9,13.39,867.0,65.20,0.0,3.1, , ,65.56,0.0,0.98, , 
,65.90,2048,87.1,14.42,948.6,66.23,0.0,3.1, , ,66.58,-10.2,1.21, , 
,66.93,2464,87.1,12.36,948.6,67.28,0.0,3.1, , ,67.63,-14.1,1.48, , 
,67.95,2592,0.0,0.00,357.0,68.34,0.0,3.1, , ,68.70,0.0,2.58, , 
,69.07,1824,51.8,8.24,612.0,69.43,0.0,3.1, , ,69.79,0.0,1.21, , 
,70.16,1952,57.6,8.24,673.2,70.51,0.0,3.1, , ,70.88,-0.8,1.56, , 
,71.23,1984,38.4,5.15,479.4,71.58,0.0,3.1, , ,71.94,-3.9,1.37, , 
,72.30,2016,36.9,5.15,459.0,72.64,0.0,3.1, , ,73.00,-3.9,1.48, , 
,73.35,2016,38.4,5.15,479.4,73.69,0.0,3.1, , ,74.05,0.0,1.25, , 
,74.39,2080,59.2,8.24,673.2,74.74,0.0,3.1, , ,75.06,-6.3,1.41, , 
,75.40,2176,57.6,8.24,652.8,75.74,0.0,3.1, , ,76.07,-7.4,1.48, , 
,76.40,2304,51.8,7.21,591.6,76.73,0.0,3.1, , ,77.07,-4.7,1.52, , 
,77.40,2336,40.0,5.15,479.4,77.74,0.0,3.1, , ,78.08,-3.9,1.52, , 
,78.42,2432,40.0,5.15,459.0,78.77,0.0,3.1, , ,79.13,-3.9,1.45, , 
,79.47,2496,36.9,5.15,438.6,79.81,0.0,3.1, , ,80.15,-4.3,1.45, , 
,80.48,2560,36.9,5.15,438.6,80.83,0.0,3.1, , ,81.17,-4.3,1.48, , 
,81.51,2624,35.3,5.15,438.6,81.84,0.0,3.1, , ,82.16,-5.1,1.45, , 
,82.48,2400,0.0,0.00,316.2,82.82,0.0,3.1, , ,83.11,0.0,3.79, , 
,83.46,1824,20.8,3.09,295.8,83.81,0.0,3.1, , ,84.18,0.0,0.90, , 
,84.53,1952,20.8,3.09,295.8,84.90,0.0,3.1, , ,85.25,0.0,1.29, , 
,85.61,1952,51.8,7.21,612.0,85.96,0.0,3.1, , ,86.32,0.0,1.21, , 
,86.67,2016,65.1,9.27,734.4,87.02,0.0,3.1, , ,87.38,-4.3,1.52, , 
,87.73,2080,44.3,6.18,520.2,88.07,0.0,3.1, , ,88.40,0.0,1.25, , 
,88.75,2048,14.9,2.06,244.8,89.10,0.0,3.1, , ,89.44,-0.8,1.33, , 
,89.79,2016,16.1,2.06,244.8,90.14,0.0,3.1, , ,90.50,-6.3,1.17, , 
,90.86,1984,19.2,2.06,275.4,91.22,0.0,3.1, , ,91.57,-12.9,1.29, , 
,91.92,1952,23.5,3.09,336.6,92.29,0.0,3.1, , ,92.64,0.0,1.45, , 
,93.01,1952,54.5,8.24,652.8,93.39,0.0,3.1, , ,93.75,0.0,1.17, , 
,94.12,1888,17.6,2.06,275.4,94.48,0.0,3.1, , ,94.83,-1.6,1.45, , 
,95.21,1888,16.1,2.06,244.8,95.56,0.0,3.1, , ,95.92,-3.1,1.45, , 
,96.27,1920,17.6,2.06,275.4,96.65,0.0,3.1, , ,97.01,-4.3,1.48, , 
,97.39,1888,17.6,2.06,275.4,97.76,0.0,3.1, , ,98.12,-4.3,1.52, , 
,98.48,1920,17.6,2.06,275.4,98.83,0.0,3.1, , ,99.21,-4.3,1.45, , 
,99.56,1888,17.6,2.06,275.4,99.91,0.0,3.1, , ,100.26,-3.5,1.52, , 
,100.64,1920,17.6,2.06,275.4,101.01,0.0,3.1, , ,101.37,-3.5,1.48, , 
,101.74,1920,16.1,2.06,275.4,102.09,0.0,3.1, , ,102.45,-3.1,1.45, , 
,102.82,1952,16.1,2.06,244.8,103.18,0.0,3.1, , ,103.52,-3.1,1.45, , 
,103.89,1888,0.0,0.00,275.4,104.26,0.0,3.1, , ,104.62,0.0,3.87, , 
,104.97,1888,0.0,0.00,295.8,105.30,0.0,3.1, , ,105.65,0.0,3.91, , 
,105.99,1856,0.0,0.00,295.8,106.31,0.0,3.1, , ,106.68,0.0,3.91, , 
,107.00,1856,0.0,0.00,295.8,107.36,0.0,3.1, , ,107.73,0.0,3.91, , 
,108.10,1824,0.0,0.00,295.8,108.45,0.0,3.1, , ,108.80,0.0,3.91, , 
,109.17,1824,0.0,0.00,295.8,109.53,0.0,3.1, , ,109.89,0.0,3.87, , 
,110.26,1792,0.0,0.00,316.2,110.66,0.0,3.1, , ,111.04,0.0,3.91, , 
,111.34,1792,0.0,0.00,316.2,111.69,0.0,3.1, , ,112.05,0.0,3.87, , 
,112.39,1760,0.0,0.00,316.2,112.74,0.0,3.1, , ,113.08,0.0,3.91, , 
,113.41,1472,0.0,0.00,336.6,113.70,0.0,0.0, , ,114.02,0.0,3.52, , 
,114.33,928,29.4,4.12,418.2,114.64,0.0,0.0, , ,114.96,0.0,1.17, , 
,115.26,896,25.1,3.09,377.4,115.58,0.0,0.0, , ,115.88,0.0,1.09, , 
,116.17,896,26.7,3.09,377.4,116.48,0.0,0.0, , ,116.80,-5.5,1.33, , 
,117.08,896,26.7,3.09,397.8,117.37,0.0,0.0, , ,117.67,-5.9,1.52, , 
,117.97,896,26.7,3.09,377.4,118.27,0.0,0.0, , ,118.57,-4.3,1.56, , 
,118.85,896,26.7,3.09,397.8,119.17,0.0,0.0, , ,119.49,-3.5,1.52, , 
,119.80,896,26.7,3.09,397.8,120.09,0.0,0.0, , ,120.38,-3.1,1.48, , 
,120.66,896,26.7,3.09,397.8,120.96,0.0,0.0, , ,121.26,-3.1,1.48, , 
,121.59,864,26.7,3.09,397.8,121.90,0.0,0.0, , ,122.21,-3.1,1.48, , 
,122.50,832,26.7,3.09,377.4,122.84,0.0,0.0, , ,123.22,0.0,1.21, , 
,123.57,1824,63.5,10.30,714.0,123.90,0.0,3.1, , ,124.26,0.0,1.25, , 
,124.60,2080,59.2,8.24,673.2,124.94,0.0,3.1, , ,125.24,0.0,3.55, , 
,125.55,1312,59.2,11.33,632.4,125.86,0.0,0.0, , ,126.19,0.0,1.21, , 
,126.51,1344,84.3,13.39,948.6,126.93,0.0,0.0, , ,127.28,0.0,0.94, , 
,127.65,1728,88.6,15.45,989.4,128.00,0.0,3.1, , ,128.35,-9.0,1.17, , 
,128.69,2144,91.4,13.39,989.4,129.01,0.0,3.1, , ,129.39,-12.1,1.48, , 
,129.74,2528,88.6,13.39,948.6,130.06,0.0,3.1, , ,130.38,-12.1,1.56, , 
,130.77,2944,87.1,12.36,928.2,131.10,0.0,3.1, , ,131.43,0.0,3.83, , 
,131.78,1792,35.3,5.15,418.2,132.13,0.0,3.1, , ,132.47,0.0,1.17, , 
,132.85,1888,72.2,11.33,795.6,133.18,0.0,3.1, , ,133.53,0.0,1.09, , 
,133.89,2016,79.6,12.36,887.4,134.24,0.0,3.1, , ,134.59,-9.4,1.33, , 
,134.94,2144,87.1,12.36,948.6,135.26,0.0,3.1, , ,135.60,-14.8,1.41, , 
,135.93,2272,88.6,12.36,948.6,136.25,0.0,3.1, , ,136.62,-17.2,1.48, , 
,136.98,2432,90.2,12.36,969.0,137.33,0.0,3.1, , ,137.67,-17.2,1.48, , 
,138.01,2560,90.2,12.36,969.0,138.36,0.0,3.1, , ,138.70,0.0,1.25, , 
,139.07,2080,0.0,0.00,316.2,139.41,0.0,3.1, , ,139.76,0.0,1.25, , 
,140.13,1856,47.1,7.21,550.8,140.49,0.0,3.1, , ,140.84,0.0,1.09, , 
,141.18,1856,82.7,13.39,907.8,141.53,0.0,3.1, , ,141.90,0.0,1.21, , 
,142.27,1888,63.5,9.27,714.0,142.64,0.0,3.1, , ,142.97,-5.5,1.41, , 
,143.33,1888,65.1,9.27,734.4,143.70,0.0,3.1, , ,144.08,0.0,1.56, , 
,144.46,1888,54.5,8.24,632.4,144.83,0.0,3.1, , ,145.21,-4.7,1.25, , 
,145.57,1856,65.1,9.27,734.4,145.94,0.0,3.1, , ,146.30,-8.6,1.45, , 
,146.66,1888,63.5,8.24,734.4,147.03,0.0,3.1, , ,147.40,-9.8,1.52, , 
,147.78,1888,63.5,8.24,714.0,148.14,0.0,3.1, , ,148.51,-9.8,1.52, , 
,148.88,1920,62.0,8.24,714.0,149.23,0.0,3.1, , ,149.60,-9.0,1.45, , 
,149.96,1920,62.0,8.24,714.0,150.31,0.0,3.1, , ,150.67,-7.4,1.52, , 
,151.04,1952,60.4,8.24,693.6,151.40,0.0,3.1, , ,151.76,-6.3,1.45, , 
,152.13,1984,59.2,8.24,673.2,152.48,0.0,3.1, , ,152.83,-5.5,1.52, , 
,153.19,2016,60.4,8.24,693.6,153.53,0.0,3.1, , ,153.90,-5.5,1.45, , 
,154.25,2016,57.6,8.24,673.2,154.60,0.0,3.1, , ,154.95,-5.1,1.48, , 
,155.30,2048,45.9,6.18,550.8,155.65,0.0,3.1, , ,156.01,1.2,1.52, , 
,156.36,2048,59.2,8.24,673.2,156.72,0.0,3.1, , ,157.08,-5.9,1.45, , 
,157.42,2080,63.5,8.24,714.0,157.77,0.0,3.1, , ,158.12,-9.8,1.41, , 
,158.47,2112,72.2,10.30,795.6,158.80,0.0,3.1, , ,159.14,0.0,0.94, , 
,159.48,2208,88.6,14.42,969.0,159.80,0.0,3.1, , ,160.13,-10.5,1.25, , 
,160.46,2304,85.5,12.36,928.2,160.78,0.0,3.1, , ,161.11,0.0,1.37, , 
,161.45,2304,31.0,4.12,397.8,161.79,0.0,3.1, , ,162.13,0.0,0.98, , 
,162.45,2272,17.6,2.06,275.4,162.78,0.0,3.1, , ,163.11,-14.8,1.13, , 
,163.45,2240,41.2,5.15,479.4,163.79,0.0,3.1, , ,164.12,-9.0,1.64, , 
,164.48,2272,50.2,6.18,591.6,164.83,0.0,3.1, , ,165.17,-5.9,1.60, , 
,165.51,2272,50.2,7.21,591.6,165.85,0.0,3.1, , ,166.19,-7.0,1.37, , 
,166.52,2304,59.2,8.24,673.2,166.88,0.0,3.1, , ,167.21,0.0,1.05, , 
,167.52,2368,88.6,15.45,948.6,167.87,0.0,3.1, , ,168.22,-5.1,1.05, , 
,168.57,2496,91.4,14.42,989.4,168.90,0.0,3.1, , ,169.25,-7.0,1.37, , 
,169.57,2592,91.4,14.42,989.4,169.89,0.0,3.1, , ,170.20,-7.0,1.48, , 
,170.54,2688,92.9,14.42,989.4,170.87,0.0,3.1, , ,171.18,-7.8,1.48, , 
,171.50,2784,92.9,14.42,989.4,171.85,0.0,3.1, , ,172.18,-9.4,1.45, , 
,172.54,2912,92.9,14.42,989.4,172.80,0.0,3.1, , ,173.24,-11.3,1.41, , 
,173.51,3008,92.9,13.39,989.4,173.90,0.0,3.1, , ,174.32,-12.9,1.45, , 
,174.66,2624,0.0,0.00,295.8,175.00,0.0,3.1, , ,175.34,0.0,3.63, , 
,175.72,2272,36.9,6.18,438.6,176.04,0.0,3.1, , ,176.37,0.0,0.98, , 
,176.70,2336,88.6,15.45,948.6,177.05,0.0,3.1, , ,177.36,-6.6,1.17, , 
,177.68,2400,88.6,13.39,948.6,178.00,0.0,3.1, , ,178.32,0.0,1.37, , 
,178.64,2400,76.9,12.36,826.2,178.98,0.0,3.1, , ,179.35,-4.7,1.17, , 
,179.68,2432,76.9,11.33,846.6,180.01,0.0,3.1, , ,180.37,-9.0,1.37, , 
,180.71,2464,76.9,11.33,846.6,181.09,0.0,3.1, , ,181.42,0.0,1.52, , 
,181.74,2496,92.9,16.48,989.4,182.06,0.0,3.1, , ,182.41,-3.5,1.33, , 
,182.73,2528,92.9,14.42,989.4,183.09,0.0,3.1, , ,183.45,-9.8,1.37, , 
,183.80,2560,88.6,13.39,948.6,184.14,0.0,3.1, , ,184.51,-14.8,1.45, , 
,184.85,2624,76.9,12.36,826.2,185.18,0.0,3.1, , ,185.51,0.0,1.33, , 
,185.85,2624,82.7,13.39,887.4,186.20,0.0,3.1, , ,186.55,0.0,1.09, , 
,186.88,2656,42.7,5.15,499.8,187.20,0.0,3.1, , ,187.53,0.0,1.09, , 
,187.84,2592,19.2,2.06,275.4,188.16,0.0,3.1, , ,188.49,0.0,3.71, , 
,188.79,2560,0.0,0.00,244.8,189.12,0.0,3.1, , ,189.43,0.0,3.83, , 
,189.73,2496,0.0,0.00,244.8,190.06,0.0,3.1, , ,190.38,0.0,3.95, , 
,190.71,2432,17.6,3.09,244.8,191.05,0.0,3.1, , ,191.38,0.0,0.63, , 
,191.72,2400,19.2,2.06,275.4,192.05,0.0,3.1, , ,192.36,-12.1,1.29, , 
,192.69,2368,19.2,2.06,275.4,193.03,0.0,3.1, , ,193.36,0.0,1.29, , 
,193.69,2336,45.9,7.21,550.8,194.03,0.0,3.1, , ,194.38,-1.6,1.45, , 
,194.71,2336,54.5,7.21,612.0,195.05,0.0,3.1, , ,195.38,-6.3,1.48, , 
,195.71,2336,53.3,7.21,612.0,196.06,0.0,3.1, , ,196.41,-4.7,1.60, , 
,196.74,2336,40.0,5.15,479.4,197.07,0.0,3.1, , ,197.39,-3.1,1.48, , 
,197.73,2336,44.3,6.18,520.2,198.09,0.0,3.1, , ,198.42,-0.8,1.52, , 
,198.79,2336,45.9,6.18,520.2,199.13,0.0,3.1, , ,199.46,-1.6,1.45, , 
,199.79,2336,45.9,6.18,520.2,200.14,0.0,3.1, , ,200.47,-1.6,1.45, , 
,200.81,2304,45.9,6.18,520.2,201.14,0.0,3.1, , ,201.48,-1.6,1.52, , 
,201.85,2304,45.9,6.18,520.2,202.17,0.0,3.1, , ,202.51,-1.6,1.48, , 
,202.84,2304,28.2,3.09,377.4,203.19,0.0,3.1, , ,203.52,0.0,1.33, , 
,203.85,2304,47.1,7.21,550.8,204.19,0.0,3.1, , ,204.51,-3.5,1.37, , 
,204.85,2112,0.0,0.00,357.0,205.16,0.0,3.1, , ,205.52,0.0,3.75, , 
,205.83,1056,26.7,4.12,377.4,206.17,0.0,0.0, , ,206.50,0.0,1.02, , 
,206.77,992,22.0,3.09,336.6,207.08,0.0,0.0, , ,207.37,0.0,0.59, , 
,207.69,928,25.1,3.09,357.0,208.02,0.0,0.0, , ,208.34,-2.0,1.25, , 
,208.65,896,23.5,3.09,357.0,208.97,0.0,0.0, , ,209.28,-2.0,1.52, , 
,209.59,896,25.1,3.09,377.4,209.91,0.0,0.0, , ,210.21,-0.8,1.48, , 
,210.49,896,25.1,3.09,377.4,210.79,0.0,0.0, , ,211.11,0.0,1.48, , 
,211.44,896,25.1,3.09,377.4,211.76,0.0,0.0, , ,212.07,0.4,1.45, , 
,212.37,864,25.1,3.09,377.4,212.67,0.0,0.0, , ,212.97,0.0,1.41, , 
,213.27,864,25.1,3.09,377.4,213.56,0.0,0.0, , ,213.88,-0.8,1.41, , 
,214.19,896,25.1,3.09,377.4,214.50,0.0,0.0, , ,214.80,-0.4,1.48, , 
,215.10,896,25.1,3.09,377.4,215.40,0.0,0.0, , ,215.71,-0.4,1.45, , 
,216.04,896,25.1,3.09,377.4,216.34,0.0,0.0, , ,216.63,-0.4,1.41, , 
,216.92,896,25.1,3.09,377.4,217.21,0.0,0.0, , ,217.49,-0.8,1.41, , 
,217.79,864,25.1,3.09,377.4,218.09,0.0,0.0, , ,218.37,-1.6,1.41, , 
,218.67,864,25.1,3.09,377.4,218.96,0.0,0.0, , ,219.26,-2.7,1.37, , 
,219.57,896,25.1,3.09,377.4,219.84,0.0,0.0, , ,220.13,-4.3,1.41, , 
,220.43,864,25.1,3.09,377.4,220.75,0.0,0.0, , ,221.06,-3.9,1.48, , 
,221.36,864,25.1,3.09,377.4,221.67,0.0,0.0, , ,221.97,-3.1,1.45, , 
,222.27,864,25.1,3.09,377.4,222.57,0.0,0.0, , ,222.86,-3.5,1.41, , 
,223.17,896,26.7,3.09,377.4,223.51,0.0,0.0, , ,223.86,0.0,1.41, , 
,224.20,1568,38.4,5.15,479.4,224.57,0.0,3.1, , ,224.92,-3.9,1.33, , 
,225.28,1312,88.6,18.54,907.8,225.60,0.0,3.1, , ,225.92,0.0,1.05, , 
,226.25,1120,45.9,7.21,550.8,226.55,0.0,0.0, , ,226.86,0.0,1.17, , 
,227.18,1152,87.1,14.42,989.4,227.52,0.0,0.0, , ,227.94,0.0,1.05, , 
,228.31,1632,88.6,15.45,989.4,228.68,0.0,3.1, , ,229.02,-7.8,1.17, , 
,229.37,2112,91.4,13.39,989.4,229.70,0.0,3.1, , ,230.04,-12.1,1.21, , 
,230.38,2624,92.9,15.45,989.4,230.76,0.0,3.1, , ,231.16,-9.0,1.09, , 
,231.49,3168,0.0,0.00,499.8,231.84,0.0,3.1, , ,232.17,0.0,0.16, , 
,232.52,2208,91.4,15.45,989.4,232.86,0.0,3.1, , ,233.19,-4.7,1.25, , 
,233.55,2432,92.9,14.42,989.4,233.89,0.0,3.1, , ,234.23,-6.3,1.48, , 
,234.55,2656,92.9,14.42,989.4,234.88,0.0,3.1, , ,235.24,-8.6,1.37, , 
,235.60,2880,91.4,14.42,948.6,235.86,0.0,3.1, , ,236.32,0.0,1.21, , 
,236.58,3008,36.9,5.15,438.6,236.84,0.0,3.1, , ,237.11,0.0,1.37, , 
,237.38,2976,19.2,2.06,275.4,237.76,0.0,3.1, , ,238.17,-12.9,1.21, , 
,238.48,2944,17.6,2.06,275.4,238.80,0.0,3.1, , ,239.14,-18.8,1.37, , 
,239.48,2880,19.2,2.06,275.4,239.84,0.0,3.1, , ,240.16,-20.7,1.48, , 
,240.47,2880,28.2,3.09,357.0,240.83,0.0,3.1, , ,241.15,0.0,1.21, , 
,241.50,2880,59.2,9.27,652.8,241.97,0.0,3.1, , ,242.34,0.0,1.05, , 
,242.72,3104,92.9,15.45,969.0,243.08,0.0,3.1, , ,243.44,-6.6,1.33, , 
,243.81,3328,94.5,14.42,969.0,244.15,0.0,3.1, , ,244.51,0.0,3.63, , 
,244.86,2432,20.8,3.09,295.8,245.20,0.0,3.1, , ,245.54,0.0,1.13, , 
,245.87,2528,92.9,16.48,969.0,246.20,0.0,3.1, , ,246.55,0.0,1.17, , 
,246.88,2656,92.9,15.45,989.4,247.22,0.0,3.1, , ,247.55,-6.3,1.13, , 
,247.88,2752,92.9,16.48,989.4,248.23,0.0,3.1, , ,248.56,-7.0,1.13, , 
,248.89,2880,92.9,16.48,989.4,249.20,0.0,3.1, , ,249.59,-9.8,1.09, , 
,249.93,3008,94.5,15.45,989.4,250.26,0.0,3.1, , ,250.61,-11.3,1.45, , 
,250.95,3104,91.4,13.39,969.0,251.32,0.0,3.1, , ,251.66,-12.9,1.52, , 
,252.01,3200,87.1,12.36,928.2,252.39,0.0,3.1, , ,252.77,0.0,1.56, , 
,253.12,3200,19.2,2.06,275.4,253.49,0.0,3.1, , ,253.81,0.0,2.46, , 
,254.13,3136,0.0,0.00,275.4,254.46,0.0,3.1, , ,254.79,0.0,3.87, , 
,255.16,3072,0.0,0.00,275.4,255.42,0.0,3.1, , ,255.69,0.0,3.87, , 
,255.96,2944,0.0,0.00,275.4,256.31,0.0,3.1, , ,256.64,0.0,3.91, , 
,256.98,2848,0.0,0.00,275.4,257.31,0.0,3.1, , ,257.63,0.0,3.91, , 
,257.96,2720,0.0,0.00,275.4,258.27,0.0,3.1, , ,258.59,0.0,3.83, , 
,258.93,2624,0.0,0.00,275.4,259.23,0.0,3.1, , ,259.57,0.0,3.91, , 
,259.92,2496,0.0,0.00,275.4,260.25,0.0,3.1, , ,260.58,0.0,3.91, , 
,260.91,2368,0.0,0.00,275.4,261.23,0.0,3.1, , ,261.56,0.0,3.83, , 
,261.90,2304,0.0,0.00,275.4,262.23,0.0,3.1, , ,262.57,0.0,3.95, , 
,262.91,2240,0.0,0.00,244.8,263.23,0.0,3.1, , ,263.56,0.0,3.91, , 
,263.91,2176,0.0,0.00,275.4,264.26,0.0,3.1, , ,264.59,0.0,3.87, , 
,264.93,2144,16.1,3.09,244.8,265.26,0.0,3.1, , ,265.60,0.0,0.59, , 
,265.94,2080,28.2,4.12,357.0,266.28,0.0,3.1, , ,266.62,-7.4,1.37, , 
,266.98,2112,35.3,4.12,438.6,267.32,0.0,3.1, , ,267.67,-7.0,1.52, , 
,268.03,2112,35.3,4.12,438.6,268.37,0.0,3.1, , ,268.72,-7.8,1.41, , 
,269.08,2112,35.3,4.12,438.6,269.42,0.0,3.1, , ,269.76,-7.8,1.52, , 
