
Środa,19,Sierpień,2026,16:34:43:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:, Zatrzymany
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,,,,
,185.97,2464,87.0,0.0,11101001,185.62,2432,87.1,11.33,948.6,,,,,
,186.67,2464,87.0,-5.1,11101001,186.31,2464,73.7,11.33,795.6,,,,,
,187.37,2496,87.0,0.0,11101001,187.03,2496,87.1,13.39,928.2,,,,,
,188.02,2496,87.0,0.0,11111101,187.71,2528,85.5,13.39,928.2,,,,,
,188.70,1600,87.0,0.0,11111111,188.36,2048,0.0,0.00,316.2,,,,,
,189.35,1056,87.0,0.0,11111111,189.05,1120,23.5,3.09,336.6,,,,,
,189.98,1056,87.0,0.0,11111111,189.65,1056,26.7,4.12,377.4,,,,,
,190.65,992,87.0,0.0,11111111,190.31,1024,22.0,3.09,336.6,,,,,
,191.27,896,87.0,0.0,11111111,190.97,928,23.5,3.09,357.0,,,,,
,191.86,896,87.0,-1.2,11111111,191.57,864,25.1,3.09,377.4,,,,,
,192.49,896,87.0,-2.3,11111111,192.15,896,25.1,3.09,377.4,,,,,
,193.08,896,87.0,-3.1,11111111,192.78,896,25.1,3.09,377.4,,,,,
,193.68,896,87.0,-3.1,11111111,193.38,896,25.1,3.09,377.4,,,,,
,194.25,896,87.0,-3.1,11111111,193.96,864,25.1,3.09,377.4,,,,,
,194.85,864,87.0,-2.3,11111111,194.55,864,25.1,3.09,377.4,,,,,
,195.45,864,87.0,-1.2,11111111,195.14,896,25.1,3.09,377.4,,,,,
,196.05,896,87.0,-0.8,11111111,195.75,896,25.1,3.09,377.4,,,,,
,196.70,1536,87.0,-3.1,11101011,196.36,1088,26.7,3.09,377.4,,,,,
,197.42,1440,87.0,0.0,11101011,197.05,1408,60.4,11.33,652.8,,,,,
,198.13,1632,88.5,0.0,11101011,197.77,1536,85.5,14.42,969.0,,,,,
,198.84,1792,88.5,0.0,11101011,198.49,1696,87.1,14.42,989.4,,,,,
,199.57,1952,88.5,-10.9,11101011,199.22,1856,87.1,13.39,989.4,,,,,
,200.23,2144,88.5,-14.8,11101001,199.91,2048,88.6,12.36,969.0,,,,,
,200.89,2368,88.5,-14.8,11101001,200.56,2240,90.2,12.36,969.0,,,,,
,201.58,2560,88.5,-12.1,11101001,201.24,2432,90.2,12.36,969.0,,,,,
,202.22,2784,88.5,-10.2,11101001,201.89,2688,90.2,13.39,969.0,,,,,
,202.92,2592,88.5,0.0,11111101,202.61,2912,90.2,13.39,969.0,,,,,
,203.64,1824,88.5,0.0,11101011,203.27,2112,0.0,0.00,316.2,,,,,
,204.37,1888,88.5,0.0,11101011,204.00,1888,76.9,12.36,867.0,,,,,
