Piątek,14,Sierpień,2026,06:39:04:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,72.31,2464,28.5,-6.3,10101000,72.65,0,0,0,aktywna,71.97,0, , ,aktywna
,73.38,2144,28.5,0.0,10111100,73.69,0,0,0,nieaktywna,72.99,0, , ,aktywna
,74.32,1056,28.5,0.0,10111110,74.70,0,0,0,aktywna,73.99,0, , ,nieaktywna
,75.43,1792,28.5,-8.2,10101010,75.78,0,0,0,nieaktywna,75.06,0, , ,nieaktywna
,76.52,1792,28.5,-12.9,10101010,76.90,0,0,0,nieaktywna,76.16,0, , ,nieaktywna
,77.66,1856,28.5,-14.8,10101010,78.02,0,0,0,nieaktywna,77.27,0, , ,nieaktywna
,78.76,1888,28.5,-13.7,10101010,79.12,0,0,0,nieaktywna,78.40,0, , ,nieaktywna
,79.84,1920,30.0,-10.9,10111110,80.22,0,0,0,nieaktywna,79.48,0, , ,nieaktywna
,80.94,1888,30.0,-4.7,10111110,81.32,0,0,0,nieaktywna,80.58,0, , ,nieaktywna
,82.06,1856,30.0,-1.2,10111110,82.44,0,0,0,nieaktywna,81.69,0, , ,nieaktywna
,83.16,1856,30.0,0.4,10111110,83.52,0,0,0,nieaktywna,82.77,0, , ,nieaktywna
,84.25,1888,30.0,-0.4,10111110,84.62,0,0,0,nieaktywna,83.90,0, , ,nieaktywna
,85.29,1824,31.5,0.8,10111110,85.63,0,0,0,nieaktywna,84.97,0, , ,nieaktywna
,86.29,1696,31.5,2.7,10111110,86.66,0,0,0,nieaktywna,85.97,0, , ,nieaktywna
,87.34,1504,31.5,3.5,10111110,87.65,0,0,0,nieaktywna,87.03,0, , ,nieaktywna
,88.32,1280,31.5,6.6,10111110,88.63,0,0,0,nieaktywna,87.99,0, , ,nieaktywna
,89.24,1184,31.5,4.3,10111110,89.57,0,0,0,aktywna,88.94,0, , ,nieaktywna
,90.21,1152,31.5,5.5,10111110,90.53,0,0,0,aktywna,89.88,0, , ,aktywna
,91.16,1120,31.5,7.0,10111110,91.50,0,0,0,aktywna,90.84,0, , ,aktywna
,92.14,1120,31.5,7.8,10111110,92.45,0,0,0,aktywna,91.81,0, , ,aktywna
,93.12,1120,31.5,7.0,10101010,93.46,0,0,0,aktywna,92.79,0, , ,aktywna
,94.13,1248,31.5,0.0,10101010,94.44,0,0,0,aktywna,93.79,0, , ,aktywna
,95.10,1344,33.0,3.1,10101010,95.46,0,0,0,aktywna,94.77,0, , ,aktywna
,96.09,1504,33.0,0.0,10101010,96.44,0,0,0,aktywna,95.83,0, , ,aktywna
,97.14,1632,33.0,2.7,10101010,97.48,0,0,0,aktywna,96.80,0, , ,aktywna
,98.18,1728,33.0,-4.3,10111110,98.53,0,0,0,nieaktywna,97.83,0, , ,nieaktywna
,99.26,1600,33.0,-5.1,10111110,99.54,0,0,0,nieaktywna,98.89,0, , ,nieaktywna
,100.13,1504,33.0,-1.2,10111110,100.56,0,0,0,nieaktywna,99.86,0, , ,nieaktywna
,101.33,1472,34.5,2.7,10101010,101.69,0,0,0,aktywna,100.97,0, , ,aktywna
,102.38,1664,34.5,7.0,10101010,102.74,0,0,0,aktywna,102.04,0, , ,aktywna
,103.50,1760,34.5,4.7,10101010,103.86,0,0,0,nieaktywna,103.10,0, , ,aktywna
,104.57,1856,34.5,-3.9,10101010,104.94,0,0,0,nieaktywna,104.20,0, , ,nieaktywna
,105.66,1920,34.5,-7.0,10111110,106.04,0,0,0,nieaktywna,105.30,0, , ,nieaktywna
,106.77,1920,34.5,-3.5,10111110,107.11,0,0,0,nieaktywna,106.40,0, , ,nieaktywna
,107.80,1120,34.5,0.0,10111110,108.10,0,0,0,nieaktywna,107.49,0, , ,nieaktywna
,108.72,1056,34.5,0.0,10111110,109.03,0,0,0,aktywna,108.40,0, , ,aktywna
,109.62,896,36.0,-1.2,10111110,109.94,0,0,0,aktywna,109.33,0, , ,aktywna
,110.57,896,36.0,-0.8,10111110,110.89,0,0,0,aktywna,110.24,0, , ,aktywna
,111.48,896,36.0,0.4,10111110,111.79,0,0,0,aktywna,111.19,0, , ,aktywna
,112.41,896,36.0,2.0,10111110,112.71,0,0,0,aktywna,112.11,0, , ,aktywna
,113.30,896,36.0,3.5,10111110,113.61,0,0,0,aktywna,113.01,0, , ,aktywna
,114.23,896,36.0,0.0,10101010,114.61,0,0,0,aktywna,113.93,0, , ,aktywna
,115.33,1280,36.0,0.0,10101010,115.67,0,0,0,aktywna,114.98,0, , ,aktywna
,116.33,1536,36.0,0.0,10101010,116.66,0,0,0,aktywna,115.97,0, , ,aktywna
,117.38,1824,36.0,-1.6,10101010,117.74,0,0,0,aktywna,117.01,0, , ,aktywna
,118.48,1920,36.0,-9.0,10111110,118.84,0,0,0,nieaktywna,118.11,0, , ,nieaktywna
,119.54,1856,36.0,-13.3,10111110,119.92,0,0,0,nieaktywna,119.20,0, , ,nieaktywna
,120.63,1728,37.5,-7.0,10111110,121.00,0,0,0,nieaktywna,120.29,0, , ,nieaktywna
,121.67,1664,37.5,-2.3,10111110,122.02,0,0,0,nieaktywna,121.34,0, , ,nieaktywna
,122.71,1600,37.5,-0.4,10101010,123.07,0,0,0,aktywna,122.36,0, , ,nieaktywna
,123.77,1696,37.5,3.9,10101010,124.12,0,0,0,aktywna,123.40,0, , ,aktywna
,124.86,1824,37.5,0.0,10101010,125.22,0,0,0,aktywna,124.50,0, , ,aktywna
,125.93,2080,37.5,0.8,10101000,126.28,0,0,0,aktywna,125.59,0, , ,aktywna
,126.97,2368,37.5,2.0,10101000,127.31,0,0,0,aktywna,126.62,0, , ,aktywna
,128.05,1760,37.5,0.0,10111110,128.37,0,0,0,nieaktywna,127.68,0, , ,nieaktywna
,129.11,1696,39.0,0.0,10101010,129.44,0,0,0,aktywna,128.75,0, , ,nieaktywna
,130.18,1728,39.0,-2.7,10101010,130.54,0,0,0,aktywna,129.80,0, , ,aktywna
,131.27,1760,39.0,-4.3,10101010,131.67,0,0,0,aktywna,130.88,0, , ,aktywna
,132.41,1792,39.0,-3.9,10101010,132.76,0,0,0,aktywna,132.05,0, , ,aktywna
,133.51,1856,39.0,0.4,10101010,133.89,0,0,0,aktywna,133.14,0, , ,aktywna
,134.60,1952,39.0,1.2,10101010,134.97,0,0,0,aktywna,134.24,0, , ,aktywna
,135.68,1952,39.0,-0.4,10101010,136.04,0,0,0,aktywna,135.32,0, , ,aktywna
,136.75,2016,39.0,0.8,10101000,137.12,0,0,0,aktywna,136.40,0, , ,aktywna
,137.80,2112,39.0,0.0,10101000,138.15,0,0,0,aktywna,137.46,0, , ,aktywna
,138.83,2208,40.5,0.0,10101000,139.16,0,0,0,aktywna,138.49,0, , ,aktywna
,139.84,2304,40.5,0.8,11101000,140.17,0,0,0,aktywna,139.50,0, , ,aktywna
,140.84,2400,40.5,1.6,11101000,141.19,0,0,0,aktywna,140.48,0, , ,aktywna
,141.89,2464,40.5,0.0,11101000,142.22,0,0,0,nieaktywna,141.54,0, , ,aktywna
,142.86,1120,40.5,0.0,11111110,143.15,0,0,0,aktywna,142.54,0, , ,nieaktywna
,143.83,1760,40.5,0.0,11101010,144.16,0,0,0,nieaktywna,143.49,0, , ,nieaktywna
,144.91,1728,40.5,0.0,11101010,145.25,0,0,0,aktywna,144.53,0, , ,nieaktywna
,145.96,1696,40.5,-3.1,11101010,146.36,0,0,0,aktywna,145.61,0, , ,aktywna
,147.12,1728,40.5,-0.4,11101010,147.47,0,0,0,aktywna,146.74,0, , ,aktywna
,148.21,1728,42.0,2.0,11101010,148.61,0,0,0,aktywna,147.83,0, , ,aktywna
,149.34,1728,42.0,3.5,11101010,149.72,0,0,0,aktywna,148.99,0, , ,aktywna
,150.45,1760,42.0,3.1,11101010,150.85,0,0,0,aktywna,150.08,0, , ,aktywna
,151.60,1792,42.0,2.3,11101010,151.99,0,0,0,aktywna,151.22,0, , ,aktywna
,152.73,1792,42.0,1.2,11101010,153.11,0,0,0,aktywna,152.39,0, , ,aktywna
,153.85,1824,42.0,0.8,11101010,154.21,0,0,0,aktywna,153.47,0, , ,aktywna
,154.98,1824,42.0,0.4,11101010,155.36,0,0,0,aktywna,154.60,0, , ,aktywna
,156.12,1856,42.0,0.0,11101010,156.50,0,0,0,aktywna,155.74,0, , ,nieaktywna
,157.23,1920,42.0,-2.0,11101010,157.60,0,0,0,nieaktywna,156.86,0, , ,aktywna
,158.33,1952,43.5,0.0,11101010,158.68,0,0,0,nieaktywna,157.96,0, , ,nieaktywna
,159.40,1984,43.5,-2.0,11101010,159.76,0,0,0,aktywna,159.04,0, , ,aktywna
,160.48,2016,43.5,-2.0,11101000,160.83,0,0,0,aktywna,160.13,0, , ,aktywna
,161.51,2016,43.5,-0.4,11101000,161.87,0,0,0,aktywna,161.17,0, , ,aktywna
,162.60,2016,43.5,-5.9,11101000,162.97,0,0,0,aktywna,162.23,0, , ,aktywna
,163.69,2016,43.5,-3.5,11101000,164.03,0,0,0,aktywna,163.32,0, , ,aktywna
,164.75,1984,43.5,-2.3,11101000,165.11,0,0,0,aktywna,164.39,0, , ,aktywna
,165.81,1984,43.5,0.4,11101000,166.17,0,0,0,aktywna,165.45,0, , ,aktywna
,166.89,1952,43.5,2.0,11101010,167.25,0,0,0,aktywna,166.52,0, , ,aktywna
,167.98,1952,45.0,2.0,11101010,168.34,0,0,0,aktywna,167.62,0, , ,aktywna
,169.05,1920,45.0,2.0,11101010,169.41,0,0,0,aktywna,168.70,0, , ,aktywna
,170.13,1952,45.0,-12.1,11101010,170.48,0,0,0,aktywna,169.76,0, , ,aktywna
,171.20,1952,45.0,-6.3,11101010,171.55,0,0,0,aktywna,170.85,0, , ,aktywna
,172.26,1952,45.0,2.0,11101010,172.63,0,0,0,aktywna,171.91,0, , ,aktywna
,173.36,1920,45.0,3.1,11101010,173.71,0,0,0,aktywna,173.00,0, , ,aktywna
,174.44,1920,45.0,4.7,11101010,174.80,0,0,0,aktywna,174.08,0, , ,aktywna
,175.51,1920,45.0,6.3,11101010,175.89,0,0,0,aktywna,175.16,0, , ,aktywna
,176.62,1920,45.0,7.4,11101010,176.99,0,0,0,aktywna,176.24,0, , ,aktywna
,177.74,1920,45.0,7.4,11101010,178.12,0,0,0,aktywna,177.37,0, , ,aktywna
,178.87,1888,46.5,6.6,11101010,179.25,0,0,0,aktywna,178.49,0, , ,aktywna
,179.98,1888,46.5,6.3,11101010,180.35,0,0,0,aktywna,179.61,0, , ,aktywna
,181.09,1888,46.5,7.4,11101010,181.47,0,0,0,aktywna,180.73,0, , ,aktywna
,182.19,1888,46.5,7.8,11101010,182.55,0,0,0,aktywna,181.83,0, , ,aktywna
,183.29,1888,46.5,8.2,11101010,183.66,0,0,0,aktywna,182.92,0, , ,aktywna
,184.38,1888,46.5,10.9,11101010,184.74,0,0,0,aktywna,184.02,0, , ,aktywna
,185.47,1920,46.5,11.7,11101010,185.83,0,0,0,aktywna,185.10,0, , ,aktywna
,186.54,1920,46.5,10.5,11101010,186.91,0,0,0,aktywna,186.19,0, , ,aktywna
,187.62,1920,46.5,1.6,11101010,187.99,0,0,0,nieaktywna,187.27,0, , ,nieaktywna
,188.70,1952,46.5,2.0,11101010,189.08,0,0,0,nieaktywna,188.34,0, , ,nieaktywna
,189.82,1920,46.5,-0.8,11101010,190.19,0,0,0,aktywna,189.45,0, , ,aktywna
,190.91,1920,48.0,-2.3,11101010,191.28,0,0,0,aktywna,190.54,0, , ,aktywna
,192.00,1920,48.0,-3.5,11101010,192.37,0,0,0,aktywna,191.63,0, , ,aktywna
,193.10,1920,48.0,-2.7,11101010,193.47,0,0,0,aktywna,192.73,0, , ,aktywna
,194.19,1920,48.0,-0.8,11101010,194.57,0,0,0,aktywna,193.83,0, , ,aktywna
,195.30,1888,48.0,-1.2,11101010,195.66,0,0,0,aktywna,194.94,0, , ,aktywna
,196.38,1888,48.0,-2.7,11101010,196.74,0,0,0,aktywna,196.02,0, , ,aktywna
,197.48,1888,48.0,-2.3,11101010,197.85,0,0,0,aktywna,197.10,0, , ,aktywna
,198.60,1888,48.0,0.4,11101010,198.99,0,0,0,aktywna,198.23,0, , ,aktywna
,199.75,1888,48.0,2.0,11101010,200.11,0,0,0,aktywna,199.37,0, , ,aktywna
,200.86,1888,48.0,4.3,11101010,201.22,0,0,0,aktywna,200.48,0, , ,aktywna
,201.96,1888,48.0,6.3,11101010,202.32,0,0,0,aktywna,201.59,0, , ,aktywna
,203.04,1920,49.5,7.8,11101010,203.42,0,0,0,aktywna,202.68,0, , ,aktywna
,204.13,1920,49.5,8.2,11101010,204.48,0,0,0,nieaktywna,203.77,0, , ,nieaktywna
,205.22,1952,49.5,8.6,11101010,205.58,0,0,0,nieaktywna,204.85,0, , ,nieaktywna
,206.31,1984,49.5,2.0,11101010,206.67,0,0,0,nieaktywna,205.95,0, , ,nieaktywna
,207.38,1984,49.5,3.5,11101000,207.75,0,0,0,nieaktywna,207.03,0, , ,nieaktywna
,208.45,2016,49.5,3.9,11101000,208.80,0,0,0,aktywna,208.09,0, , ,nieaktywna
,209.49,2016,49.5,5.5,11101000,209.87,0,0,0,aktywna,209.14,0, , ,aktywna
,210.57,2048,49.5,5.5,11101000,210.92,0,0,0,aktywna,210.22,0, , ,aktywna
,211.62,2048,49.5,5.5,11101000,211.97,0,0,0,aktywna,211.27,0, , ,aktywna
,212.68,2048,49.5,5.1,11101000,213.03,0,0,0,aktywna,212.33,0, , ,aktywna
,213.73,2080,49.5,3.9,11101000,214.07,0,0,0,aktywna,213.37,0, , ,aktywna
,214.80,2080,49.5,3.1,11101000,215.14,0,0,0,aktywna,214.44,0, , ,aktywna
,215.81,2112,49.5,3.1,11101000,216.17,0,0,0,aktywna,215.47,0, , ,aktywna
,216.89,2112,51.0,3.1,11101000,217.23,0,0,0,nieaktywna,216.53,0, , ,aktywna
,217.91,2112,51.0,3.1,11101000,218.25,0,0,0,aktywna,217.57,0, , ,aktywna
,218.93,2144,51.0,2.7,11101000,219.28,0,0,0,aktywna,218.60,0, , ,aktywna
,219.96,2144,51.0,2.7,11101000,220.32,0,0,0,aktywna,219.63,0, , ,aktywna
,221.03,2144,51.0,1.2,11101000,221.37,0,0,0,aktywna,220.68,0, , ,aktywna
,222.07,2144,51.0,0.8,11101000,222.43,0,0,0,aktywna,221.72,0, , ,aktywna
,223.15,2144,51.0,0.8,11101000,223.51,0,0,0,aktywna,222.79,0, , ,aktywna
,224.22,2144,51.0,0.0,11101000,224.56,0,0,0,nieaktywna,223.87,0, , ,aktywna
,225.27,2112,51.0,-9.0,11101000,225.63,0,0,0,nieaktywna,224.91,0, , ,nieaktywna
,226.34,2080,52.5,-12.1,11101000,226.69,0,0,0,nieaktywna,225.99,0, , ,nieaktywna
,227.38,2080,52.5,-12.5,11101000,227.73,0,0,0,nieaktywna,227.03,0, , ,nieaktywna
,228.43,2016,52.5,-10.9,11101000,228.80,0,0,0,aktywna,228.08,0, , ,aktywna
,229.51,2016,52.5,-8.6,11101000,229.86,0,0,0,aktywna,229.15,0, , ,aktywna
,230.58,1984,52.5,-3.5,11101000,230.93,0,0,0,aktywna,230.22,0, , ,aktywna
,231.64,2016,52.5,3.5,11101000,231.98,0,0,0,aktywna,231.30,0, , ,aktywna
,232.69,2016,52.5,6.6,11101000,233.03,0,0,0,aktywna,232.34,0, , ,aktywna
,233.73,2016,52.5,8.2,11101000,234.10,0,0,0,aktywna,233.38,0, , ,aktywna
,234.82,2016,52.5,0.0,11101000,235.17,0,0,0,aktywna,234.46,0, , ,aktywna
,235.90,2016,52.5,-5.1,11101000,236.26,0,0,0,nieaktywna,235.53,0, , ,aktywna
,236.97,1984,54.0,-7.8,11101000,237.32,0,0,0,nieaktywna,236.61,0, , ,nieaktywna
,238.05,1984,54.0,-9.0,11101000,238.39,0,0,0,aktywna,237.69,0, , ,aktywna
,239.12,2016,54.0,-7.8,11101000,239.50,0,0,0,aktywna,238.74,0, , ,aktywna
,240.21,2016,54.0,-6.6,11101000,240.57,0,0,0,aktywna,239.85,0, , ,aktywna
,241.27,2048,54.0,-6.3,11101000,241.62,0,0,0,aktywna,240.94,0, , ,aktywna
,242.32,2048,54.0,-2.7,11101000,242.66,0,0,0,aktywna,241.97,0, , ,aktywna
,243.36,2080,54.0,-2.7,11101000,243.70,0,0,0,aktywna,243.01,0, , ,aktywna
,244.38,2112,54.0,-3.9,11101000,244.73,0,0,0,aktywna,244.05,0, , ,aktywna
,245.41,2144,54.0,-6.3,11101000,245.74,0,0,0,aktywna,245.06,0, , ,aktywna
,246.40,2176,54.0,-8.6,11101000,246.75,0,0,0,aktywna,246.07,0, , ,aktywna
,247.45,2176,54.0,-10.9,11101000,247.79,0,0,0,nieaktywna,247.10,0, , ,nieaktywna
,248.47,2208,54.0,-14.5,11101000,248.80,0,0,0,aktywna,248.12,0, , ,nieaktywna
,249.47,2240,54.0,-12.9,11101000,249.80,0,0,0,aktywna,249.13,0, , ,aktywna
,250.48,2304,54.0,0.8,11101000,250.81,0,0,0,aktywna,250.13,0, , ,aktywna
,251.46,2336,55.5,2.3,11101000,251.80,0,0,0,aktywna,251.13,0, , ,aktywna
,252.46,2400,55.5,2.7,11101000,252.81,0,0,0,aktywna,252.12,0, , ,aktywna
,253.49,2464,55.5,1.2,11101000,253.85,0,0,0,aktywna,253.16,0, , ,aktywna
,254.54,2528,55.5,-4.3,11101000,254.89,0,0,0,aktywna,254.20,0, , ,aktywna
,255.53,2592,55.5,-6.3,11101000,255.88,0,0,0,aktywna,255.22,0, , ,aktywna
,256.57,2688,55.5,-7.8,11101000,256.91,0,0,0,aktywna,256.22,0, , ,aktywna
,257.61,2720,55.5,0.0,11101000,257.93,0,0,0,aktywna,257.25,0, , ,aktywna
,258.63,1600,55.5,0.0,11111110,258.93,0,0,0,nieaktywna,258.30,0, , ,nieaktywna
,259.64,2080,55.5,0.0,11101000,260.00,0,0,0,nieaktywna,259.31,0, , ,nieaktywna
,260.67,2112,55.5,0.0,11101000,261.02,0,0,0,nieaktywna,260.34,0, , ,nieaktywna
,261.70,2144,55.5,0.0,11101000,262.03,0,0,0,aktywna,261.36,0, , ,nieaktywna
,262.71,2208,55.5,0.0,11101000,263.04,0,0,0,aktywna,262.37,0, , ,aktywna
,263.69,2240,55.5,-11.3,11101000,264.02,0,0,0,aktywna,263.38,0, , ,aktywna
,264.69,2272,55.5,-17.2,11101000,265.02,0,0,0,aktywna,264.35,0, , ,aktywna
,265.69,2304,55.5,-18.4,11101000,266.01,0,0,0,aktywna,265.36,0, , ,aktywna
,266.70,2368,55.5,-18.4,11101000,267.02,0,0,0,aktywna,266.37,0, , ,aktywna
,267.74,2368,57.0,-18.0,11101000,268.08,0,0,0,aktywna,267.38,0, , ,aktywna
,268.77,2432,57.0,0.0,11101000,269.13,0,0,0,aktywna,268.42,0, , ,aktywna
,269.87,2432,57.0,-8.6,11101000,270.22,0,0,0,aktywna,269.51,0, , ,aktywna
,270.92,2464,57.0,-12.1,11101000,271.26,0,0,0,aktywna,270.56,0, , ,aktywna
,271.99,2464,57.0,0.0,11101000,272.34,0,0,0,aktywna,271.63,0, , ,aktywna
,273.00,2432,57.0,-2.7,11101000,273.37,0,0,0,aktywna,272.67,0, , ,aktywna
,274.03,2432,57.0,-3.9,11101000,274.37,0,0,0,aktywna,273.70,0, , ,aktywna
,275.07,2400,57.0,-4.3,11101000,275.42,0,0,0,aktywna,274.71,0, , ,aktywna
,276.09,2432,57.0,-5.1,11101000,276.45,0,0,0,aktywna,275.75,0, , ,aktywna
,277.13,2432,57.0,-4.7,11101000,277.47,0,0,0,aktywna,276.79,0, , ,aktywna
