Czwartek,20,Sierpień,2026,20:53:57:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , 
,209.77,896,54.0,0.0,10111110,210.09,896,35.3,4.12,459.0,210.41,-1.6,0.0, , 
,210.72,896,54.0,-2.7,10111110,211.03,928,34.1,4.12,438.6,211.33,-1.6,0.0, , 
,211.65,896,54.0,-5.1,10111110,211.96,896,34.1,4.12,438.6,212.26,-1.6,0.0, , 
,212.60,864,55.5,-6.6,10111110,212.92,864,34.1,4.12,438.6,213.23,-1.6,0.0, , 
,213.56,896,54.0,-8.2,10111110,213.87,896,34.1,4.12,438.6,214.18,-1.6,0.0, , 
,214.50,896,55.5,-8.6,10111110,214.81,864,34.1,4.12,438.6,215.13,-1.6,0.0, , 
,215.42,832,55.5,-7.8,10111110,215.73,800,31.0,3.09,418.2,216.03,-1.6,0.0, , 
,216.32,800,55.5,-9.4,10111110,216.62,800,32.5,4.12,438.6,216.93,-1.6,0.0, , 
,217.24,800,55.5,-13.3,10111110,217.53,768,32.5,4.12,438.6,217.83,-1.6,0.0, , 
,218.13,800,55.5,-15.6,10111110,218.44,800,35.3,4.12,459.0,218.73,-1.6,0.0, , 
,219.04,768,55.5,-15.2,10111110,219.34,800,35.3,4.12,459.0,219.65,-1.6,0.0, , 
,219.96,800,55.5,-14.5,10111110,220.25,800,35.3,4.12,459.0,220.54,-1.6,0.0, , 
,220.85,832,55.5,-12.9,10111110,221.14,832,35.3,4.12,459.0,221.46,-1.6,0.0, , 
,221.78,800,55.5,-11.7,10111110,222.08,832,35.3,4.12,459.0,222.38,-1.6,0.0, , 
,222.68,800,55.5,-10.5,10111110,222.97,832,34.1,4.12,459.0,223.25,-1.6,0.0, , 
,223.55,768,55.5,-10.9,10111110,223.81,704,38.4,5.15,499.8,224.11,-1.6,0.0, , 
,224.42,832,55.5,0.0,10111110,224.73,800,36.9,5.15,479.4,225.03,-1.6,0.0, , 
,225.33,768,55.5,-3.5,10111110,225.61,768,38.4,5.15,499.8,225.90,-1.6,0.0, , 
,226.21,800,55.5,-7.8,10111110,226.52,800,38.4,5.15,499.8,226.82,-1.6,0.0, , 
,227.14,800,55.5,-10.2,10111110,227.42,800,40.0,5.15,499.8,227.73,-1.6,0.0, , 
,228.04,832,55.5,-9.8,10111110,228.36,832,38.4,4.12,479.4,228.66,-1.6,0.0, , 
,228.96,832,55.5,-9.8,10111110,229.27,800,38.4,4.12,479.4,229.56,-1.6,0.0, , 
,229.87,800,55.5,-9.4,10111110,230.17,800,40.0,5.15,499.8,230.49,-1.6,0.0, , 
