Niedziela,23,Sierpień,2026,18:24:09:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , 
,209.89,800,94.5,2.3,00111111,210.20,800,25.1,3.09,377.4,209.60,0.0,0.0, , 
,210.79,768,94.5,2.0,00111111,211.08,800,25.1,3.09,377.4,210.50,0.0,0.0, , 
,211.69,800,94.5,2.0,00111111,211.97,768,25.1,3.09,377.4,211.39,0.0,0.0, , 
,212.57,800,94.5,1.6,00111111,212.86,800,25.1,3.09,377.4,212.26,0.0,0.0, , 
,213.46,768,94.5,1.6,00111111,213.74,768,25.1,3.09,377.4,213.16,0.0,0.0, , 
,214.32,768,94.5,1.2,00111111,214.63,800,25.1,3.09,377.4,214.03,0.0,0.0, , 
,215.24,768,94.5,1.2,00111111,215.55,800,25.1,3.09,377.4,214.93,0.0,0.0, , 
,216.14,800,94.5,1.6,00111111,216.44,768,25.1,3.09,377.4,215.84,0.0,0.0, , 
,217.05,768,94.5,1.2,00111111,217.33,768,25.1,3.09,377.4,216.74,0.0,0.0, , 
,217.92,800,94.5,1.2,00111111,218.22,768,25.1,3.09,377.4,217.63,0.0,0.0, , 
,218.82,768,94.5,1.2,00111111,219.12,800,25.1,3.09,377.4,218.52,0.0,0.0, , 
,219.71,768,94.5,1.6,00111111,220.02,800,25.1,3.09,377.4,219.42,0.0,0.0, , 
,220.63,768,94.5,1.6,00111111,220.94,800,25.1,3.09,377.4,220.32,0.0,0.0, , 
,221.52,800,94.5,1.6,00111111,221.82,768,25.1,3.09,377.4,221.24,0.0,0.0, , 
,222.38,800,94.5,1.6,00111111,222.67,800,25.1,3.09,377.4,222.10,0.0,0.0, , 
,223.27,800,94.5,1.6,00111111,223.57,800,25.1,3.09,377.4,222.97,0.0,0.0, , 
,224.17,768,94.5,1.2,00111111,224.47,800,25.1,3.09,377.4,223.86,0.0,0.0, , 
,225.05,800,94.5,1.2,00111111,225.35,800,23.5,3.09,377.4,224.77,0.0,0.0, , 
,225.95,800,94.5,1.2,00111111,226.25,800,23.5,3.09,377.4,225.65,0.0,0.0, , 
,226.86,800,94.5,1.6,00111111,227.16,800,25.1,3.09,377.4,226.55,0.0,0.0, , 
,227.77,768,94.5,1.6,00111111,228.08,800,25.1,3.09,377.4,227.47,0.0,0.0, , 
,228.71,800,94.5,1.6,00111111,229.01,800,25.1,3.09,377.4,228.40,0.0,0.0, , 
,229.62,800,94.5,1.6,00111111,229.93,768,25.1,3.09,397.8,229.33,0.0,0.0, , 
,230.54,800,94.5,1.6,00111111,230.83,800,25.1,3.09,377.4,230.24,0.0,0.0, , 
,231.44,800,94.5,2.0,00111111,231.74,800,25.1,3.09,377.4,231.13,0.0,0.0, , 
