Sobota,29,Sierpieñ,2026,12:37:49:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'004
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Obroty silnika,Napiêcie,Temperatura,Temperatura
,81.85,1632,33.0,0.0,10101010,82.21,1920,79.6,14.42,795.6,81.47,1376,14.04,33.0,22.5
,82.89,2336,33.0,0.0,10111100,83.26,1696,0.0,0.00,357.0,82.55,2240,13.84,33.0,22.5
,83.97,1312,33.0,0.0,10101010,84.31,1312,45.9,7.21,520.2,83.60,1248,13.94,33.0,22.5
,85.04,1408,33.0,0.0,10101010,85.43,1536,79.6,14.42,826.2,84.64,1312,13.94,33.0,22.5
,86.21,1760,34.5,0.0,10101010,86.58,1888,72.2,12.36,754.8,85.82,1632,13.94,33.0,22.5
,87.29,2048,34.5,-5.9,10101000,87.64,2112,54.5,7.21,591.6,86.94,1984,13.84,34.5,24.0
,88.34,2208,34.5,-10.9,10101000,88.69,2240,50.2,6.18,550.8,87.99,2176,13.94,34.5,22.5
,89.38,2304,34.5,-5.9,10101000,89.73,2336,41.2,5.15,459.0,89.04,2304,13.84,34.5,22.5
,90.50,2368,34.5,-5.5,10101000,90.83,2368,40.0,5.15,438.6,90.12,2336,13.94,34.5,24.0
,91.56,2400,36.0,-2.7,10101000,91.91,2400,31.0,4.12,357.0,91.20,2368,13.84,36.0,24.0
,92.68,2400,36.0,-3.5,10101000,93.06,2400,40.0,5.15,438.6,92.31,2400,13.84,36.0,24.0
,93.77,2432,36.0,1.6,10101000,94.13,2464,36.9,5.15,418.2,93.41,2400,13.84,36.0,24.0
,94.80,1216,36.0,0.0,10111110,95.11,1024,40.0,7.21,479.4,94.48,1856,14.04,36.0,24.0
,95.75,1056,36.0,0.0,10111110,96.05,960,35.3,5.15,438.6,95.44,1088,13.84,36.0,24.0
,96.70,960,37.5,-3.5,10111110,97.00,960,38.4,5.15,459.0,96.37,960,13.84,37.5,24.0
,97.63,960,37.5,-6.3,10111110,97.95,960,40.0,5.15,479.4,97.31,928,13.84,37.5,24.0
,98.59,928,37.5,-5.9,10111110,98.90,960,40.0,5.15,479.4,98.26,960,13.74,37.5,24.0
,99.54,928,37.5,-4.3,10111110,99.88,928,41.2,5.15,499.8,99.22,928,13.84,37.5,24.0
,100.52,928,37.5,-1.6,10111110,100.83,896,41.2,5.15,499.8,100.21,928,13.74,37.5,24.0
,101.48,928,37.5,0.4,10111110,101.78,928,42.7,6.18,499.8,101.15,928,13.74,37.5,24.0
,102.43,928,37.5,2.7,10111110,102.75,928,40.0,5.15,479.4,102.10,928,13.84,37.5,24.0
,103.43,1024,39.0,3.9,10101010,103.76,1216,42.7,6.18,499.8,103.09,992,13.94,39.0,24.0
,104.43,1120,39.0,0.0,10101010,104.79,1056,59.2,9.27,652.8,104.09,1152,13.94,39.0,24.0
,105.47,1184,39.0,0.0,10101010,105.89,1376,53.3,8.24,591.6,105.14,960,13.74,39.0,24.0
,106.62,1728,39.0,0.0,10101010,106.98,1920,53.3,8.24,571.2,106.23,1568,13.94,39.0,24.0
,107.68,1664,39.0,0.0,10111110,108.00,1056,34.1,5.15,418.2,107.35,2048,13.84,39.0,24.0
,108.63,1120,39.0,0.0,10101010,108.96,1184,40.0,6.18,459.0,108.31,1184,13.74,39.0,24.0
,109.63,1280,39.0,0.0,10101010,109.96,1344,45.9,5.15,520.2,109.31,1248,13.94,39.0,24.0
,110.68,1376,40.5,0.0,10101010,111.02,1376,31.0,4.12,377.4,110.31,1344,13.84,40.5,24.0
,111.70,1408,40.5,-4.7,10111110,112.06,1408,29.4,4.12,377.4,111.36,1408,13.94,40.5,24.0
,112.73,1344,40.5,-4.3,10111110,113.10,1312,29.4,4.12,377.4,112.38,1376,13.84,40.5,24.0
,113.75,1216,40.5,-2.7,10111110,114.07,896,35.3,6.18,438.6,113.44,1280,13.84,40.5,24.0
,114.68,928,40.5,0.0,10111110,115.00,928,40.0,6.18,479.4,114.37,928,13.84,40.5,24.0
,115.62,896,40.5,-0.8,10111110,115.93,928,41.2,6.18,499.8,115.30,928,13.84,40.5,24.0
,116.55,928,42.0,0.4,10111110,116.83,864,40.0,6.18,479.4,116.24,896,13.74,42.0,24.0
,117.43,896,40.5,1.2,10111110,117.74,896,41.2,6.18,499.8,117.12,896,13.84,40.5,24.0
,118.37,896,42.0,2.3,10111110,118.67,896,41.2,6.18,499.8,118.07,896,13.94,42.0,24.0
,119.28,928,42.0,3.5,10111110,119.59,896,41.2,6.18,499.8,118.97,896,13.84,42.0,24.0
,120.20,896,42.0,4.3,10111110,120.50,896,41.2,6.18,499.8,119.91,896,13.84,42.0,24.0
,121.09,896,42.0,4.7,10111110,121.41,896,41.2,6.18,499.8,120.80,896,13.94,42.0,24.0
,122.07,960,42.0,0.0,10101010,122.41,992,56.1,9.27,632.4,121.73,928,13.84,42.0,24.0
,123.04,1088,42.0,0.0,10101010,123.36,1088,32.5,4.12,418.2,122.74,1056,13.74,42.0,24.0
,124.00,1120,42.0,0.0,10101010,124.31,1120,31.0,4.12,397.8,123.67,1120,13.84,42.0,24.0
,124.95,1120,42.0,-2.3,10111110,125.29,1152,31.0,4.12,397.8,124.63,1152,13.84,42.0,24.0
,125.96,1088,42.0,-0.4,10111110,126.30,1088,34.1,4.12,418.2,125.63,1088,13.84,42.0,24.0
,126.94,992,43.5,0.4,10111110,127.27,1024,35.3,5.15,438.6,126.62,1056,13.84,43.5,24.0
,127.89,1088,43.5,5.1,10101010,128.21,1056,40.0,6.18,479.4,127.57,1120,13.94,43.5,24.0
,128.85,1152,43.5,5.1,10101010,129.20,1152,32.5,4.12,418.2,128.55,1120,13.84,43.5,24.0
,129.90,1216,43.5,0.0,10111110,130.22,1184,29.4,4.12,377.4,129.57,1184,13.84,43.5,24.0
,130.85,1184,43.5,0.0,10111110,131.22,1184,29.4,4.12,377.4,130.53,1184,13.84,43.5,24.0
,131.85,1120,43.5,2.0,10111110,132.17,1088,31.0,4.12,397.8,131.53,1152,13.74,43.5,24.0
,132.84,1088,43.5,3.9,10101010,133.17,1056,34.1,4.12,418.2,132.52,1056,13.94,43.5,24.0
,133.81,1024,45.0,4.3,10101010,134.12,1088,34.1,5.15,418.2,133.50,1024,13.84,45.0,24.0
,134.75,1088,45.0,3.5,10101010,135.05,1120,32.5,4.12,418.2,134.44,1088,13.84,45.0,24.0
,135.70,1152,45.0,2.3,10111110,136.05,1088,32.5,4.12,397.8,135.37,1120,13.84,45.0,24.0
,136.67,864,45.0,3.9,10111110,136.99,896,38.4,5.15,479.4,136.35,928,13.84,45.0,24.0
,137.62,896,45.0,4.3,10111110,137.92,864,38.4,5.15,479.4,137.32,896,13.94,45.0,24.0
,138.53,896,45.0,5.1,10111110,138.84,896,38.4,5.15,479.4,138.22,896,13.74,45.0,24.0
,139.48,896,45.0,5.5,10111110,139.80,896,38.4,5.15,479.4,139.17,896,13.84,45.0,24.0
,140.42,896,45.0,4.3,10111110,140.72,896,35.3,5.15,438.6,140.10,896,13.74,45.0,24.0
,141.33,864,46.5,3.1,10111110,141.64,864,35.3,5.15,438.6,141.03,864,13.64,45.0,24.0
,142.25,864,46.5,1.6,10111110,142.55,864,35.3,5.15,459.0,141.94,896,13.74,46.5,24.0
,143.13,896,46.5,0.8,10111110,143.43,896,35.3,5.15,459.0,142.83,896,13.84,46.5,24.0
,144.05,864,46.5,1.2,10111110,144.34,864,36.9,5.15,459.0,143.75,864,13.84,46.5,24.0
,144.97,864,46.5,2.0,10111110,145.26,896,36.9,5.15,459.0,144.66,864,13.94,46.5,24.0
,145.86,896,46.5,3.1,10111110,146.18,896,36.9,5.15,459.0,145.56,864,13.84,46.5,24.0
,146.80,896,46.5,3.1,10111110,147.09,896,36.9,5.15,459.0,146.49,864,13.84,46.5,24.0
,147.72,896,46.5,3.5,10111110,148.03,896,36.9,5.15,459.0,147.40,896,13.84,46.5,24.0
,148.64,864,46.5,3.5,10111110,148.95,896,35.3,5.15,459.0,148.33,896,13.74,46.5,24.0
,149.56,896,46.5,3.1,10111110,149.89,896,36.9,5.15,459.0,149.25,896,13.84,46.5,24.0
,150.51,896,46.5,3.1,10111110,150.79,864,35.3,5.15,459.0,150.19,896,13.84,46.5,24.0
,151.39,896,46.5,3.1,10111110,151.68,896,35.3,5.15,438.6,151.09,864,13.94,46.5,24.0
,152.26,864,46.5,2.3,10111110,152.56,864,35.3,5.15,438.6,151.97,896,13.94,46.5,24.0
,153.19,896,46.5,2.0,10111110,153.47,864,35.3,5.15,438.6,152.87,864,13.84,46.5,24.0
,154.07,896,48.0,1.6,10111110,154.39,896,35.3,5.15,459.0,153.76,864,13.94,46.5,24.0
,155.01,896,48.0,2.0,10111110,155.33,864,35.3,5.15,438.6,154.70,864,13.84,48.0,24.0
,155.96,864,48.0,1.6,10111110,156.26,864,35.3,5.15,438.6,155.64,864,13.74,48.0,24.0
,156.89,864,48.0,2.0,10111110,157.19,864,35.3,5.15,438.6,156.58,896,13.84,48.0,24.0
,157.82,896,48.0,2.0,10111110,158.13,864,35.3,5.15,438.6,157.49,864,13.84,48.0,24.0
,158.74,864,48.0,1.6,10111110,159.03,864,35.3,5.15,438.6,158.44,864,13.84,48.0,24.0
,159.66,864,48.0,1.6,10111110,159.98,864,35.3,5.15,438.6,159.34,896,13.84,48.0,24.0
,160.57,832,48.0,1.6,10111110,160.88,832,36.9,5.15,459.0,160.28,832,13.74,48.0,24.0
,161.50,832,48.0,1.6,10111110,161.79,800,35.3,5.15,459.0,161.20,832,13.84,48.0,24.0
,162.42,832,48.0,1.6,10111110,162.74,832,35.3,5.15,459.0,162.11,832,13.94,48.0,24.0
,163.38,800,48.0,1.6,10111110,163.68,832,36.9,5.15,459.0,163.07,832,13.94,48.0,24.0
,164.31,832,48.0,2.3,10111110,164.62,832,35.3,5.15,459.0,163.99,832,13.94,48.0,24.0
,165.21,832,49.5,2.3,10111110,165.53,832,35.3,5.15,459.0,164.92,832,13.74,48.0,24.0
,166.12,832,49.5,2.0,10111110,166.42,832,35.3,5.15,459.0,165.83,832,13.84,49.5,24.0
,167.02,832,49.5,2.0,10111110,167.31,800,35.3,5.15,459.0,166.72,832,13.84,49.5,24.0
,167.92,832,49.5,2.3,10111110,168.21,800,35.3,5.15,459.0,167.62,832,13.84,49.5,24.0
,168.84,832,49.5,2.0,10111110,169.14,832,35.3,5.15,459.0,168.53,832,13.84,49.5,24.0
,169.75,832,49.5,2.3,10111110,170.05,832,35.3,5.15,459.0,169.44,832,13.84,49.5,24.0
,170.66,832,49.5,2.3,10111110,170.96,832,35.3,5.15,459.0,170.35,832,13.74,49.5,24.0
,171.59,832,49.5,2.0,10111110,171.90,832,35.3,5.15,459.0,171.27,832,13.84,49.5,24.0
,172.51,832,49.5,2.3,10111110,172.81,832,35.3,5.15,459.0,172.21,832,13.74,49.5,24.0
,173.43,800,49.5,2.3,10111110,173.74,832,35.3,5.15,459.0,173.12,832,13.84,49.5,24.0
,174.35,800,49.5,2.3,10111110,174.66,832,35.3,5.15,459.0,174.06,832,13.94,49.5,24.0
,175.26,832,49.5,2.3,10111110,175.57,832,35.3,5.15,459.0,174.96,800,14.04,49.5,24.0
,176.18,832,49.5,2.3,10111110,176.50,832,35.3,5.15,459.0,175.87,832,13.84,49.5,24.0
,177.10,832,49.5,2.3,10111110,177.42,832,35.3,5.15,459.0,176.80,832,13.74,49.5,24.0
,178.05,832,49.5,2.3,10111110,178.36,832,35.3,5.15,459.0,177.74,832,13.74,49.5,24.0
,178.98,832,49.5,2.3,10111110,179.30,832,35.3,5.15,459.0,178.67,832,13.84,49.5,24.0
,179.94,832,51.0,2.3,10111110,180.23,832,35.3,5.15,459.0,179.62,832,13.84,51.0,24.0
,180.83,832,51.0,2.0,10111110,181.13,832,35.3,5.15,459.0,180.52,832,13.74,51.0,24.0
,181.76,832,51.0,2.0,10111110,182.08,832,35.3,5.15,459.0,181.43,800,13.84,51.0,24.0
,182.70,800,51.0,2.0,10111110,183.01,832,35.3,5.15,459.0,182.39,832,13.84,51.0,24.0
,183.61,800,51.0,2.0,10111110,183.92,832,35.3,5.15,459.0,183.31,832,13.74,51.0,24.0
,184.52,800,51.0,2.0,10111110,184.82,800,34.1,4.12,459.0,184.22,832,13.84,51.0,24.0
,185.42,832,51.0,1.2,10111110,185.71,832,35.3,5.15,459.0,185.13,800,13.94,51.0,24.0
,186.33,832,51.0,0.8,10111110,186.62,832,35.3,5.15,459.0,186.03,832,13.84,51.0,24.0
,187.21,832,51.0,1.2,10111110,187.52,800,35.3,4.12,459.0,186.91,832,13.84,51.0,24.0
,188.11,832,51.0,1.6,10111110,188.41,800,35.3,5.15,459.0,187.81,800,13.84,51.0,24.0
,189.04,800,51.0,1.6,10111110,189.33,832,35.3,5.15,459.0,188.73,832,13.74,51.0,24.0
,189.90,800,51.0,1.6,10111110,190.21,832,35.3,5.15,459.0,189.61,832,13.74,51.0,24.0
,190.82,800,51.0,1.6,10111110,191.13,832,35.3,5.15,459.0,190.52,832,13.84,51.0,24.0
,191.74,832,51.0,1.6,10111110,192.02,832,35.3,5.15,459.0,191.44,832,13.74,51.0,24.0
,192.62,832,52.5,1.2,10111110,192.93,832,35.3,5.15,459.0,192.33,800,13.74,52.5,24.0
,193.54,832,52.5,1.6,10111110,193.84,800,35.3,5.15,459.0,193.23,832,13.74,52.5,24.0
,194.44,800,52.5,1.2,10111110,194.74,800,35.3,5.15,459.0,194.13,832,13.74,52.5,24.0
,195.32,832,52.5,1.2,10111110,195.62,832,35.3,5.15,459.0,195.03,800,13.94,52.5,24.0
,196.25,832,52.5,1.2,10111110,196.56,800,35.3,5.15,459.0,195.93,832,13.74,52.5,24.0
,197.17,800,52.5,1.2,10111110,197.47,800,35.3,5.15,459.0,196.87,832,13.84,52.5,24.0
,198.07,832,52.5,1.6,10111110,198.38,832,35.3,5.15,459.0,197.77,800,13.74,52.5,24.0
,199.00,800,52.5,1.6,10111110,199.29,832,35.3,5.15,459.0,198.70,832,13.74,52.5,24.0
,199.91,800,52.5,2.0,10111110,200.21,800,35.3,5.15,459.0,199.60,800,13.74,52.5,24.0
,200.81,800,52.5,2.0,10111110,201.11,800,35.3,5.15,459.0,200.52,832,13.84,52.5,25.5
,201.70,832,52.5,2.0,10111110,202.02,832,35.3,5.15,459.0,201.41,832,13.74,52.5,25.5
,202.63,832,52.5,1.6,10111110,202.93,800,35.3,5.15,459.0,202.32,800,13.84,52.5,24.0
,203.54,832,54.0,1.6,10111110,203.86,832,35.3,5.15,459.0,203.23,800,13.74,54.0,24.0
,204.47,800,54.0,1.6,10111110,204.76,800,35.3,5.15,459.0,204.17,832,13.84,54.0,25.5
,205.38,800,54.0,1.6,10111110,205.70,832,35.3,5.15,459.0,205.07,832,13.74,54.0,25.5
,206.29,832,54.0,1.6,10111110,206.60,832,35.3,4.12,459.0,206.00,832,13.84,54.0,25.5
,207.21,832,54.0,2.0,10111110,207.51,832,34.1,4.12,459.0,206.90,832,13.74,54.0,25.5
,208.10,832,54.0,2.0,10111110,208.41,800,35.3,5.15,459.0,207.80,800,13.74,54.0,25.5
,209.02,800,54.0,2.0,10111110,209.30,800,35.3,5.15,459.0,208.71,832,13.74,54.0,25.5
,209.91,832,54.0,2.0,10111110,210.20,832,34.1,4.12,459.0,209.60,800,13.74,54.0,25.5
,210.82,832,54.0,1.6,10111110,211.10,800,35.3,5.15,459.0,210.51,832,13.84,54.0,25.5
,211.70,800,54.0,1.2,10111110,212.00,800,35.3,5.15,459.0,211.40,800,13.74,54.0,25.5
,212.59,800,54.0,1.2,10111110,212.90,800,34.1,5.15,459.0,212.30,800,13.74,54.0,25.5
,213.53,832,54.0,1.6,10111110,213.82,832,35.3,5.15,459.0,213.21,800,13.74,54.0,25.5
,214.42,800,54.0,1.2,10111110,214.72,800,35.3,4.12,459.0,214.13,800,13.84,54.0,25.5
,215.33,800,54.0,0.8,10111110,215.64,800,35.3,5.15,459.0,215.02,832,13.84,54.0,25.5
,216.21,800,54.0,0.8,10111110,216.52,832,35.3,4.12,459.0,215.92,832,13.74,54.0,25.5
,217.13,800,55.5,0.8,10111110,217.40,832,35.3,5.15,459.0,216.82,800,13.74,54.0,25.5
,217.98,800,55.5,0.8,10111110,218.30,832,34.1,4.12,459.0,217.69,832,13.74,55.5,25.5
,218.91,832,55.5,0.4,10111110,219.22,800,34.1,4.12,459.0,218.60,800,13.84,55.5,25.5
,219.79,800,55.5,0.4,10111110,220.09,800,35.3,5.15,459.0,219.50,800,13.84,55.5,25.5
,220.68,800,55.5,0.8,10111110,221.00,832,34.1,4.12,459.0,220.39,832,13.84,55.5,25.5
,221.60,800,55.5,0.8,10111110,221.90,832,34.1,4.12,459.0,221.30,832,13.64,55.5,25.5
,222.51,800,55.5,0.4,10111110,222.82,832,34.1,4.12,459.0,222.22,832,13.84,55.5,25.5
,223.42,800,55.5,0.0,10111110,223.71,832,35.3,4.12,459.0,223.13,800,13.74,55.5,25.5
,224.31,800,55.5,0.4,10111110,224.62,832,35.3,4.12,459.0,224.01,800,13.84,55.5,25.5
,225.23,832,55.5,1.2,10111110,225.53,800,34.1,4.12,459.0,224.94,800,13.84,55.5,25.5
